Rk,Tm,W,L,W-Lpct,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,greater_than_equal_to_500,less_than_500,last10,last20,last30
1,Los Angeles Dodgers,98,64,.605,W 5,5.2,4.2,1.0,0.0,1.0,96-66,2,19-12,18-15,31-21,30-16,52-29,46-35,9-7,21-17,62-47,36-17,51-41,47-23,8-2,13-7,20-10
2,Philadelphia Phillies,95,67,.586,W 1,4.8,4.1,0.7,0.0,0.7,92-70,3,29-23,18-14,22-10,26-20,54-27,41-40,8-8,23-20,61-43,34-24,49-41,46-26,4-6,10-10,17-13
3,New York Yankees,94,68,.580,W 1,5.0,4.1,0.9,-0.1,0.8,96-66,-2,26-26,24-7,21-12,23-23,44-37,50-31,8-8,19-18,73-45,21-23,55-38,39-30,5-5,12-8,16-14
4,Milwaukee Brewers,93,69,.574,L 1,4.8,4.0,0.8,0.0,0.8,95-67,-2,15-15,32-20,15-19,31-15,47-34,46-35,6-9,28-25,69-45,24-24,52-41,41-28,5-5,11-9,17-13
5,San Diego Padres,93,69,.574,L 1,4.7,4.1,0.6,0.0,0.6,90-72,3,17-15,22-10,27-25,27-19,45-36,48-33,10-2,22-19,66-50,27-19,50-44,43-25,7-3,13-7,19-11
6,Cleveland Guardians,92,69,.571,L 2,4.4,3.9,0.5,-0.1,0.4,90-71,2,18-15,30-22,20-10,24-22,50-30,42-39,10-3,26-19,63-58,29-11,50-47,42-22,5-5,11-9,17-13
7,Baltimore Orioles,91,71,.562,W 3,4.9,4.3,0.5,-0.1,0.5,90-72,1,32-20,21-11,18-14,20-26,44-37,47-34,5-6,14-18,68-51,23-20,47-44,44-27,7-3,9-11,15-15
8,Atlanta Braves,89,73,.549,W 1,4.3,3.7,0.6,0.0,0.6,92-70,-3,28-24,13-17,17-17,31-15,46-35,43-38,12-5,18-25,60-56,29-17,52-41,37-32,7-3,12-8,17-13
9,Arizona Diamondbacks,89,73,.549,W 1,5.5,4.9,0.6,0.0,0.6,90-72,-1,18-15,19-12,28-24,24-22,44-37,45-36,5-8,26-20,61-44,28-29,45-48,44-25,5-5,10-10,14-16
10,New York Mets,89,73,.549,L 1,4.7,4.3,0.4,0.0,0.4,88-74,1,30-22,18-14,17-15,24-22,46-35,43-38,8-8,28-16,65-51,24-22,47-46,42-27,5-5,11-9,20-10
