Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,Pos-Summary,Name-additional
1,Andrew Abbott,25,CIN,NL,25,25,0,138.0,14,6,8,0,0,1.000,,,1,1,0,0.91,0.56,P,abbotan01
2,CJ Abrams,23,WSN,NL,136,135,124,1170.2,526,160,349,17,68,.968,-9,-9,1,1,2,3.91,3.74,SS,abramcj01
3,Bryan Abreu,27,HOU,AL,78,0,0,78.1,8,5,3,0,0,1.000,,,-2,-5,0,0.92,0.10,P,abreubr01
4,José Abreu,37,HOU,AL,35,31,28,275.1,276,254,19,3,24,.989,-3,-13,-2,-9,-1,8.92,7.80,1B,abreujo02
5,Wilyer Abreu,25,BOS,AL,130,110,70,960.1,238,222,9,7,2,.971,15,19,16,20,2,2.16,1.78,OF,abreuwi02
6,Luisangel Acuña,22,NYM,NL,12,10,9,95.2,45,9,35,1,3,.978,2,30,1,13,-1,4.14,3.38,SS-2B,acunajo01
7,Ronald Acuña Jr.,26,ATL,NL,49,48,47,428.0,102,98,2,2,0,.980,-4,-10,-7,-19,0,2.10,2.08,OF,acunaro01
8,Jason Adam,32,TOT,ZZ,74,0,0,73.2,11,4,7,0,1,1.000,,,-2,-32,0,1.34,0.15,P,adamja01
9,Willy Adames,28,MIL,NL,161,161,151,1406.1,547,204,323,20,66,.963,-8,-7,-16,-14,1,3.37,3.27,SS,adamewi01
10,Austin Adams,33,OAK,AL,56,0,0,41.1,4,2,2,0,1,1.000,,,-1,-5,0,0.87,0.07,P,adamsau02
11,Jordyn Adams,24,LAA,AL,11,9,9,85.0,24,23,0,1,0,.958,-1,-18,-2,-28,0,2.44,2.09,OF,adamsjo03
12,Riley Adams,28,WSN,NL,40,36,29,314.1,294,279,10,5,2,.983,-6,-22,-2,-8,-2,8.27,7.23,C,adamsri03
13,Ty Adcock,27,NYM,NL,3,0,0,4.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,adcocty01
14,Jo Adell,25,LAA,AL,123,117,113,1035.2,241,234,3,4,0,.983,7,8,6,6,1,2.06,1.93,OF,adelljo01
15,Joan Adon,25,WSN,NL,8,1,0,10.2,6,2,4,0,0,1.000,,,1,19,0,5.06,0.75,P,adonjo01
16,Ehire Adrianza,34,LAA,AL,8,6,6,60.0,14,2,12,0,2,1.000,1,20,1,20,0,2.10,1.75,3B-2B,adriaeh01
17,Julian Aguiar,23,CIN,NL,7,7,0,31.2,6,2,4,0,0,1.000,,,0,0,0,1.71,0.86,P,aguiaju01
18,Nick Ahmed,34,TOT,NL,69,66,58,563.1,255,77,175,3,40,.988,-2,-5,-1,-2,-2,4.03,3.65,SS-2B,ahmedni01
19,Keegan Akin,29,BAL,AL,66,0,0,78.2,7,0,7,0,0,1.000,,,2,5,0,0.80,0.11,P,akinke01
20,Ozzie Albies,27,ATL,NL,99,99,98,875.2,395,153,239,3,57,.992,1,1,1,1,1,4.03,3.96,2B,albieoz01
21,Jorge Alcalá,28,MIN,AL,54,0,0,58.1,10,4,6,0,0,1.000,,,-2,-7,-1,1.54,0.19,P,alcaljo01
22,Kevin Alcántara,21,CHC,NL,3,3,2,26.0,2,2,0,0,0,1.000,1,49,0,0,0,0.69,0.67,OF,alcanke01
23,Sam Aldegheri,22,LAA,AL,3,3,0,13.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,aldegsa01
24,Blaze Alexander,25,ARI,NL,44,35,29,312.0,128,45,77,6,16,.953,-5,-19,-4,-15,0,3.52,2.71,SS-2B-3B,alexabl01
25,CJ Alexander,27,KCR,AL,3,3,2,25.0,4,1,3,0,0,1.000,-2,-86,-1,-48,0,1.44,1.33,3B,alexacj01
26,Scott Alexander,34,OAK,AL,45,0,0,38.2,8,1,7,0,0,1.000,,,1,5,0,1.86,0.18,P,alexasc02
27,Tyler Alexander,29,TBR,AL,23,9,0,107.2,15,6,8,1,0,.933,,,-1,-2,0,1.17,0.61,P,alexaty01
28,Kolby Allard,26,PHI,NL,7,4,0,27.0,5,2,3,0,0,1.000,,,1,7,0,1.67,0.71,P,allarko01
29,Logan Allen,27,ARI,NL,12,0,0,28.0,6,2,4,0,0,1.000,,,0,0,0,1.93,0.50,P,allenlo01
30,Logan Allen,25,CLE,AL,20,20,0,97.1,14,4,10,0,0,1.000,,,1,2,0,1.29,0.70,P,allenlo02
31,Nick Allen,25,OAK,AL,41,30,24,269.1,129,49,74,6,24,.953,1,6,4,18,0,4.11,3.00,SS-3B-2B,allenni02
32,Yency Almonte,30,CHC,NL,17,0,0,15.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,almonye01
33,Pete Alonso,29,NYM,NL,161,159,157,1412.1,1285,1179,99,7,117,.995,-1,-1,-3,-3,2,8.14,7.94,1B,alonspe01
34,Dan Altavilla,31,KCR,AL,5,1,0,3.2,2,1,1,0,0,1.000,,,0,0,0,4.91,0.40,P,altavda01
35,Jose Altuve,34,HOU,AL,147,146,130,1262.0,475,158,312,5,85,.989,3,3,-13,-12,2,3.35,3.20,2B,altuvjo01
36,José Alvarado,29,PHI,NL,66,0,0,61.2,4,2,2,0,0,1.000,,,-3,-10,0,0.58,0.06,P,alvarjo03
37,Armando Alvarez,29,OAK,AL,14,10,5,80.0,39,30,9,0,4,1.000,-3,-46,-3,-45,0,4.39,2.79,3B-1B-2B-OF,alvarar01
38,Eddy Alvarez,34,NYM,NL,12,3,0,38.0,18,9,9,0,1,1.000,1,20,1,32,0,4.26,1.38,2B-SS-P,alvared01
39,Francisco Alvarez,22,NYM,NL,96,82,70,726.0,806,775,25,6,1,.993,-6,-11,-1,-2,-8,9.92,8.33,C,alvarfr01
40,Nacho Alvarez Jr.,21,ATL,NL,8,8,8,70.2,21,8,13,0,3,1.000,0,-3,-1,-17,0,2.67,2.63,2B-3B,alvarna01
41,Yordan Alvarez,27,HOU,AL,53,53,23,421.0,75,71,3,1,0,.987,-2,-5,-5,-14,0,1.58,1.40,OF,alvaryo01
42,Adbert Alzolay,29,CHC,NL,18,0,0,17.1,3,1,2,0,0,1.000,,,-1,-12,0,1.56,0.17,P,alzolad01
