Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,OAK,W8-0,42,35,8,11,4,1,0,7,3,0,7,3,0,1,0,1,0,1,.314,.405,.486,.890,7,9,L,A.Wood(24)
2,2,Mar 29,@,OAK,W6-4,40,34,6,9,4,0,1,5,6,0,9,0,0,0,1,0,2,2,.290,.390,.478,.869,7,9,R,R.Stripling(39)
3,3,Mar 30,@,OAK,W12-3,50,41,12,15,4,1,1,11,5,0,6,2,0,2,1,0,6,0,.318,.409,.518,.927,11,10,L,J.Sears(28)
4,4,Mar 31,@,OAK,L3-4,38,35,3,7,0,1,0,2,2,0,5,1,0,0,1,0,0,0,.290,.376,.455,.832,8,9,R,P.Blackburn(73)
5,5,Apr 1,@,SEA,L4-5,36,32,4,6,0,0,2,4,1,0,5,2,0,1,0,0,0,0,.271,.354,.441,.795,5,11,R,E.Hancock(48)
6,6,Apr 2,@,SEA,W5-2,39,37,5,12,2,0,1,3,1,1,11,0,0,1,0,1,0,0,.280,.351,.444,.795,7,9,R,L.Castillo(39)
7,7,Apr 3,@,SEA,W8-0,41,37,8,11,3,0,0,8,1,0,4,1,0,2,0,1,1,0,.283,.346,.434,.780,6,10,R,G.Kirby(11)
8,8,Apr 4,@,MIN,W4-2,39,33,4,7,1,0,0,3,3,0,7,2,0,1,1,0,0,0,.275,.342,.412,.754,8,10,R,P.López(44)
9,9,Apr 6,@,MIN,W3-1,34,33,3,7,1,0,1,3,0,0,11,1,0,0,0,0,0,1,.268,.331,.404,.735,4,9,R,J.Ryan(57)
10,10,Apr 8,,CHW,W4-0,36,34,4,10,1,0,1,3,1,0,8,1,0,0,3,3,1,0,.271,.332,.405,.736,8,9,L,T.Banks(54)
11,11,Apr 9,,CHW,L5-7,39,33,5,8,0,0,1,5,5,0,12,1,0,0,0,0,2,0,.268,.334,.398,.733,7,10,R,M.Soroka(38)
12,12,Apr 10,,CHW,W7-6,43,36,7,8,1,0,3,7,5,2,5,2,0,0,1,1,1,0,.264,.335,.407,.743,9,11,R,E.Fedde(41)
13,13,Apr 13 (1),,NYY,L2-3,36,29,2,5,2,0,0,1,7,0,11,0,0,0,0,2,0,1,.258,.335,.396,.732,7,10,R,C.Schmidt(57)
14,14,Apr 13 (2),,NYY,L2-8,33,32,2,7,1,0,2,2,1,0,6,0,0,0,0,2,0,0,.256,.330,.399,.729,4,10,R,C.Poteet(60)
15,15,Apr 14,,NYY,W8-7,43,39,8,9,2,0,3,8,2,0,13,1,0,1,2,0,0,1,.254,.326,.408,.734,7,13,L,N.Cortés(41)
16,16,Apr 15,@,BOS,W6-0,37,35,6,9,2,1,1,5,1,0,8,0,1,0,0,0,1,0,.254,.323,.411,.734,4,10,R,K.Crawford(71)
17,17,Apr 16,@,BOS,W10-7,53,44,10,14,3,0,1,9,6,3,7,0,2,1,0,0,1,0,.259,.328,.414,.742,12,11,R,G.Whitlock(48)
18,18,Apr 17,@,BOS,L0-2,29,29,0,3,0,0,0,0,0,0,9,0,0,0,0,1,0,0,.252,.319,.400,.719,2,9,R,T.Houck(90)
19,19,Apr 18,@,BOS,W5-4,37,34,5,8,2,0,0,5,2,0,6,1,0,0,2,1,1,0,.251,.318,.394,.712,5,9,L,B.Bernardino(57)
20,20,Apr 19,,OAK,W10-2,36,32,10,9,2,0,2,9,4,0,3,0,0,0,1,1,1,0,.252,.320,.401,.721,2,10,R,J.Boyle(33)
21,21,Apr 20,,OAK,W6-3,38,37,6,14,4,0,1,6,1,0,8,0,0,0,0,0,2,1,.259,.324,.409,.733,8,9,L,A.Wood(38)
22,22,Apr 21,,OAK,W6-2,36,31,6,7,4,0,1,6,2,1,8,3,0,0,0,0,0,0,.257,.324,.411,.735,6,10,R,R.Stripling(48)
23,23,Apr 23,,BOS,W4-1,36,29,4,7,2,0,1,4,6,1,6,0,0,1,0,1,1,0,.257,.325,.411,.736,8,11,R,T.Houck(55)
24,24,Apr 24,,BOS,L0-8,31,30,0,4,1,0,0,0,0,0,7,1,0,0,0,1,1,0,.252,.320,.402,.722,4,9,R,C.Criswell(64)
25,25,Apr 25,,BOS,W6-4,35,28,6,8,1,0,2,5,6,1,2,1,0,0,0,1,4,1,.253,.324,.406,.730,5,9,R,C.Anderson(26)
26,26,Apr 26,@,ATL,L2-6,34,33,2,5,1,0,1,2,1,0,9,0,0,0,1,0,2,0,.249,.319,.401,.720,5,10,L,C.Sale(74)
27,27,Apr 27,@,ATL,W4-2,43,37,4,8,2,0,0,3,4,2,9,1,0,1,0,1,2,1,.248,.318,.396,.714,8,11,R,C.Morton(74)
28,28,Apr 28,@,ATL,L3-4,39,34,3,10,0,0,0,2,4,0,5,1,0,0,0,2,3,4,.250,.321,.392,.713,7,10,R,B.Elder(50)
29,29,Apr 30,@,HOU,L9-10,44,36,9,7,1,1,3,9,6,0,15,2,0,0,0,0,0,1,.248,.321,.397,.719,6,13,R,H.Brown(39)
30,30,May 1,@,HOU,W3-2,40,35,3,9,1,1,1,3,5,0,6,0,0,0,0,2,0,1,.248,.322,.398,.721,8,11,R,J.Verlander(56)
31,31,May 2,@,HOU,L2-8,37,32,2,7,3,0,0,2,4,0,7,0,0,1,0,0,1,0,.247,.322,.396,.717,8,9,R,S.Arrighetti(56)
32,32,May 3,,LAA,L0-6,35,33,0,6,0,0,0,0,2,0,8,0,0,0,1,1,0,0,.245,.319,.389,.708,8,10,R,J.Soriano(64)
33,33,May 4,,LAA,W7-1,35,30,7,6,0,0,3,7,5,0,8,0,0,0,0,0,0,0,.244,.319,.392,.711,4,11,L,R.Detmers(34)
34,34,May 5,,LAA,W4-1,32,29,4,5,0,0,2,4,2,0,8,1,0,0,0,0,2,0,.242,.317,.392,.709,4,9,R,G.Canning(60)
35,35,May 6,,DET,W2-1,30,29,2,7,3,0,1,2,1,0,10,0,0,0,0,0,1,1,.242,.316,.393,.709,4,10,R,J.Flaherty(57)
36,36,May 7,,DET,L7-11,37,33,7,8,3,0,1,7,4,0,5,0,0,0,0,2,1,0,.242,.316,.394,.710,3,10,R,K.Maeda(16)
37,37,May 8,,DET,W5-4,36,33,5,5,0,0,1,5,2,0,7,0,1,0,0,0,1,0,.240,.313,.390,.703,4,13,R,R.Olson(66)
38,38,May 9,@,CHW,L2-3,36,35,2,9,0,0,2,2,0,0,7,1,0,0,0,1,0,0,.240,.312,.391,.704,7,10,R,E.Fedde(63)
39,39,May 10,@,CHW,L3-6,35,34,3,8,1,1,2,3,1,0,12,0,0,0,0,1,0,0,.240,.311,.394,.705,5,12,L,G.Crochet(73)
40,40,May 11,@,CHW,L1-3,32,31,1,4,1,0,1,1,1,0,9,0,0,0,0,0,0,0,.238,.308,.391,.699,4,10,R,M.Clevinger(57)
41,41,May 12,@,CHW,W7-0,37,32,7,5,2,1,2,5,4,1,7,0,0,1,1,0,0,0,.236,.306,.393,.699,3,11,R,M.Soroka(45)
42,42,May 13,@,TEX,W7-0,40,32,7,9,2,0,0,6,8,1,5,0,0,0,0,2,3,1,.237,.309,.392,.701,6,10,R,M.Lorenzen(73)
43,43,May 14,@,TEX,W7-4,42,31,7,7,2,0,1,7,6,1,3,4,0,1,0,1,3,0,.236,.312,.392,.703,8,11,R,J.Leiter(23)
44,44,May 15,@,TEX,L0-4,35,32,0,6,0,0,0,0,2,0,9,1,0,0,0,1,0,0,.235,.311,.387,.698,8,10,R,J.Gray(66)
45,45,May 17,,MIN,W3-2,31,30,3,7,0,0,2,3,0,0,5,1,0,0,0,0,1,1,.235,.310,.388,.698,4,9,R,S.Woods Richardson(58)
46,46,May 18,,MIN,W11-4,42,36,11,16,3,0,1,11,4,0,5,1,0,1,0,2,2,0,.240,.314,.393,.707,7,12,R,B.Ober(29)
47,47,May 19,,MIN,W5-2,32,30,5,4,1,0,2,5,2,1,6,0,0,0,0,0,0,0,.238,.312,.393,.705,1,10,R,C.Paddack(74)
48,48,May 20,,NYM,W3-1,30,28,3,4,1,0,0,3,2,0,8,0,0,0,0,0,1,0,.237,.310,.389,.699,3,9,R,T.Megill(54)
49,49,May 21,,NYM,W7-6,34,30,7,7,4,0,2,7,3,0,8,1,0,0,0,0,0,1,.236,.310,.392,.703,3,10,R,A.Houser(34)
50,50,May 22,,NYM,W6-3,35,30,6,8,3,0,1,6,3,0,8,2,0,0,0,2,0,0,.237,.311,.394,.705,5,10,L,J.Quintana(56)
51,51,May 24,@,LAA,W10-4,45,36,10,10,2,0,4,9,7,0,8,1,0,1,0,0,1,0,.238,.314,.399,.713,8,9,L,P.Sandoval(17)
52,52,May 25,@,LAA,W4-3,33,32,4,6,1,0,1,3,1,0,10,0,0,0,0,0,0,1,.237,.312,.398,.710,2,9,R,J.Soriano(55)
53,53,May 26,@,LAA,W5-4,42,33,5,6,1,0,0,5,7,0,12,2,0,0,0,0,3,0,.236,.313,.394,.707,10,10,L,R.Detmers(51)
54,54,May 27,@,COL,L6-8,40,35,6,10,4,0,0,5,3,0,4,2,0,0,0,2,0,0,.237,.314,.394,.708,7,11,R,A.Molina(36)
55,55,May 28,@,COL,W13-7,44,37,13,13,3,0,4,13,5,0,4,0,0,2,1,2,3,0,.239,.316,.402,.718,4,9,R,R.Feltner(22)
56,56,May 29,@,COL,L4-7,38,35,4,8,2,0,0,4,3,0,9,0,0,0,0,1,0,0,.239,.316,.400,.715,7,11,L,T.Blach(60)
57,57,May 31,,WSN,W7-1,38,31,7,9,1,0,1,7,6,1,5,0,1,0,0,0,1,0,.240,.317,.400,.717,7,11,L,P.Corbin(54)
58,58,Jun 1,,WSN,W3-2,35,29,3,5,1,0,0,2,5,0,7,1,0,0,0,0,1,0,.239,.317,.397,.714,8,10,L,M.Parker(50)
59,59,Jun 2,,WSN,L2-5,33,32,2,6,2,0,0,2,1,0,7,0,0,0,0,1,0,0,.238,.315,.395,.710,4,10,R,J.Irvin(59)
60,60,Jun 4,,KCR,W8-5,36,32,8,7,1,0,2,5,3,0,8,1,0,0,1,0,0,0,.238,.315,.395,.711,4,10,R,S.Lugo(44)
61,61,Jun 6,,KCR,L3-4,39,34,3,9,1,0,1,3,4,0,7,0,1,0,0,1,0,1,.238,.316,.395,.711,9,11,R,B.Singer(34)
62,62,Jun 7,@,MIA,L2-3,32,30,2,6,2,1,1,2,2,0,8,0,0,0,0,0,0,2,.238,.315,.396,.710,3,10,L,R.Weathers(44)
63,63,Jun 8,@,MIA,W8-0,43,35,8,12,2,0,2,8,7,0,3,0,0,1,0,2,0,1,.239,.317,.399,.716,8,12,R,R.Muñoz(35)
64,64,Jun 9,@,MIA,W6-3,40,35,6,10,2,0,2,6,4,0,10,1,0,0,0,2,1,0,.240,.318,.400,.719,7,12,L,T.Rogers(60)
65,65,Jun 11,@,CIN,W5-3,41,35,5,9,3,0,1,5,5,1,7,0,1,0,0,0,2,0,.240,.319,.401,.720,9,12,L,B.Suter(51)
66,66,Jun 12,@,CIN,L2-4,39,33,2,7,1,0,0,2,4,0,8,2,0,0,0,0,0,0,.240,.319,.399,.717,10,10,L,N.Lodolo(53)
67,67,Jun 14,@,TOR,W3-1,33,33,3,9,4,0,1,3,0,0,7,0,0,0,0,3,1,0,.240,.318,.400,.718,3,10,R,K.Gausman(46)
68,68,Jun 15,@,TOR,L0-5,34,33,0,8,0,0,0,0,1,0,4,0,0,0,0,2,0,0,.240,.318,.398,.715,7,10,R,T.Richards(56)
69,69,Jun 16,@,TOR,L6-7,39,38,6,13,0,0,2,5,0,0,3,1,0,0,0,2,0,0,.242,.318,.399,.717,6,10,R,J.Berríos(41)
70,70,Jun 18,,SEA,L5-8,42,37,5,10,1,0,0,4,3,0,5,2,0,0,0,0,0,0,.243,.319,.398,.716,10,13,R,B.Miller(47)
71,71,Jun 19,,SEA,W8-0,36,33,8,9,1,0,3,8,3,0,6,0,0,0,0,0,3,0,.243,.319,.400,.719,4,10,R,B.Woo(42)
72,72,Jun 20,,SEA,W6-3,34,30,6,9,3,0,3,5,4,0,8,0,0,0,0,2,1,1,.244,.320,.404,.724,4,10,R,L.Castillo(33)
73,73,Jun 21,,TOR,W7-1,35,30,7,5,1,0,0,7,5,0,7,0,0,0,1,0,1,0,.243,.319,.401,.721,4,9,R,Y.Rodríguez(30)
74,74,Jun 22,,TOR,W6-3,34,31,6,8,2,0,4,6,1,0,7,2,0,0,0,1,1,0,.243,.319,.405,.725,4,9,R,J.Berríos(37)
75,75,Jun 23,,TOR,W6-5,40,37,6,13,2,0,2,5,3,0,6,0,0,0,1,1,0,0,.245,.321,.408,.728,10,11,L,Y.Kikuchi(26)
76,76,Jun 24,@,BAL,W3-2,36,34,3,8,3,1,1,3,2,0,12,0,0,0,0,0,2,0,.244,.320,.408,.729,6,10,L,C.Povich(47)
77,77,Jun 25,@,BAL,W10-8,39,38,10,14,4,1,1,10,0,0,4,0,1,0,0,0,1,2,.246,.321,.411,.732,2,10,L,C.Irvin(19)
78,78,Jun 26,@,BAL,L2-4,33,31,2,5,1,0,2,2,1,0,7,1,0,0,0,1,1,0,.245,.319,.411,.731,4,12,R,G.Rodriguez(63)
79,79,Jun 27,@,KCR,L1-2,37,32,1,7,2,0,0,1,3,0,11,1,0,1,0,0,0,0,.245,.319,.410,.729,9,10,R,M.Wacha(54)
80,80,Jun 28,@,KCR,L3-10,35,31,3,8,4,0,1,3,2,0,10,1,0,1,1,3,1,1,.245,.319,.410,.730,5,11,R,A.Marsh(63)
81,81,Jun 29,@,KCR,W7-2,39,35,7,9,3,0,2,7,3,1,10,1,0,0,0,1,0,0,.245,.319,.412,.731,5,9,L,C.Ragans(37)
82,82,Jun 30,@,KCR,L2-6,35,34,2,8,2,0,0,2,1,0,13,0,0,0,0,1,0,0,.245,.319,.410,.729,6,12,R,S.Lugo(73)
