Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,OAK,W8-0,9.0,4,0,0,0,1,13,0,0,0.00,31,121,81,0,0,0,0,30,1,0,0,0,0,1,1,4,Marvin Hudson,S.Bieber (99-74-W) E.Morgan (99) T.Herrin (99) N.Sandlin (99)
2,2,Mar 29,@,OAK,W6-4,9.0,8,4,4,0,2,5,2,0,2.00,36,139,89,0,0,0,0,32,2,0,0,0,2,0,1,5,Hunter Wendelstedt,L.Allen (99-46-W) E.Morgan (0-H) H.Gaddis (99-H) S.Barlow (99-H) E.Clase (99-Sv)
3,3,Mar 30,@,OAK,W12-3,9.0,6,3,3,0,6,14,0,2,2.33,40,164,96,0,0,1,0,32,1,0,0,0,0,0,0,4,John Tumpane,T.Bibee (99-37) N.Sandlin (1-W) C.Smith (99) T.Beede (99)
4,4,Mar 31,@,OAK,L3-4,8.0,9,4,4,0,4,6,0,1,2.83,36,131,77,3,1,1,1,30,1,2,0,1,0,0,1,5,Nick Mahrley,C.Carrasco (99-45) T.Herrin (2) H.Gaddis (1) S.Barlow (1-L) E.Morgan (1)
5,5,Apr 1,@,SEA,L4-5,8.0,7,5,4,1,6,9,1,0,3.14,36,158,97,5,1,1,0,30,0,0,0,0,0,1,0,5,Mark Ripperger,T.McKenzie (99-34-L) N.Sandlin (1) C.Smith (1) H.Gaddis (0) T.Beede (1)
6,6,Apr 2,@,SEA,W5-2,9.0,9,2,2,0,2,12,0,0,2.94,37,144,94,2,1,0,0,35,4,0,0,0,0,0,1,5,Adam Hamari,S.Bieber (4-69-W) E.Morgan (1) S.Barlow (1-H) T.Beede (0-H) E.Clase (3-Sv)
7,7,Apr 3,@,SEA,W8-0,9.0,5,0,0,0,4,8,0,0,2.51,35,134,88,1,0,0,0,31,2,0,0,0,0,0,1,4,Vic Carapazza,L.Allen (4-69-W) N.Sandlin (1) C.Smith (1) T.Herrin (2)
8,8,Apr 4,@,MIN,W4-2,9.0,7,2,2,0,1,15,1,2,2.44,38,160,101,3,1,0,0,35,1,1,0,0,0,1,0,5,Ryan Additon,T.Bibee (4-63-W) T.Herrin (0-H) H.Gaddis (2-H) S.Barlow (1-H) E.Clase (1-Sv)
9,9,Apr 6,@,MIN,W3-1,9.0,2,1,1,0,7,14,0,3,2.28,39,196,112,4,0,1,0,29,0,1,0,0,0,0,1,7,Brennan Miller,C.Carrasco (5-56) N.Sandlin (2-W) C.Smith (2-H) H.Gaddis (1-H) S.Barlow (1-H) T.Beede (3-H) E.Clase (1-Sv)
10,10,Apr 8,,CHW,W4-0,9.0,4,0,0,0,6,6,0,0,2.05,36,143,84,1,0,1,0,30,1,0,0,0,0,0,1,5,David Rackley,T.McKenzie (6-61-W) T.Herrin (3) H.Gaddis (1) C.Smith (1) E.Clase (1)
