Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Tanner Bibee,25,12,8,.600,3.47,31,31,0,0,0,0,173.2,150,70,67,22,44,0,187,8,0,2,710,117,3.56,1.117,7.8,1.1,2.3,9.7,4.25,bibeeta01
2,SP,Ben Lively,32,13,10,.565,3.81,29,29,0,0,0,0,151.0,139,67,64,23,49,0,118,5,1,2,632,107,4.66,1.245,8.3,1.4,2.9,7.0,2.41,livelbe01
3,SP,Carlos Carrasco,37,3,10,.231,5.64,21,21,0,0,0,0,103.2,112,68,65,19,33,0,89,5,0,5,447,72,4.93,1.399,9.7,1.6,2.9,7.7,2.70,carraca01
4,SP,Logan Allen*,25,8,5,.615,5.73,20,20,0,0,0,0,97.1,113,63,62,22,41,0,79,4,0,4,432,71,5.87,1.582,10.4,2.0,3.8,7.3,1.93,allenlo02
5,SP,Gavin Williams,24,3,10,.231,4.86,16,16,0,0,0,0,76.0,72,42,41,7,32,0,79,3,0,2,332,84,3.67,1.368,8.5,0.8,3.8,9.4,2.47,williga01
6,SP,Triston McKenzie,26,3,5,.375,5.11,16,16,0,0,0,0,75.2,69,46,43,19,49,1,74,1,0,5,340,80,6.46,1.559,8.2,2.3,5.8,8.8,1.51,mckentr01
7,CL,Emmanuel Clase,26,4,2,.667,0.61,74,0,66,0,0,47,74.1,39,10,5,2,10,1,66,2,0,2,270,674,2.23,0.659,4.7,0.2,1.2,8.0,6.60,claseem01
8,RP,Cade Smith,25,6,1,.857,1.91,74,0,2,0,0,1,75.1,51,16,16,1,17,0,103,3,1,0,289,213,1.40,0.903,6.1,0.1,2.0,12.3,6.06,smithca06
9,RP,Hunter Gaddis,26,6,3,.667,1.57,78,0,8,0,0,0,74.2,43,16,13,4,14,1,66,4,0,2,278,260,2.82,0.763,5.2,0.5,1.7,8.0,4.71,gaddihu01
10,RP,Tim Herrin*,27,5,1,.833,1.92,75,0,6,0,0,0,65.2,39,17,14,2,25,1,68,5,1,3,257,213,2.86,0.975,5.3,0.3,3.4,9.3,2.72,herriti01
11,RP,Nick Sandlin,27,8,0,1.000,3.75,68,1,7,0,0,1,57.2,46,29,24,12,27,2,68,6,0,1,246,109,5.23,1.266,7.2,1.9,4.2,10.6,2.52,sandlni01
12,,Pedro Avila,27,5,1,.833,3.25,50,0,15,0,0,1,74.2,68,30,27,7,30,1,73,3,0,4,318,125,3.76,1.313,8.2,0.8,3.6,8.8,2.43,avilape01
13,,Scott Barlow,31,3,3,.500,4.25,63,0,15,0,0,2,55.0,44,27,26,6,31,1,68,4,0,2,241,96,4.02,1.364,7.2,1.0,5.1,11.1,2.19,barlosc01
14,,Eli Morgan,28,3,0,1.000,1.93,32,0,9,0,0,0,42.0,30,11,9,4,11,1,34,1,0,0,167,212,3.64,0.976,6.4,0.9,2.4,7.3,3.09,morgael01
15,,Matthew Boyd*,33,2,2,.500,2.72,8,8,0,0,0,0,39.2,32,16,12,4,13,0,46,2,1,0,166,151,3.29,1.134,7.3,0.9,2.9,10.4,3.54,boydma01
16,,Joey Cantillo*,24,2,4,.333,4.89,9,8,1,0,0,0,38.2,35,22,21,6,15,0,44,0,0,4,163,84,4.07,1.293,8.1,1.4,3.5,10.2,2.93,cantijo01
17,,Xzavion Curry,25,0,2,.000,5.84,7,4,3,0,0,0,24.2,29,17,16,5,5,1,15,0,0,1,108,71,5.19,1.378,10.6,1.8,1.8,5.5,3.00,curryxz01
18,,Sam Hentges*,27,0,0,,3.04,25,0,4,0,0,0,23.2,18,8,8,3,5,0,27,0,0,0,91,136,3.17,0.972,6.8,1.1,1.9,10.3,5.40,hentgsa01
19,,Alex Cobb,36,2,1,.667,2.76,3,3,0,0,0,0,16.1,14,7,5,1,3,0,10,0,0,0,62,151,3.29,1.041,7.7,0.6,1.7,5.5,3.33,cobbal01
20,,Tyler Beede,31,1,0,1.000,8.36,13,0,3,0,0,0,14.0,16,14,13,2,9,1,18,3,1,0,68,50,5.02,1.786,10.3,1.3,5.8,11.6,2.00,beedety01
21,,Erik Sabrowski*,26,0,0,,0.00,8,0,4,0,0,1,12.2,6,0,0,0,4,0,19,0,0,1,47,,1.11,0.789,4.3,0.0,2.8,13.5,4.75,sabroer01
22,,Shane Bieber,29,2,0,1.000,0.00,2,2,0,0,0,0,12.0,10,0,0,0,1,0,20,0,0,0,45,,0.08,0.917,7.5,0.0,0.8,15.0,20.00,biebesh01
23,,Peter Strzelecki,29,0,0,,2.31,10,0,6,0,0,0,11.2,11,3,3,1,3,0,9,1,0,0,47,181,3.77,1.200,8.5,0.8,2.3,6.9,3.00,strzepe01
24,,Andrew Walters,23,1,0,1.000,0.00,9,1,3,0,0,0,8.2,1,1,0,0,5,0,6,0,0,1,32,,3.51,0.692,1.0,0.0,5.2,6.2,1.20,waltean01
25,,Connor Gillispie,26,0,0,,2.25,3,0,2,0,0,0,8.0,4,2,2,0,5,0,8,0,0,1,32,189,3.04,1.125,4.5,0.0,5.6,9.0,1.60,gillico01
26,,Darren McCaughan,28,0,0,,9.00,2,0,1,0,0,0,6.0,9,6,6,2,6,0,1,0,0,1,30,48,10.17,2.500,13.5,3.0,9.0,1.5,0.17,mccauda01
27,,Spencer Howard,27,0,1,.000,9.00,2,1,1,0,0,0,5.0,11,8,5,3,3,0,6,0,0,1,30,49,10.37,2.800,19.8,5.4,5.4,10.8,2.00,howarsp01
28,,Anthony Gose*,33,0,0,,10.38,3,0,3,0,0,0,4.1,9,5,5,2,1,0,4,0,0,1,22,43,8.01,2.308,18.7,4.2,2.1,8.3,4.00,gosean01
29,,Wes Parsons,31,0,0,,0.00,2,0,1,0,0,0,4.0,4,0,0,0,0,0,5,0,0,0,15,,0.67,1.000,9.0,0.0,0.0,11.3,,parsowe01
30,,Austin Hedges,31,0,0,,0.00,1,0,1,0,0,0,2.0,0,0,0,0,1,0,0,0,0,0,6,,4.67,0.500,0.0,0.0,4.5,0.0,0.00,hedgeau01
,,Team Totals,27.9,92,69,.571,3.61,161,161,161,0,0,53,1428.0,1224,621,572,179,492,11,1410,60,5,45,5923,114,3.98,1.202,7.7,1.1,3.1,8.9,2.87,-9999
,,Rank in 15 AL teams,,2,14,,2,,,,9,4,1,11,2,2,2,5,8,,5,,,,,,,,,,,,,-9999
