Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Gabriel Arias,24,53,161,-5,-1,0,-3,1,-9,-0.9,6,-3,-0.4,.483,.494,-0.1,-0.2,0,$744100,Traded,56/4H38D79,ariasga01
Pedro Avila,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$746600,Purchased,1,avilape01
Will Brennan*,26,114,353,-2,0,0,-6,-4,-13,-1.3,12,-1,-0.2,.488,.492,0.5,-1.1,5,$744900,Amateur Draft,97HD/8,brennwi02
Estevan Florial*,26,36,111,-3,0,0,3,-2,-3,-0.3,4,1,0.1,.492,.498,-0.2,0.1,-2,,Traded,7D9/H8,flories01
Tyler Freeman,25,118,383,-7,-2,-1,2,3,-5,-0.5,13,9,0.8,.496,.497,0.6,0.6,6,$742000,Amateur Draft,8H6/54D,freemty01
David Fry,28,122,392,12,-1,-2,-4,-5,0,0.1,13,14,1.4,.500,.500,1.8,-0.9,18,$741000,Traded,DH237/59,fryda01
Hunter Gaddis,26,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740700,Amateur Draft,1,gaddihu01
Andrés Giménez*,25,152,633,-13,3,3,20,5,18,1.9,22,39,4.0,.512,.512,1.9,2.7,19,$5571428,Traded,*4,gimenan01
Austin Hedges,31,66,146,-14,1,0,0,3,-10,-1.1,5,-5,-0.6,.483,.493,-0.6,0.3,-5,$4000000,Free Agency,2/1,hedgeau01
Spencer Howard,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Purchased,/1,howarsp01
Steven Kwan*,26,122,540,17,-2,1,9,-4,20,2.2,18,38,3.9,.518,.513,2.9,0.5,29,$757600,Amateur Draft,*7/DH,kwanst01
Ramón Laureano,29,31,83,-5,0,0,3,-1,-3,-0.3,3,0,0.0,.491,.498,-0.3,0.3,-3,$5150000,Waivers,98/H,laurera01
Kyle Manzardo*,23,53,156,-1,0,0,0,-4,-5,-0.5,5,0,0.0,.490,.497,0.0,-0.4,0,$740000,Traded,DH/3,manzaky01
Angel Martínez#,22,43,169,-4,0,0,-1,0,-5,-0.5,6,1,0.1,.488,.497,0.2,-0.1,2,,Free Agency,87/9H5D4,martian02
Bo Naylor*,24,123,389,-13,-2,0,2,7,-6,-0.6,13,8,0.7,.495,.496,0.5,1.0,5,$742100,Amateur Draft,*2H/D,naylobo01
Josh Naylor*,27,152,633,12,-2,-2,-6,-8,-6,-0.6,22,16,1.5,.496,.496,2.1,-1.5,22,$6500000,Traded,*3D/H,naylojo01
Jhonkensy Noel,22,67,198,3,-1,0,3,-2,3,0.3,7,10,1.0,.504,.502,0.6,0.1,6,,Free Agency,9H/3D7,noeljh01
José Ramírez#,31,158,682,30,5,2,6,1,44,4.6,23,67,6.8,.529,.528,6.2,0.7,61,$17000000,Amateur Free Agent,*5D,ramirjo01
Brayan Rocchio#,23,143,442,-11,-2,-1,10,7,3,0.4,15,18,1.8,.503,.502,0.8,1.8,8,$740200,Free Agency,*6/H,rocchbr01
Johnathan Rodríguez,24,13,40,-2,0,0,-3,0,-5,-0.5,1,-4,-0.4,.459,.497,-0.1,-0.4,-1,$740000,Amateur Draft,9/HD7,rodrijo10
Daniel Schneemann*,27,73,221,-3,-3,2,1,2,-1,-0.1,8,6,0.6,.498,.499,0.5,0.3,5,$740000,Amateur Draft,6589H/47D,schneda04
Myles Straw,29,7,4,0,0,0,-1,0,-1,-0.1,0,-1,-0.1,.481,.499,0.0,-0.1,0,$4900000,Traded,/8HD,strawmy01
José Tena*,23,3,4,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.461,.499,-0.1,0.0,-1,$740000,Free Agency,/5DH,tenajo01
Lane Thomas,28,53,187,-5,0,0,-3,0,-8,-0.8,6,-1,-0.2,.485,.495,0.1,-0.3,2,,Traded,89/HD,thomala02
Team Total,26.2,1705,5927,-14,-8,0,32,-1,10,1.2,201,211,20.6,.501,.503,17.1,3.4,178,$52780628,,,-9999
