Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Logan Allen*,25,97.1,20,20,63,5.83,4.38,0.53,0.20,0.00,101.6,4.11,-19,-1.9,,-0.1,-1.0,-10,.407,.489,$744300,Amateur Draft,allenlo02
Pedro Avila,27,74.2,50,0,30,3.62,4.40,0.48,-0.30,0.00,103.2,3.75,1,0.1,.57,-0.2,0.6,8,.502,.500,$746600,Purchased,avilape01
Scott Barlow,31,55.0,63,0,27,4.42,4.51,0.42,-0.30,0.31,101.4,4.15,-2,-0.2,1.11,-0.1,0.2,3,.497,.499,$6700000,Traded,barlosc01
Tyler Beede,31,14.0,13,0,14,9.00,4.33,0.46,-0.29,0.40,99.2,3.95,-8,-0.8,1.07,-0.1,-0.7,-7,.439,.495,$1200000,Free Agency,beedety01
Tanner Bibee,25,173.2,31,31,70,3.63,4.39,0.46,0.20,0.00,102.1,4.22,11,1.1,,-0.1,2.7,27,.537,.507,$745700,Amateur Draft,bibeeta01
Shane Bieber,29,12.0,2,2,0,0.00,4.55,0.34,0.21,0.00,88.8,3.93,5,0.6,,0.0,0.7,6,.818,.504,$13125000,Amateur Draft,biebesh01
Matthew Boyd*,33,39.2,8,8,16,3.63,4.65,0.44,0.21,0.00,100.4,4.43,3,0.4,,0.0,0.7,7,.546,.502,,Free Agency,boydma01
Joey Cantillo*,24,38.2,9,8,22,5.12,4.35,0.45,0.18,0.00,102.4,4.17,-4,-0.4,1.25,0.0,-0.1,-1,.452,.497,,Traded,cantijo01
Carlos Carrasco,37,103.2,21,21,68,5.90,4.37,0.52,0.20,0.00,101.4,4.10,-21,-2.1,,-0.1,-1.2,-11,.402,.487,$2000000,Free Agency,carraca01
Emmanuel Clase,26,74.1,74,0,10,1.21,4.44,0.43,-0.30,0.53,102.0,4.32,25,2.8,1.83,1.0,4.5,32,.537,.517,$2900000,Traded,claseem01
Alex Cobb,36,16.1,3,3,7,3.86,4.59,0.51,0.21,0.00,103.4,4.44,1,0.1,,0.0,0.3,3,.536,.501,,Traded,cobbal01
Xzavion Curry,25,24.2,7,4,17,6.20,4.71,0.60,0.05,0.00,105.2,4.38,-5,-0.5,1.11,0.0,-0.3,-3,.427,.497,$744400,Amateur Draft,curryxz01
Hunter Gaddis,26,74.2,78,0,16,1.93,4.37,0.44,-0.29,0.15,101.7,3.85,16,1.7,1.45,0.2,2.6,23,.522,.510,$740700,Amateur Draft,gaddihu01
Connor Gillispie,26,8.0,3,0,2,2.25,5.04,0.40,-0.34,0.00,102.8,4.43,2,0.2,.48,-0.1,0.2,3,.570,.501,,Rule 5 Draft,gillico01
Anthony Gose*,33,4.1,3,0,5,10.38,5.14,0.66,-0.34,0.00,97.6,4.04,-3,-0.3,.25,0.1,-0.2,-3,.401,.498,,Free Agency,gosean01
Austin Hedges,31,2.0,1,0,0,0.00,4.24,0.43,-0.28,0.00,102.0,3.60,1,0.1,.00,0.0,0.1,1,.589,.501,$4000000,Free Agency,hedgeau01
Sam Hentges*,27,23.2,25,0,8,3.04,4.37,0.41,-0.29,0.00,103.8,3.80,2,0.2,.92,-0.1,0.4,4,.508,.501,$1162000,Amateur Draft,hentgsa01
Tim Herrin*,27,65.2,75,0,17,2.33,4.48,0.41,-0.30,0.09,102.2,3.94,11,1.2,1.04,-0.1,1.8,18,.516,.508,$740800,Amateur Draft,herriti01
Spencer Howard,27,5.0,2,1,8,14.40,4.52,0.71,0.00,0.00,102.0,3.89,-6,-0.5,.26,0.1,-0.4,-5,.263,.497,,Purchased,howarsp01
Ben Lively,32,151.0,29,29,67,3.99,4.36,0.51,0.20,0.00,103.0,4.16,2,0.2,,-0.1,1.5,17,.508,.501,$750000,Free Agency,livelbe01
