Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Logan Allen,25,us US,R,L,6' 0",190,Sep 5 1998,2,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,$744300,,allenlo02
Gabriel Arias,24,ve VE,R,R,6' 1",217,Feb 27 2000,3,53,43,53,48,0,0,4,6,20,15,2,4,2,8,3,4,1,-0.4,$744100,,ariasga01
Pedro Avila,27,ve VE,R,R,5' 11",210,Jan 14 1997,5,50,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$746600,,avilape01
Scott Barlow,31,us US,R,R,6' 3",210,Dec 18 1992,7,63,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$6700000,,barlosc01
Tyler Beede,31,us US,R,R,6' 2",216,May 23 1993,5,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,$1200000,,beedety01
Tanner Bibee,25,us US,R,R,6' 2",205,Mar 5 1999,2,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2.6,$745700,,bibeeta01
Shane Bieber,29,us US,R,R,6' 3",200,May 31 1995,7,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$13125000,,biebesh01
Matthew Boyd,33,us US,L,L,6' 3",223,Feb 2 1991,10,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,,boydma01
Will Brennan,26,us US,L,L,6' 0",200,Feb 2 1998,3,114,89,114,98,0,0,0,0,0,0,18,8,80,98,12,16,1,-0.2,$744900,,brennwi02
Joey Cantillo,24,us US,L,L,6' 4",225,Dec 18 1999,1st,9,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,cantijo01
Carlos Carrasco,37,ve VE,R,R,6' 4",224,Mar 21 1987,15,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,$2000000,,carraca01
Emmanuel Clase,26,do DO,R,R,6' 2",206,Mar 18 1998,5,74,0,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,4.4,$2900000,All-Star,claseem01
Alex Cobb,36,us US,R,R,6' 3",205,Oct 7 1987,13,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,cobbal01
Xzavion Curry,25,us US,R,R,6' 0",195,Jul 27 1998,3,7,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$744400,,curryxz01
Estevan Florial,26,do DO,L,R,6' 1",195,Nov 25 1997,5,36,27,36,22,0,0,0,0,0,0,13,1,12,22,12,8,0,0.1,,,flories01
Tyler Freeman,25,us US,R,R,6' 0",190,May 21 1999,3,118,90,118,113,0,0,0,6,8,10,0,97,0,97,1,19,5,0.9,$742000,,freemty01
David Fry,28,us US,R,R,6' 0",215,Nov 20 1995,2,122,86,122,58,0,23,20,0,4,0,16,0,4,20,53,35,0,1.4,$741000,All-Star,fryda01
Hunter Gaddis,26,us US,R,R,6' 6",260,Apr 9 1998,3,78,0,1,78,78,0,0,0,0,0,0,0,0,0,0,0,0,2.6,$740700,,gaddihu01
Connor Gillispie,26,us US,R,R,5' 11",185,Nov 10 1997,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,gillico01
Andrés Giménez,25,ve VE,L,R,5' 11",161,Sep 4 1998,5,152,151,152,152,0,0,0,152,0,0,0,0,0,0,0,0,0,4.0,$5571428,,gimenan01
Anthony Gose,33,us US,L,L,6' 0",200,Aug 10 1990,8,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,gosean01
Austin Hedges,31,us US,R,R,6' 1",220,Aug 18 1992,10,66,46,66,66,1,65,0,0,0,0,0,0,0,0,0,0,0,-0.6,$4000000,,hedgeau01
Sam Hentges,27,us US,L,L,6' 6",245,Jul 18 1996,4,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$1162000,,hentgsa01
Tim Herrin,27,us US,L,L,6' 6",230,Oct 8 1996,2,75,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,1.7,$740800,,herriti01
Spencer Howard,27,us US,R,R,6' 3",210,Jul 28 1996,5,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,,howarsp01
Steven Kwan,26,us US,L,L,5' 9",170,Sep 5 1997,3,122,121,122,114,0,0,0,0,0,0,114,0,0,114,7,1,0,4.0,$757600,All-Star,kwanst01
Ramón Laureano,29,do DO,R,R,5' 11",203,Jul 15 1994,7,31,20,31,31,0,0,0,0,0,0,0,10,25,31,0,7,1,0.0,$5150000,,laurera01
