Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,MIN,L1-4,32,31,1,5,2,0,1,1,1,0,8,0,0,0,0,1,0,0,.161,.188,.323,.510,4,10,R,P.López(72)
2,2,Mar 30,,MIN,L1-5,34,31,1,5,2,0,0,1,3,1,11,0,0,0,0,0,0,1,.161,.212,.274,.486,6,10,R,J.Ryan(62)
3,3,Mar 31,,MIN,W11-0,41,38,11,14,2,1,5,10,3,0,7,0,0,0,1,0,0,0,.240,.290,.500,.790,6,12,R,B.Ober(4)
4,4,Apr 1,@,BAL,L4-6,38,35,4,7,2,0,2,4,2,1,9,0,0,1,1,0,4,0,.230,.276,.481,.757,7,12,R,D.Kremer(54)
5,5,Apr 2,@,BAL,W4-1,38,34,4,8,1,1,0,4,3,0,9,1,0,0,0,0,0,1,.231,.284,.450,.734,7,11,L,C.Irvin(38)
6,6,Apr 3,@,BAL,L3-4,38,37,3,10,2,0,1,3,1,0,7,0,0,0,0,0,3,0,.238,.285,.442,.727,8,10,R,C.Burnes(46)
7,7,Apr 4,,CHW,W10-1,37,33,10,10,2,0,2,7,4,0,4,0,0,0,0,1,0,1,.247,.298,.456,.755,3,12,R,M.Soroka(54)
8,8,Apr 5,,CHW,W2-1,35,31,2,7,1,0,0,2,4,0,10,0,0,0,0,0,1,0,.244,.300,.433,.734,9,11,R,E.Fedde(53)
9,9,Apr 6,,CHW,W3-0,35,32,3,10,1,0,1,3,3,0,8,0,0,0,0,1,0,0,.252,.308,.434,.742,8,10,R,C.Flexen(51)
10,10,Apr 7,,CHW,W5-3,32,29,5,5,1,0,2,4,3,0,6,0,0,0,2,2,2,0,.245,.303,.432,.735,3,12,L,G.Crochet(58)
11,11,Apr 9,,HOU,W4-3,40,33,4,7,1,1,0,3,5,0,7,0,1,1,1,0,2,0,.242,.303,.420,.724,10,11,R,C.Javier(49)
12,12,Apr 10,,HOU,W11-2,40,33,11,11,3,0,1,11,6,0,5,0,0,1,0,1,4,0,.249,.314,.428,.743,5,13,R,S.Arrighetti(17)
13,13,Apr 11,,HOU,W13-3,42,39,13,16,2,0,2,13,2,0,4,1,0,0,0,1,1,0,.264,.326,.445,.771,5,11,R,H.Brown(-7)
14,14,Apr 12,@,NYM,L1-6,34,30,1,3,0,0,1,1,4,0,10,0,0,0,0,0,0,0,.253,.318,.429,.748,6,9,R,L.Severino(61)
15,15,Apr 13,@,NYM,W11-7,47,40,11,13,1,1,1,11,5,0,7,1,0,1,1,0,3,0,.259,.326,.433,.758,9,9,L,S.Manaea(16)
16,16,Apr 14,@,NYM,L1-2,31,29,1,3,2,0,1,1,1,0,14,1,0,0,0,1,0,0,.250,.317,.424,.741,3,12,R,J.Buttó(76)
17,17,Apr 15,@,CHW,W2-0,36,32,2,5,1,0,1,2,4,0,8,0,0,0,0,0,0,0,.245,.313,.416,.729,7,10,R,N.Nastrini(56)
18,18,Apr 17 (1),@,CHW,W4-2,36,33,4,7,2,0,2,4,3,0,5,0,0,0,0,0,1,0,.243,.311,.418,.730,5,10,R,J.Cannon(59)
19,19,Apr 17 (2),@,CHW,L1-2,34,30,1,5,1,0,0,1,4,0,6,0,0,0,0,1,0,1,.240,.309,.408,.717,6,10,R,E.Fedde(65)
20,20,Apr 19,,BAL,W9-4,37,33,9,9,2,0,2,9,4,0,5,0,0,0,0,0,1,0,.241,.311,.413,.724,4,9,R,D.Kremer(53)
21,21,Apr 20,,BAL,L7-9,40,35,7,8,2,0,1,6,4,0,6,1,0,0,1,0,0,0,.241,.312,.411,.723,6,12,R,C.Burnes(52)
22,22,Apr 21,,BAL,L0-5,36,32,0,5,1,0,0,0,4,0,5,0,0,0,0,0,0,0,.237,.309,.401,.710,9,11,L,C.Irvin(66)
23,23,Apr 22,,TOR,L3-5,35,35,3,8,3,0,2,3,0,0,7,0,0,0,0,0,0,0,.237,.306,.405,.711,5,11,L,Y.Kikuchi(58)
24,24,Apr 23,,TOR,W3-2,33,32,3,8,3,0,0,2,1,0,4,0,0,0,1,1,1,0,.237,.305,.403,.707,6,11,R,K.Gausman(55)
25,25,Apr 24,,TOR,W3-2,36,33,3,9,1,0,0,3,3,1,2,0,0,0,0,0,4,0,.239,.306,.399,.704,9,10,R,Y.Rodríguez(38)
26,26,Apr 25,,TOR,W2-1,20,17,2,3,0,1,1,2,3,0,1,0,0,0,0,1,0,0,.237,.306,.400,.706,3,9,R,J.Berríos(51)
27,27,Apr 26,@,DET,W8-0,40,32,8,7,0,1,0,8,4,0,10,2,0,2,0,0,0,0,.237,.306,.396,.702,5,12,R,R.Olson(72)
28,28,Apr 27,@,DET,L5-6,39,39,5,9,1,0,0,5,0,0,2,0,0,0,3,1,2,0,.236,.303,.390,.693,7,10,R,C.Mize(47)
29,29,Apr 28,@,DET,L1-4,34,32,1,5,1,0,0,1,2,0,9,0,0,0,0,0,0,0,.234,.300,.383,.683,6,12,L,T.Skubal(70)
30,30,Apr 29,@,TOR,L5-6,41,37,5,11,2,0,2,5,3,0,7,1,0,0,0,1,1,0,.236,.303,.388,.691,9,12,R,Y.Rodríguez(37)
31,31,Apr 30,@,TOR,W4-1,35,32,4,8,2,0,1,4,2,1,4,1,0,0,0,2,1,1,.237,.303,.389,.692,4,10,R,J.Berríos(61)
32,32,May 1,@,TOR,W6-1,36,33,6,7,2,0,1,6,1,0,7,1,1,0,0,0,0,0,.236,.302,.388,.690,3,11,R,C.Bassitt(55)
33,33,May 3,,TEX,W7-1,37,33,7,11,1,0,2,7,4,0,4,0,0,0,0,2,2,0,.239,.305,.393,.698,6,10,R,M.Lorenzen(60)
34,34,May 4,,TEX,L4-15,38,35,4,9,3,0,0,4,3,0,6,0,0,0,0,1,1,0,.239,.305,.391,.696,7,11,R,D.Dunning(51)
35,35,May 5,,TEX,L2-3,39,36,2,7,3,1,0,2,2,1,10,0,0,1,0,0,3,0,.238,.303,.389,.692,8,13,R,J.Gray(62)
36,36,May 6,,MIL,W3-2,34,26,3,5,0,0,1,3,5,1,8,2,1,0,0,2,1,0,.237,.305,.387,.692,7,12,R,B.Wilson(73)
37,37,May 7,,MIL,L5-6,39,38,5,12,2,1,0,5,1,0,7,0,0,0,0,0,1,1,.239,.305,.389,.694,7,10,R,C.Rea(35)
38,38,May 8,,MIL,W6-4,37,30,6,9,4,0,1,6,4,0,4,0,0,3,0,0,0,0,.241,.307,.392,.699,7,11,R,J.Ross(49)
39,39,May 9,@,LAA,W10-4,42,37,10,12,5,0,2,10,4,0,13,0,0,1,0,0,3,1,.243,.309,.399,.707,5,9,L,R.Detmers(32)
40,40,May 10,@,LAA,W2-1,37,34,2,7,2,1,1,2,3,0,7,0,0,0,0,0,0,0,.242,.308,.399,.707,8,12,R,G.Canning(64)
41,41,May 11,@,LAA,L3-9,35,34,3,8,2,0,0,3,1,0,5,0,0,0,0,0,2,1,.242,.307,.396,.703,5,9,L,T.Anderson(51)
42,42,May 12,@,LAA,W4-2,39,38,4,11,1,0,0,4,0,0,8,0,1,0,2,1,1,0,.243,.306,.394,.700,8,10,L,P.Sandoval(37)
43,43,May 13,@,SEA,L2-6,36,33,2,6,1,0,0,2,0,0,10,2,0,0,1,0,1,1,.242,.304,.390,.694,7,9,R,G.Kirby(77)
44,44,May 14,@,SEA,W4-2,33,28,4,5,0,0,1,4,4,1,10,0,1,0,0,2,1,0,.241,.304,.388,.692,2,9,R,L.Gilbert(58)
45,45,May 15,@,SEA,L2-4,35,33,2,6,2,0,0,2,1,0,9,0,0,1,1,0,0,0,.239,.302,.385,.686,6,10,R,B.Woo(62)
46,46,May 17,,OAK,W6-2,38,35,6,11,3,0,2,6,3,0,5,0,0,0,0,0,0,0,.241,.303,.389,.692,8,10,R,M.Spence(53)
47,47,May 18,,OAK,W5-3,34,34,5,11,3,0,1,5,0,0,4,0,0,0,0,1,0,0,.243,.304,.391,.695,5,10,R,R.Stripling(35)
48,48,May 19,,OAK,W8-4,36,29,8,10,3,2,0,8,4,1,5,0,2,1,0,2,1,0,.245,.306,.395,.701,4,11,L,J.Sears(39)
49,49,May 20,,DET,W8-3,39,34,8,11,3,0,2,7,4,0,6,0,0,1,0,0,0,0,.246,.308,.399,.707,7,9,R,R.Olson(43)
50,50,May 21,,DET,W10-3,41,38,10,15,1,2,3,10,1,0,7,0,0,2,1,0,1,0,.250,.309,.407,.717,7,10,R,C.Mize(15)
51,51,May 22,,DET,W8-3,37,32,8,9,3,0,1,8,4,0,10,1,0,0,1,1,1,1,.250,.311,.409,.719,5,11,L,T.Skubal(43)
52,52,May 24,@,TBR,W8-1,43,37,8,12,2,0,2,8,4,0,8,2,0,0,0,0,3,1,.252,.313,.411,.725,8,10,R,S.Armstrong(59)
53,53,May 25,@,TBR,W7-4,47,37,7,11,3,0,1,7,6,1,6,1,1,2,0,2,1,0,.253,.315,.412,.727,9,12,R,A.Civale(55)
54,54,May 26,@,TBR,L1-4,38,33,1,7,1,0,1,1,4,0,8,1,0,0,0,0,0,0,.252,.315,.411,.726,10,10,R,T.Bradley(68)
55,55,May 27,@,MIN,L5-6,38,37,5,10,1,0,0,4,0,0,10,1,0,0,0,0,0,0,.253,.315,.409,.723,6,9,R,J.Ryan(74)
56,56,May 28,@,MIN,L2-4,33,31,2,5,2,0,0,2,2,0,9,0,0,0,0,0,1,1,.251,.313,.406,.719,4,13,R,S.Woods Richardson(55)
57,57,May 29,@,MIN,W6-1,37,36,6,10,2,0,3,6,1,0,5,0,0,0,0,1,0,0,.252,.313,.409,.722,4,9,R,B.Ober(29)
58,58,May 30,@,MIN,L6-7,39,35,6,7,1,0,2,6,4,0,8,0,0,0,1,0,0,0,.251,.312,.409,.721,6,10,R,C.Paddack(45)
59,59,May 31,,SDP,L8-11,41,38,8,13,3,0,1,8,2,1,7,0,0,1,0,0,0,0,.252,.313,.411,.724,6,11,R,D.Cease(50)
60,60,Jun 1,,SDP,L3-7,39,36,3,8,2,0,1,3,3,0,8,0,0,0,1,0,2,0,.252,.313,.410,.722,9,11,R,R.Vásquez(51)
61,61,Jun 2,,SDP,W4-3,33,27,4,7,0,1,0,4,3,0,5,0,1,2,0,1,0,1,.252,.313,.409,.721,4,12,R,M.King(67)
62,62,Jun 4,@,CLE,L5-8,38,35,5,10,1,0,3,5,3,0,10,0,0,0,0,2,1,0,.253,.313,.411,.724,6,9,R,T.McKenzie(35)
63,63,Jun 6,@,CLE,W4-3,42,37,4,10,6,0,0,4,3,0,9,2,0,0,1,2,2,0,.253,.314,.412,.726,11,11,R,T.Bibee(51)
64,64,Jun 7,,SEA,W10-9,41,34,10,10,0,1,1,10,7,2,5,0,0,0,0,2,0,0,.254,.316,.412,.728,5,11,R,B.Miller(25)
65,65,Jun 8,,SEA,W8-4,37,31,8,9,4,0,1,8,4,0,6,0,1,1,0,0,3,0,.254,.316,.414,.730,5,11,R,L.Castillo(38)
66,66,Jun 9,,SEA,L5-6,39,38,5,9,1,1,2,5,0,0,8,0,1,0,0,0,0,0,.254,.315,.415,.730,5,10,R,G.Kirby(67)
67,67,Jun 10,,NYY,L2-4,34,32,2,7,1,0,0,2,1,0,8,1,0,0,0,2,1,0,.253,.314,.412,.727,5,12,L,C.Rodón(66)
68,68,Jun 11,,NYY,L1-10,38,32,1,5,1,1,1,1,5,0,4,1,0,0,0,0,1,0,.252,.314,.411,.725,10,11,R,M.Stroman(59)
69,69,Jun 12,,NYY,L5-11,42,35,5,11,1,0,0,4,6,0,5,0,0,1,0,2,0,0,.253,.315,.410,.726,10,9,R,C.Poteet(51)
70,70,Jun 13,,NYY,W4-3,37,33,4,9,3,0,0,4,4,0,3,0,0,0,0,1,0,1,.253,.316,.410,.726,7,12,L,N.Cortés(57)
71,71,Jun 14,@,LAD,L3-4,33,31,3,5,0,0,1,3,2,0,4,0,0,0,0,0,0,1,.252,.315,.408,.722,3,12,R,G.Stone(58)
72,72,Jun 15,@,LAD,W7-2,39,32,7,7,1,1,1,7,6,1,8,0,0,1,0,1,2,0,.251,.315,.408,.723,5,10,R,Y.Yamamoto(54)
73,73,Jun 16,@,LAD,L0-3,31,29,0,3,0,0,0,0,2,0,11,0,0,0,0,1,1,0,.250,.313,.404,.717,4,9,R,T.Glasnow(79)
74,74,Jun 18,@,OAK,L5-7,38,35,5,7,1,1,1,5,3,0,7,0,0,0,1,0,0,0,.249,.312,.404,.716,6,11,L,H.Harris(52)
75,75,Jun 19,@,OAK,L1-5,36,33,1,8,3,0,0,1,3,0,7,0,0,0,0,1,0,0,.249,.312,.403,.715,8,9,R,L.Medina(54)
76,76,Jun 20,@,OAK,W3-2,35,34,3,7,2,0,3,3,1,0,9,0,0,0,0,0,0,0,.248,.311,.404,.716,5,11,R,M.Spence(58)
77,77,Jun 21,@,TEX,L2-6,35,33,2,6,2,0,1,2,2,0,12,0,0,0,0,0,0,0,.247,.310,.404,.714,6,10,R,N.Eovaldi(61)
78,78,Jun 22,@,TEX,L0-6,30,30,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,.246,.308,.400,.708,3,10,R,J.Gray(71)
79,79,Jun 23,@,TEX,L0-4,28,27,0,2,1,0,0,0,1,0,5,0,0,0,0,1,0,1,.244,.306,.397,.703,1,9,R,M.Scherzer(69)
80,80,Jun 24,,MIA,W4-1,33,29,4,6,1,0,3,4,4,0,5,0,0,0,0,1,0,0,.244,.306,.399,.705,5,9,R,R.Muñoz(44)
81,81,Jun 25,,MIA,L1-2,33,30,1,4,2,0,0,1,3,0,9,0,0,0,0,0,3,0,.242,.305,.397,.702,5,12,R,Y.Chirinos(59)
82,82,Jun 26,,MIA,W5-1,36,34,5,10,3,1,0,5,1,0,8,1,0,0,0,0,1,0,.243,.305,.397,.702,7,12,R,V.Bellozo(65)
83,83,Jun 27,,CLE,W2-1,30,27,2,6,0,2,0,2,1,0,8,1,0,1,0,2,1,0,.243,.305,.397,.702,4,10,R,B.Lively(56)
84,84,Jun 28,,CLE,W10-3,41,32,10,13,1,0,4,9,8,1,4,0,0,1,0,3,3,1,.245,.308,.402,.709,7,12,R,T.McKenzie(27)
85,85,Jun 29,,CLE,L2-7,31,31,2,6,0,0,2,2,0,0,10,0,0,0,0,1,0,0,.244,.307,.401,.708,2,9,R,T.Bibee(59)
86,86,Jun 30,,CLE,W6-2,37,34,6,11,3,1,1,6,2,0,5,0,1,0,0,0,1,0,.245,.307,.403,.711,7,9,L,L.Allen(42)
87,87,Jul 2,,TBR,L1-5,32,32,1,6,1,0,1,1,0,0,6,0,0,0,0,0,0,0,.244,.306,.402,.708,4,10,R,Z.Littell(63)
88,88,Jul 3,,TBR,W4-2,35,30,4,7,1,0,0,4,5,0,4,0,0,0,0,1,0,0,.244,.306,.401,.707,7,9,R,R.Pepiot(43)
89,89,Jul 4,,TBR,L8-10,39,36,8,10,4,0,2,7,1,0,4,1,0,1,1,0,0,1,.245,.307,.403,.709,4,11,R,Z.Eflin(33)
90,90,Jul 5,@,COL,L2-4,37,36,2,10,1,1,0,2,1,0,7,0,0,0,1,1,1,0,.245,.306,.402,.709,8,10,L,K.Freeland(61)
91,91,Jul 6,@,COL,L1-3,35,34,1,8,1,0,1,1,1,0,4,0,0,0,0,0,0,0,.245,.306,.402,.708,7,11,L,A.Gomber(64)
92,92,Jul 7,@,COL,W10-1,40,37,10,12,0,0,3,10,2,0,6,0,0,1,0,0,0,0,.246,.306,.404,.710,3,12,R,T.Gordon(41)
93,93,Jul 10 (1),@,STL,W6-4,36,35,6,9,3,0,1,6,0,0,7,0,0,1,0,0,1,0,.246,.306,.404,.710,3,10,R,A.Pallante(50)
94,94,Jul 10 (2),@,STL,W8-5,39,36,8,12,1,0,3,8,1,0,6,0,0,2,0,1,1,0,.247,.306,.406,.713,4,10,R,G.Graceffo(42)
95,95,Jul 12,@,BOS,W6-1,39,33,6,10,1,0,2,6,2,0,2,1,1,2,0,0,0,0,.248,.307,.408,.714,6,10,R,C.Criswell(33)
96,96,Jul 13,@,BOS,L0-5,33,31,0,5,1,0,0,0,1,0,6,1,0,0,0,1,0,0,.247,.306,.405,.711,6,9,R,K.Crawford(74)
97,97,Jul 14,@,BOS,L4-5,36,34,4,9,0,0,2,4,2,0,7,0,0,0,0,0,0,0,.247,.306,.406,.711,5,13,R,B.Bello(49)
98,98,Jul 19,,CHW,W7-1,37,28,7,7,0,0,1,7,5,1,6,1,2,1,0,0,1,0,.247,.306,.405,.712,6,10,R,C.Flexen(27)
99,99,Jul 20,,CHW,W6-1,35,32,6,9,3,1,0,6,3,1,8,0,0,0,1,1,1,2,.247,.307,.406,.712,5,12,R,J.Cannon(44)
100,100,Jul 21,,CHW,W4-1,36,32,4,10,0,0,0,4,2,0,10,1,1,0,0,1,1,0,.248,.307,.405,.712,8,12,R,D.Thorpe(69)
101,101,Jul 22,,ARI,W10-4,41,38,10,15,2,1,3,10,1,0,4,1,0,1,0,0,0,0,.250,.308,.409,.717,7,9,R,Y.Diaz(12)
102,102,Jul 23,,ARI,L2-6,34,31,2,7,2,0,0,2,3,0,5,0,0,0,0,2,1,1,.249,.308,.408,.716,5,9,L,J.Montgomery(58)
103,103,Jul 24,,ARI,L6-8,40,36,6,12,2,1,0,5,3,0,4,1,0,0,0,3,0,0,.250,.309,.408,.717,7,12,R,R.Nelson(38)
104,104,Jul 26,,CHC,W6-0,35,34,6,10,0,0,1,6,1,0,5,0,0,0,0,0,1,0,.251,.309,.408,.717,5,9,R,K.Hendricks(31)
105,105,Jul 27,,CHC,L4-9,36,34,4,9,3,0,1,4,1,0,4,1,0,0,0,0,0,1,.251,.309,.408,.717,5,10,L,S.Imanaga(48)
106,106,Jul 28,,CHC,L3-7,34,31,3,5,1,0,1,3,1,0,8,1,1,0,0,0,0,0,.250,.308,.407,.715,4,9,R,J.Assad(54)
107,107,Jul 29,@,CHW,W8-5,43,40,8,15,3,0,3,8,2,0,5,1,0,0,0,1,1,1,.252,.310,.410,.720,8,12,R,C.Flexen(48)
108,108,Jul 30,@,CHW,W4-3,35,30,4,4,1,0,1,4,5,0,2,0,0,0,0,0,0,0,.251,.309,.409,.718,4,12,R,J.Cannon(70)
109,109,Jul 31,@,CHW,W10-3,46,41,10,16,2,0,2,10,4,0,4,0,0,1,1,1,2,0,.252,.311,.411,.721,9,13,R,D.Thorpe(27)
110,110,Aug 1,@,DET,W7-1,39,36,7,10,2,0,3,7,1,0,3,2,0,0,0,1,2,0,.252,.311,.412,.723,5,9,R,K.Montero(51)
111,111,Aug 2,@,DET,W9-2,43,39,9,14,2,0,1,8,2,0,10,0,1,1,0,0,2,0,.254,.312,.413,.725,7,9,L,T.Skubal(45)
112,112,Aug 3,@,DET,L5-6,43,41,5,9,1,0,2,5,1,0,8,0,0,1,1,0,1,0,.253,.311,.413,.724,7,12,L,T.Holton(62)
113,113,Aug 4,@,DET,W3-2,38,36,3,9,1,0,1,3,2,0,8,0,0,0,0,0,0,0,.253,.311,.412,.723,8,14,R,A.Faedo(53)
114,114,Aug 5,,BOS,L5-9,37,35,5,9,3,1,1,5,2,0,7,0,0,0,0,1,1,0,.253,.310,.413,.724,5,11,L,J.Paxton(57)
115,115,Aug 6,,BOS,L5-6,38,35,5,8,4,0,1,5,3,0,11,0,0,0,0,0,1,0,.253,.310,.413,.724,6,12,R,B.Bello(45)
116,116,Aug 7,,BOS,W8-4,37,31,8,7,1,0,3,7,5,0,8,1,0,0,0,0,0,0,.253,.311,.414,.725,5,9,R,K.Crawford(26)
117,117,Aug 9,,STL,L5-8,39,35,5,10,1,1,0,5,3,0,7,0,0,1,0,1,1,0,.253,.311,.414,.725,7,11,R,M.Mikolas(29)
118,118,Aug 10,,STL,W8-3,39,35,8,12,1,2,1,8,4,0,4,0,0,0,0,0,3,2,.254,.312,.415,.727,7,11,R,A.Pallante(57)
119,119,Aug 12,@,MIN,L3-8,37,35,3,8,2,0,1,3,0,0,9,1,0,0,0,0,0,0,.254,.311,.415,.726,7,10,R,P.López(55)
120,120,Aug 13,@,MIN,L3-13,34,34,3,7,1,0,2,3,0,0,9,0,0,0,0,0,0,0,.253,.310,.415,.725,4,13,R,Z.Matthews(54)
121,121,Aug 14,@,MIN,W4-1,40,36,4,11,2,0,2,4,4,0,6,0,0,0,0,1,2,1,.254,.311,.416,.727,9,10,R,L.Varland(46)
122,122,Aug 16,@,CIN,W7-1,40,37,7,13,4,0,2,7,1,1,9,0,2,0,0,0,0,0,.255,.311,.418,.729,6,10,R,N.Martinez(48)
123,123,Aug 17,@,CIN,W13-1,51,43,13,15,4,0,2,12,6,0,7,0,0,2,2,0,0,0,.256,.313,.420,.732,11,11,L,N.Lodolo(9)
124,124,Aug 18,@,CIN,W8-1,40,37,8,13,2,0,1,8,1,1,8,0,0,2,0,1,1,0,.256,.313,.420,.733,5,12,L,A.Abbott(42)
125,125,Aug 19,,LAA,W5-3,37,33,5,9,2,0,1,5,4,0,10,0,0,0,0,0,1,0,.256,.313,.420,.733,8,11,R,C.Fulmer(43)
