Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,MIN,L1-4,9.0,10,4,4,0,5,12,1,0,4.00,42,158,102,0,0,0,0,37,1,0,1,0,0,0,0,4,Laz Diaz,C.Ragans (99-60-L) N.Anderson (99) A.Zerpa (99) C.Stratton (99)
2,2,Mar 30,,MIN,L1-5,9.0,7,5,5,0,3,6,0,4,4.50,40,146,95,0,0,1,1,32,3,0,1,0,1,1,1,4,Tripp Gibson,S.Lugo (99-71) J.Schreiber (99-H) J.McArthur (99-BSv) W.Smith (99-L)
3,3,Mar 31,,MIN,W11-0,9.0,4,0,0,0,2,12,0,2,3.00,35,129,84,0,0,0,0,31,3,0,0,0,0,0,0,3,Mike Estabrook,B.Singer (99-80-W) M.Sauer (99) J.Lyles (99)
4,4,Apr 1,@,BAL,L4-6,8.1,9,6,6,0,1,7,2,0,3.82,35,126,78,0,0,0,0,34,1,0,0,0,0,0,0,5,Brennan Miller,M.Wacha (99-53) J.Schreiber (1) C.Stratton (3) J.McArthur (1) N.Anderson (3-L)
5,5,Apr 2,@,BAL,W4-1,9.0,3,1,1,0,1,6,0,0,3.25,31,102,71,0,0,0,0,30,2,0,0,0,0,0,0,3,Brian O'Nora,A.Marsh (99-73-W) J.Schreiber (0-H) W.Smith (2-Sv)
6,6,Apr 3,@,BAL,L3-4,8.2,6,4,4,0,4,9,0,0,3.40,35,129,82,4,2,0,0,29,2,0,1,1,1,0,0,4,Paul Clemons,C.Ragans (5-76) J.McArthur (1-H) A.Zerpa (5-H) W.Smith (0-BL)
7,7,Apr 4,,CHW,W10-1,9.0,8,1,1,0,4,4,0,0,3.05,36,128,78,1,0,0,0,32,2,0,0,0,0,0,3,4,Malachi Moore,S.Lugo (4-55-W) A.Zerpa (0-H) M.Sauer (3) J.Lyles (3)
8,8,Apr 5,,CHW,W2-1,9.0,4,1,1,0,4,7,1,0,2.79,32,115,69,3,0,1,1,28,1,0,0,0,0,0,2,5,Bill Miller,B.Singer (4-68) J.Schreiber (2) C.Stratton (3-W) W.Smith (1-H) J.McArthur (1-Sv)
9,9,Apr 6,,CHW,W3-0,9.0,3,0,0,0,2,10,0,0,2.48,30,122,79,0,0,0,0,28,2,0,0,0,0,0,2,3,Doug Eddings,M.Wacha (4-80-W) N.Anderson (4-H) C.Stratton (0-Sv)
10,10,Apr 7,,CHW,W5-3,9.0,12,3,3,0,3,8,0,1,2.53,42,150,93,2,0,0,1,37,3,0,0,0,1,0,0,5,Chad Whitson,A.Marsh (4-38) A.Zerpa (2) J.Schreiber (1-W) W.Smith (1-H) J.McArthur (1-Sv)
11,11,Apr 9,,HOU,W4-3,10.0,13,3,3,0,1,10,0,0,2.55,45,164,113,0,0,1,0,44,2,0,0,0,0,0,0,5,Jansen Visconti,C.Ragans (5-39) N.Anderson (2) C.Stratton (2) J.Schreiber (1) J.McArthur (1-W)
