Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Dan Altavilla,31,3.2,5,1,6,14.73,4.73,0.17,-0.32,0.00,100.1,4.24,-4,-0.4,.32,0.1,-0.3,-4,.416,.497,,Free Agency,altavda01
Nick Anderson,33,35.2,37,0,17,4.29,4.48,0.17,-0.30,0.16,105.8,4.41,0,0.0,.44,-0.1,0.3,4,.501,.500,$1575000,Purchased,anderni01
Jonathan Bowlan,27,2.2,1,1,4,13.50,4.23,0.24,0.19,0.00,100.0,4.19,-3,-0.2,,0.0,-0.2,-3,.272,.499,$740000,Amateur Draft,bowlajo01
Kris Bubic*,26,30.1,27,0,12,3.56,4.46,0.14,-0.30,0.55,106.9,4.89,4,0.5,1.29,0.0,0.8,7,.517,.503,$2350000,Amateur Draft,bubickr01
Steven Cruz,25,5.2,5,0,0,0.00,5.02,0.14,-0.34,0.00,104.6,4.75,3,0.3,.21,-0.1,0.2,4,.566,.502,$740000,Traded,cruzst01
Tyler Duffey,33,9.0,9,0,5,5.00,4.41,0.15,-0.30,0.00,104.0,4.12,-1,-0.1,.66,0.0,0.0,0,.489,.499,,Free Agency,duffety01
Lucas Erceg,29,25.0,23,0,9,3.24,4.35,0.14,-0.29,0.45,105.8,4.62,4,0.4,1.85,0.1,0.8,6,.517,.502,,Traded,erceglu01
Garrett Hampson,29,1.0,1,0,0,0.00,5.25,0.16,-0.35,0.00,110.0,5.21,1,0.1,.00,0.0,0.0,1,.564,.500,$2000000,Free Agency,hampsga01
Hunter Harvey,29,5.2,6,0,4,6.35,4.23,0.19,-0.28,0.00,106.5,4.00,-2,-0.2,1.77,-0.1,-0.2,-1,.474,.499,,Traded,harvehu01
Carlos Hernández,27,30.0,27,0,14,4.20,4.30,0.16,-0.29,0.00,104.6,4.03,-1,-0.1,.45,0.0,0.2,2,.497,.500,$1012500,Amateur Free Agent,hernaca04
Will Klein,24,5.2,5,0,4,6.35,4.83,0.19,-0.32,0.00,109.1,4.71,-1,-0.1,.56,0.0,0.0,-1,.478,.499,$740000,Amateur Draft,kleinwi01
Nick Loftin,25,1.0,1,0,0,0.00,4.94,0.16,-0.33,0.00,110.0,4.89,1,0.1,.00,0.0,0.0,1,.559,.500,$741900,Amateur Draft,loftini01
Sam Long*,28,42.2,43,0,17,3.59,4.52,0.15,-0.30,0.00,105.3,4.28,3,0.3,1.08,-0.1,0.7,7,.508,.502,$740000,Free Agency,longsa01
