Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
CJ Alexander,27,us US,L,R,6' 4",215,Jul 17 1996,1st,4,3,4,3,0,0,0,0,3,0,0,0,0,0,1,0,1,-0.2,,,alexacj01
Dan Altavilla,31,us US,R,R,5' 11",220,Sep 8 1992,7,5,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,altavda01
Nick Anderson,33,us US,R,R,6' 4",205,Jul 5 1990,5,37,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$1575000,,anderni01
Dairon Blanco,31,cu CU,R,R,5' 11",200,Apr 26 1993,3,88,34,88,67,0,0,0,0,0,0,36,15,21,67,10,5,42,0.1,$743750,,blancda02
Jonathan Bowlan,27,us US,R,R,6' 6",240,Dec 1 1996,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$740000,,bowlajo01
Kris Bubic,26,us US,L,L,6' 3",225,Aug 19 1997,5,27,0,1,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$2350000,,bubickr01
Steven Cruz,25,do DO,R,R,6' 7",225,Jun 15 1999,2,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$740000,,cruzst01
Paul DeJong,30,us US,R,R,6' 0",205,Aug 2 1993,8,37,30,37,31,0,0,0,0,30,1,0,0,0,0,3,5,0,0.7,,,dejonpa01
Tyler Duffey,33,us US,R,R,6' 3",220,Dec 27 1990,10,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,duffety01
Lucas Erceg,29,us US,L,R,6' 2",214,May 1 1995,2,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,,erceglu01
Freddy Fermin,29,ve VE,R,R,5' 9",200,May 16 1995,3,111,90,111,91,0,91,0,0,0,0,0,0,0,0,22,5,2,3.0,$744500,,fermifr01
Adam Frazier,32,us US,L,R,5' 10",180,Dec 14 1991,9,104,72,104,81,0,0,1,43,9,0,10,0,26,34,17,28,2,0.3,$2000000,,fraziad01
Maikel Garcia,24,ve VE,R,R,6' 0",180,Mar 3 2000,3,157,142,157,156,0,0,0,37,124,4,0,0,1,1,0,12,1,1.2,$751250,,garcima01
Tyler Gentry,25,us US,R,R,6' 1",210,Feb 1 1999,1st,3,2,3,3,0,0,0,0,0,0,0,0,3,3,0,1,0,-0.1,,,gentrty01
Robbie Grossman,34,us US,B,L,6' 0",209,Sep 16 1989,12,16,9,16,2,0,0,0,0,0,0,1,0,1,2,10,7,0,-0.4,,,grossro01
Yuli Gurriel,40,cu CU,R,R,6' 0",215,Jun 9 1984,9,18,17,18,12,0,0,12,0,0,0,0,0,0,0,5,1,0,0.1,,,gourryu01
Garrett Hampson,29,us US,R,R,5' 11",196,Oct 10 1994,7,113,59,113,112,1,0,8,24,2,8,28,52,7,83,0,22,10,0.4,$2000000,,hampsga01
Hunter Harvey,29,us US,R,R,6' 3",233,Dec 9 1994,6,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,harvehu01
Carlos Hernández,27,ve VE,R,R,6' 4",255,Mar 11 1997,5,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$1012500,,hernaca04
Kyle Isbel,27,us US,L,R,5' 11",190,Mar 3 1997,4,136,119,136,136,0,0,0,0,0,0,0,136,0,136,0,9,4,1.8,$758250,,isbelky01
Will Klein,24,us US,R,R,6' 5",230,Nov 28 1999,1st,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$740000,,kleinwi01
Nick Loftin,25,us US,R,R,6' 0",180,Sep 25 1998,2,57,42,56,51,1,0,7,28,17,0,4,0,0,4,5,12,1,0.2,$741900,,loftini01
Sam Long,28,us US,L,L,6' 1",185,Jul 8 1995,4,43,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$740000,,longsa01
Michael Lorenzen,32,us US,R,R,6' 3",217,Jan 4 1992,10,7,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1.2,,,lorenmi01
Seth Lugo,34,us US,R,R,6' 4",225,Nov 17 1989,9,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,5.3,$15000000,All-Star,lugose01
Jordan Lyles,33,us US,R,R,6' 5",230,Oct 19 1990,14,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$8500000,,lylesjo01
Daniel Lynch IV,27,us US,L,L,6' 6",200,Nov 17 1996,4,16,3,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$740000,,lynchda02
Alec Marsh,26,us US,R,R,6' 2",220,May 14 1998,2,26,25,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$744750,,marshal01
Michael Massey,26,us US,L,R,6' 0",195,Mar 22 1998,3,100,84,100,82,0,0,0,82,0,0,0,0,0,0,14,16,0,1.6,$757000,,massemi02
