Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,Name-additional
Javier Báez,31,11,Free Agency,8.089,Wasserman,6 yrs/$140M (22-27),$25M,$25M,$24M,$24M,FA,,,,,baezja01
Colt Keith,22,1st,Amateur Draft,0.000,,6 yrs/$28.64M (24-29) & 30-32 team option,$2.83M,$3.83M,$4.33M,$4.33M,$5.33M,$5.33M,$2.64M [FA-*],$0 [FA-*],$0 [FA-*],keithco01
Kenta Maeda,36,8,Free Agency,8.000,Wasserman,2 yrs/$24M (24-25),$14M,$10M,FA,,,,,,,maedake01
Tomás Nido,30,8,,4.161,,2 yrs/$3.7M (23-24),$2.1M,Arb,FA,,,,,,,nidoto01
Tarik Skubal,27,5,Amateur Draft,3.114,Boras Corporation,1 yr/$2.65M (24),$2.65M,Arb,Arb,FA,,,,,,skubata01
Jake Rogers,29,4,Traded,3.040,Ballengee Group,1 yr/$1.7M (24),$1.7M,Arb,Arb,FA,,,,,,rogerja03
Akil Baddoo,25,4,Rule 5 Draft,2.119,Apex Baseball,1 yr/$1.55M (24),$1.55M,Arb,Arb,Arb,FA,,,,,baddoak01
Casey Mize,27,4,Amateur Draft,3.111,The Bledsoe Agenc...,1 yr/$840k (24) & 25 team option,$830k,$10k [Arb-*],Arb,FA,,,,,,mizeca01
Jason Foley,28,4,Amateur Free Agent,2.033,,1 yr/$766k (24),$766.3k,Arb,Arb,Arb,FA,,,,,foleyja01
Riley Greene,23,3,Amateur Draft,1.110,,1 yr/$766k (24),$766.3k,Pre-Arb,Arb,Arb,Arb,FA,,,,greenri03
Andy Ibáñez,31,4,Waivers,1.170,,1 yr/$766k (24),$766.1k,Arb,Arb,Arb,Arb,FA,,,,ibanean01
Matt Vierling,27,4,Traded,2.026,,1 yr/$766k (24),$766k,Arb,Arb,Arb,FA,,,,,vierlma01
Spencer Torkelson,24,3,Amateur Draft,1.137,,1 yr/$766k (24),$765.7k,Pre-Arb,Arb,Arb,Arb,FA,,,,torkesp01
Zach McKinstry,29,5,Traded,2.099,Northwest Sports ...,1 yr/$764k (24),$764.4k,Arb,Arb,Arb,FA,,,,,mckinza01
Kerry Carpenter,26,3,Amateur Draft,1.057,,1 yr/$761k (24),$761k,Pre-Arb,Arb,Arb,Arb,FA,,,,carpeke01
Will Vest,29,4,Rule 5 returned,2.100,,1 yr/$761k (24),$760.7k,Arb,Arb,Arb,FA,,,,,vestwi01
Alex Lange,28,4,Traded,2.112,,1 yr/$761k (24),$760.6k,Arb,Arb,Arb,FA,,,,,langeal01
Tyler Holton,28,3,Waivers,1.047,,1 yr/$758k (24),$758.3k,Pre-Arb,Arb,Arb,Arb,FA,,,,holtoty01
Reese Olson,24,2,Traded,0.123,,1 yr/$752k (24),$752.3k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,olsonre01
Parker Meadows,24,2,Amateur Draft,0.042,,1 yr/$747k (24),$746.9k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,meadopa01
Alex Faedo,28,3,Amateur Draft,0.169,,1 yr/$747k (24),$746.6k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,faedoal01
Sawyer Gipson-Long,26,1st,Traded,0.022,,1 yr/$744k (24),$743.6k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,gipsosa01
