Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,CHW,W1-0,35,32,1,6,0,0,0,1,1,0,11,1,0,1,0,0,1,0,.188,.229,.188,.416,7,11,L,G.Crochet(66)
2,2,Mar 30,@,CHW,W7-6,45,41,7,12,2,1,2,7,4,0,3,0,0,0,0,0,1,0,.247,.300,.384,.684,9,9,R,M.Soroka(34)
3,3,Mar 31,@,CHW,W3-2,39,35,3,8,0,0,2,3,4,0,13,0,0,0,0,0,0,0,.241,.303,.389,.691,9,13,R,E.Fedde(52)
4,4,Apr 1,@,NYM,W5-0,37,32,5,4,0,0,1,5,3,0,12,1,0,1,1,1,0,0,.214,.282,.350,.632,3,13,L,S.Manaea(76)
5,5,Apr 4 (1),@,NYM,W6-3,47,40,6,9,1,0,1,5,5,0,8,1,0,1,0,0,0,0,.217,.291,.344,.635,10,11,R,A.Houser(57)
6,6,Apr 4 (2),@,NYM,L1-2,34,30,1,5,0,0,0,1,4,0,10,0,0,0,0,2,2,0,.210,.287,.319,.606,6,10,R,J.Buttó(65)
7,7,Apr 5,,OAK,W5-4,35,30,5,8,4,0,2,5,4,1,4,1,0,0,0,2,0,0,.217,.298,.354,.652,6,13,L,J.Sears(41)
8,8,Apr 6,,OAK,L0-4,34,33,0,5,2,0,0,0,1,0,9,0,0,0,1,0,1,0,.209,.284,.337,.621,7,9,R,P.Blackburn(70)
9,9,Apr 7,,OAK,L1-7,37,33,1,7,1,0,1,1,3,0,7,1,0,0,0,1,0,0,.209,.286,.337,.622,9,11,R,J.Boyle(66)
10,10,Apr 8,@,PIT,L4-7,40,35,4,9,2,0,0,4,4,0,12,0,0,1,1,0,2,0,.214,.290,.334,.624,9,12,R,M.Keller(60)
11,11,Apr 9,@,PIT,W5-3,38,35,5,9,1,0,0,4,1,0,8,2,0,0,0,1,0,0,.218,.292,.330,.622,6,13,L,M.Pérez(73)
12,12,Apr 12,,MIN,W8-2,41,34,8,10,2,0,1,8,6,0,15,1,0,0,1,0,0,0,.224,.303,.339,.642,9,12,R,P.López(34)
13,13,Apr 13 (1),,MIN,L5-11,48,44,5,8,1,0,1,5,3,1,17,0,0,0,1,1,0,0,.220,.297,.333,.629,10,11,R,J.Ryan(63)
14,14,Apr 13 (2),,MIN,L1-4,32,30,1,4,1,0,0,1,1,0,10,0,0,1,0,0,1,0,.215,.288,.322,.611,4,12,R,S.Woods Richardson(68)
15,15,Apr 14,,MIN,W4-3,32,31,4,8,3,0,1,4,1,0,4,0,0,0,0,1,0,0,.217,.288,.330,.618,4,10,R,B.Ober(69)
16,16,Apr 15,,TEX,L0-1,35,29,0,5,1,0,0,0,5,0,7,0,0,0,0,3,0,0,.215,.288,.324,.612,8,11,R,M.Lorenzen(60)
17,17,Apr 16,,TEX,W4-2,33,29,4,5,1,1,0,2,4,0,10,0,0,0,0,0,0,0,.213,.288,.321,.609,5,10,R,J.Gray(64)
18,18,Apr 17,,TEX,L4-5,40,34,4,7,1,0,2,3,6,0,11,0,0,0,1,1,0,0,.213,.290,.326,.616,9,13,R,D.Dunning(56)
19,19,Apr 18,,TEX,L7-9,44,38,7,11,4,2,0,7,6,0,7,0,0,0,0,0,0,0,.217,.296,.336,.632,10,11,R,J.Leiter(17)
20,20,Apr 19,@,MIN,W5-4,39,37,5,12,1,1,0,4,2,1,11,0,0,0,0,1,2,0,.223,.299,.340,.639,7,12,R,J.Ryan(45)
21,21,Apr 20,@,MIN,L3-4,35,32,3,5,1,1,0,3,3,0,10,0,0,0,0,0,0,0,.220,.296,.336,.632,5,13,R,B.Ober(69)
22,22,Apr 21,@,MIN,W6-1,40,31,6,7,2,0,1,6,6,0,9,1,0,2,0,1,2,0,.220,.298,.338,.637,7,9,R,L.Varland(34)
23,23,Apr 22,@,TBR,W7-1,40,38,7,11,2,0,2,5,0,0,10,2,0,0,0,0,0,0,.223,.300,.346,.646,6,9,R,Z.Littell(39)
24,24,Apr 23,@,TBR,W4-2,35,32,4,6,1,0,3,4,2,0,6,1,0,0,0,0,1,1,.222,.298,.352,.650,4,11,R,R.Pepiot(64)
25,25,Apr 24,@,TBR,L5-7,37,34,5,7,1,1,0,5,3,0,10,0,0,0,0,0,1,0,.221,.297,.350,.647,5,10,R,S.Armstrong(48)
26,26,Apr 26,,KCR,L0-8,34,32,0,5,0,0,0,0,2,0,10,0,0,0,1,0,0,0,.219,.294,.343,.636,7,11,R,S.Lugo(78)
27,27,Apr 27,,KCR,W6-5,39,33,6,8,0,1,1,6,6,0,7,0,0,0,1,0,0,0,.220,.296,.345,.641,9,12,R,B.Singer(58)
28,28,Apr 28,,KCR,W4-1,35,32,4,10,2,0,2,4,1,0,5,1,0,1,0,0,0,0,.223,.298,.352,.650,7,9,R,M.Wacha(38)
29,29,Apr 30 (1),,STL,L1-2,33,31,1,4,0,0,1,1,2,0,13,0,0,0,0,0,1,0,.220,.294,.348,.642,5,10,R,K.Gibson(72)
30,30,Apr 30 (2),,STL,W11-6,43,35,11,14,4,0,3,11,6,0,6,1,0,1,0,1,0,0,.226,.302,.363,.664,8,11,L,S.Matz(29)
31,31,May 1,,STL,W4-1,32,30,4,8,2,0,1,4,0,0,5,1,0,1,0,0,0,1,.227,.301,.365,.666,4,11,R,M.Mikolas(52)
32,32,May 3,@,NYY,L1-2,38,31,1,5,0,0,0,1,7,0,4,0,0,0,0,1,1,0,.226,.301,.359,.660,10,12,R,M.Stroman(56)
33,33,May 4,@,NYY,L3-5,35,31,3,7,0,1,1,3,1,0,14,2,0,1,0,2,0,0,.226,.301,.360,.661,5,10,R,C.Schmidt(54)
34,34,May 5,@,NYY,L2-5,31,29,2,5,2,0,0,2,2,0,11,0,0,0,0,0,0,0,.224,.299,.357,.656,5,11,L,N.Cortés(67)
35,35,May 6,@,CLE,L1-2,37,32,1,6,1,0,1,1,4,0,9,0,0,0,0,1,0,0,.223,.299,.355,.654,9,11,R,T.McKenzie(60)
36,36,May 7,@,CLE,W11-7,44,40,11,15,4,0,2,10,4,0,8,0,0,0,0,3,0,0,.228,.303,.364,.667,6,9,L,L.Allen(15)
37,37,May 8,@,CLE,L4-5,38,36,4,7,3,0,0,4,0,0,9,1,0,1,0,0,0,0,.227,.300,.362,.662,5,11,R,T.Bibee(41)
38,38,May 10,,HOU,L2-5,37,34,2,7,3,0,0,2,3,0,9,0,0,0,1,1,1,0,.227,.300,.360,.660,8,9,L,F.Valdez(59)
39,39,May 11,,HOU,W8-2,41,36,8,11,2,0,3,8,5,0,9,0,0,0,0,0,2,0,.229,.302,.367,.669,9,9,R,C.Javier(12)
40,40,May 12,,HOU,L3-9,36,32,3,6,1,1,1,2,3,0,10,1,0,0,0,0,0,1,.228,.302,.367,.669,6,11,R,J.Verlander(79)
