Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,CHW,W1-0,9.0,3,0,0,0,0,11,0,0,0.00,30,113,82,0,0,0,0,30,0,0,0,0,0,0,0,4,Brian O'Nora,T.Skubal (99-72-W) S.Miller (99-H) A.Chafin (99-H) J.Foley (99-Sv)
2,2,Mar 30,@,CHW,W7-6,10.0,10,6,6,0,4,7,3,0,2.84,42,177,107,5,1,0,1,38,0,1,0,0,0,1,1,6,Mark Carlson,K.Maeda (99-23) A.Faedo (99) T.Holton (99) A.Lange (99) W.Vest (99) S.Miller (1-W)
3,3,Mar 31,@,CHW,W3-2,9.0,5,2,2,0,1,11,2,1,2.57,33,123,80,0,0,1,0,31,1,0,0,0,0,0,1,4,Dan Merzel,J.Flaherty (99-67) A.Chafin (2-BSv) T.Holton (0-W) J.Foley (2-Sv)
4,4,Apr 1,@,NYM,W5-0,10.0,5,0,0,0,3,8,0,1,1.89,38,166,100,1,0,0,0,34,1,0,0,0,0,0,1,5,Lance Barksdale,R.Olson (99-64) W.Vest (1) A.Faedo (1) J.Foley (0-W) S.Miller (1)
5,5,Apr 4(1),@,NYM,W6-3,11.0,6,3,3,0,8,13,0,2,2.02,48,212,128,1,1,2,0,38,1,0,0,0,0,0,1,6,Angel Hernandez,C.Mize (99-43) J.Wentz (99) A.Lange (4) A.Chafin (3) J.Foley (2) S.Miller (2-W)
6,6,Apr 4(2),@,NYM,L1-2,8.1,3,2,2,0,5,5,1,0,2.04,33,125,79,2,0,0,0,26,0,0,0,2,0,0,0,3,Nic Lentz,M.Manning (99-68) T.Holton (3-H) A.Faedo (2-BL)
7,7,Apr 5,,OAK,W5-4,9.0,5,4,4,0,5,14,2,0,2.31,37,142,95,3,1,0,0,32,2,0,0,0,0,0,0,5,Tripp Gibson,T.Skubal (7-56) W.Vest (3-BSv) J.Foley (0-W) A.Chafin (0-H) A.Lange (0-Sv)
8,8,Apr 6,,OAK,L0-4,9.0,5,4,4,0,6,8,1,0,2.51,37,159,92,2,2,1,1,31,0,0,0,0,0,0,0,3,Charlie Ramos,K.Maeda (6-52-L) J.Wentz (1) W.Vest (0)
9,9,Apr 7,,OAK,L1-7,9.0,14,7,7,0,2,5,1,1,2.99,42,147,97,0,0,0,0,39,1,1,0,0,0,0,1,3,Chad Fairchild,J.Flaherty (6-34-L) A.Faedo (2) A.Lange (1)
10,10,Apr 8,@,PIT,L4-7,8.0,12,7,7,0,4,5,1,2,3.41,40,149,88,3,0,0,0,34,2,0,0,0,0,0,2,4,Mark Carlson,R.Olson (6-21-L) T.Holton (3) W.Vest (1) J.Wentz (1)
11,11,Apr 9,@,PIT,W5-3,9.0,8,3,3,0,2,4,2,0,3.38,36,138,90,0,0,0,0,34,1,0,0,0,0,0,1,5,Dan Merzel,C.Mize (4-50) T.Holton (0) A.Lange (1) S.Miller (4-W) J.Foley (3-Sv)
12,12,Apr 12,,MIN,W8-2,9.0,6,2,2,0,4,11,0,0,3.26,37,159,104,0,0,0,0,33,2,0,0,0,0,0,0,4,Adam Beck,T.Skubal (6-66-W) A.Faedo (4) A.Chafin (6) W.Vest (3)
13,13,Apr 13(1),,MIN,L5-11,12.0,8,11,2,9,3,12,2,2,3.09,51,189,122,1,1,1,0,45,3,0,0,1,0,1,0,6,CB Bucknor,K.Maeda (6-61) T.Holton (3-H) S.Miller (3-BSv) J.Foley (3) A.Lange (3-L) Z.McKinstry (99)
14,14,Apr 13(2),,MIN,L1-4,9.0,7,4,4,0,3,11,2,0,3.15,37,134,96,0,0,0,0,33,0,0,0,0,1,0,0,2,Brock Ballou,M.Manning (8-53-L) J.Wentz (4)
15,15,Apr 14,,MIN,W4-3,9.0,6,3,3,0,4,8,1,1,3.14,38,139,90,1,0,0,0,33,0,0,0,0,0,0,0,3,Ben May,J.Flaherty (6-55) W.Vest (1-W) J.Foley (0-Sv)
16,16,Apr 15,,TEX,L0-1,9.0,7,1,1,0,1,8,0,0,3.01,34,126,85,1,0,1,0,33,1,0,0,0,0,0,0,3,Cory Blaser,R.Olson (6-64-L) T.Holton (1) A.Faedo (2)
17,17,Apr 16,,TEX,W4-2,9.0,6,2,2,0,1,10,0,0,2.96,34,137,87,0,0,0,0,33,0,0,0,0,0,0,0,4,Manny Gonzalez,C.Mize (6-60) A.Lange (2) A.Chafin (3-W) J.Foley (1-Sv)
18,18,Apr 17,,TEX,L4-5,9.0,7,5,3,2,1,6,0,1,2.96,36,111,88,1,0,0,0,33,2,0,0,0,1,3,2,3,Nestor Ceja,T.Skubal (4-56) W.Vest (2) S.Miller (3-L)
19,19,Apr 18,,TEX,L7-9,9.0,13,9,6,3,3,7,3,1,3.11,46,159,103,5,0,0,0,41,3,0,0,0,1,0,1,6,Todd Tichenor,K.Maeda (4-22) A.Faedo (2) T.Holton (2) A.Lange (1) S.Miller (0-L) A.Chafin (1)
20,20,Apr 19,@,MIN,W5-4,9.0,5,4,2,2,2,12,1,0,3.06,35,140,91,1,0,1,0,32,2,0,0,1,0,1,0,4,Lance Barrett,J.Flaherty (4-61) W.Vest (1) A.Chafin (0-W) J.Foley (2-Sv)
21,21,Apr 20,@,MIN,L3-4,8.0,7,4,2,2,3,6,0,2,3.03,36,134,84,2,0,0,0,28,2,0,0,0,3,0,1,3,Mark Ripperger,R.Olson (4-47-L) J.Wentz (6) A.Lange (1)
22,22,Apr 21,@,MIN,W6-1,9.0,7,1,1,0,4,5,1,0,2.94,37,133,82,0,0,0,0,33,1,0,0,0,0,0,1,3,Roberto Ortiz,C.Mize (4-63-W) T.Holton (2) A.Faedo (2)
23,23,Apr 22,@,TBR,W7-1,9.0,6,1,1,0,1,12,1,1,2.85,34,135,91,0,0,0,1,32,1,0,0,0,0,0,0,4,Alan Porter,T.Skubal (4-75-W) W.Vest (2) S.Miller (3) J.Wentz (1)
24,24,Apr 23,@,TBR,W4-2,9.0,7,2,2,0,1,8,1,0,2.82,36,145,96,0,0,2,1,34,0,0,0,0,0,2,1,4,Bruce Dreckman,K.Maeda (4-66) A.Faedo (1-BW) A.Lange (2-H) J.Foley (3-Sv)
25,25,Apr 24,@,TBR,L5-7,8.0,11,7,7,0,0,11,2,0,3.00,34,148,106,0,0,1,0,34,2,0,0,0,0,0,1,4,Ryan Blakney,J.Flaherty (4-43) W.Vest (1-BL) S.Miller (1) A.Chafin (4)
26,26,Apr 26,,KCR,L0-8,9.0,7,8,8,0,4,10,0,2,3.19,40,151,92,3,3,0,0,32,0,1,0,0,2,0,0,4,CB Bucknor,R.Olson (5-72-L) A.Lange (2) T.Holton (4) W.Vest (1)
27,27,Apr 27,,KCR,W6-5,9.0,9,5,4,1,0,2,0,0,3.22,39,146,95,0,0,2,0,39,1,0,0,0,0,3,1,4,Adam Beck,C.Mize (5-47) A.Faedo (3-W) A.Chafin (2-H) J.Foley (3-Sv)
28,28,Apr 28,,KCR,W4-1,9.0,5,1,1,0,2,9,0,0,3.14,34,116,83,0,0,0,0,32,1,0,0,0,0,0,0,3,Dan Iassogna,T.Skubal (5-70-W) S.Miller (3-H) J.Foley (0-Sv)
