Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Tarik Skubal*,27,18,4,.818,2.39,31,31,0,0,0,0,192.0,142,54,51,15,35,0,228,9,0,2,753,170,2.50,0.922,6.7,0.7,1.6,10.7,6.51,skubata01
2,SP,Kenta Maeda,36,3,7,.300,6.09,29,17,2,0,0,0,112.1,124,80,76,22,31,0,96,5,0,3,485,67,4.97,1.380,9.9,1.8,2.5,7.7,3.10,maedake01
3,SP,Reese Olson,24,4,8,.333,3.53,22,22,0,0,0,0,112.1,100,51,44,7,33,0,101,4,0,4,465,116,3.17,1.184,8.0,0.6,2.6,8.1,3.06,olsonre01
4,SP,Jack Flaherty,28,7,5,.583,2.95,18,18,0,0,0,0,106.2,83,38,35,15,19,0,133,3,0,4,415,138,3.12,0.956,7.0,1.3,1.6,11.2,7.00,flaheja01
5,SP,Casey Mize,27,2,6,.250,4.49,22,20,0,0,0,0,102.1,121,57,51,11,29,0,78,2,1,2,452,91,3.95,1.466,10.6,1.0,2.6,6.9,2.69,mizeca01
6,SP,Keider Montero,23,6,6,.500,4.76,19,16,1,1,1,0,98.1,100,54,52,19,31,0,77,3,0,2,412,86,5.15,1.332,9.2,1.7,2.8,7.0,2.48,monteke01
7,CL,Jason Foley,28,3,6,.333,3.15,69,0,41,0,0,28,60.0,51,28,21,5,20,2,46,2,1,1,250,130,3.82,1.183,7.7,0.8,3.0,6.9,2.30,foleyja01
8,RP,Tyler Holton*,28,7,2,.778,2.19,66,9,14,0,0,8,94.1,57,25,23,7,17,1,77,4,0,0,354,186,3.17,0.784,5.4,0.7,1.6,7.3,4.53,holtoty01
9,RP,Will Vest,29,3,4,.429,2.82,69,0,14,0,0,2,70.1,61,23,22,3,18,2,63,3,0,4,289,145,2.83,1.123,7.8,0.4,2.3,8.1,3.50,vestwi01
10,RP,Beau Brieske,26,4,5,.444,3.59,46,12,12,0,0,1,67.2,55,31,27,5,30,2,69,2,0,0,282,114,3.51,1.256,7.3,0.7,4.0,9.2,2.30,briesbe01
11,RP,Shelby Miller,33,6,8,.429,4.53,51,0,18,0,0,2,55.2,41,31,28,9,13,0,49,5,0,1,225,90,4.48,0.970,6.6,1.5,2.1,7.9,3.77,millesh01
12,,Alex Faedo,28,5,3,.625,3.61,37,6,7,0,0,0,57.1,49,24,23,9,28,0,55,3,0,4,246,113,4.91,1.343,7.7,1.4,4.4,8.6,1.96,faedoal01
13,,Joey Wentz*,26,0,2,.000,5.37,38,0,16,0,0,1,55.1,60,35,33,8,27,1,60,3,2,3,254,76,4.50,1.572,9.8,1.3,4.4,9.8,2.22,wentzjo01
14,,Brant Hurter*,25,6,1,.857,2.58,10,1,1,0,0,0,45.1,34,13,13,4,6,0,38,0,1,0,175,159,3.03,0.882,6.8,0.8,1.2,7.5,6.33,hurtebr01
15,,Andrew Chafin*,34,3,2,.600,3.16,41,0,11,0,0,1,37.0,35,16,13,2,16,2,50,1,0,3,162,130,2.55,1.378,8.5,0.5,3.9,12.2,3.13,chafian01
16,,Brenan Hanifee,26,1,1,.500,1.84,21,3,1,0,0,0,29.1,27,7,6,2,6,0,23,0,0,0,120,223,3.10,1.125,8.3,0.6,1.8,7.1,3.83,hanifbr01
17,,Matt Manning,26,0,1,.000,4.88,5,5,0,0,0,0,27.2,31,15,15,3,12,0,23,0,0,1,123,84,4.22,1.554,10.1,1.0,3.9,7.5,1.92,mannima02
18,,Bryan Sammons*,29,1,1,.500,3.62,6,0,0,0,0,0,27.1,16,11,11,6,9,0,18,1,0,0,104,114,5.80,0.915,5.3,2.0,3.0,5.9,2.00,sammobr01
19,,Ty Madden,24,1,1,.500,4.30,6,1,0,0,0,0,23.0,25,12,11,2,8,0,17,1,0,0,101,96,3.99,1.435,9.8,0.8,3.1,6.7,2.13,maddety01
20,,Mason Englert,24,1,0,1.000,5.40,12,1,5,0,0,0,21.2,23,15,13,4,5,1,16,1,0,2,93,77,4.92,1.292,9.6,1.7,2.1,6.6,3.20,englema01
21,,Sean Guenther*,28,3,0,1.000,0.86,17,0,4,0,0,0,21.0,9,2,2,0,2,0,12,2,0,0,73,482,2.60,0.524,3.9,0.0,0.9,5.1,6.00,guentse01
22,,Alex Lange,28,0,3,.000,4.34,21,0,10,0,0,2,18.2,16,16,9,0,17,0,21,2,0,4,90,95,3.97,1.768,7.7,0.0,8.2,10.1,1.24,langeal01
23,,Jackson Jobe,21,0,0,,0.00,2,0,1,0,0,0,4.0,1,0,0,0,1,0,2,0,0,0,16,,2.92,0.500,2.3,0.0,2.3,4.5,2.00,jobeja01
24,,Easton Lucas*,27,1,0,1.000,5.40,3,0,0,0,0,0,3.1,3,2,2,0,2,0,2,1,0,0,16,84,4.67,1.500,8.1,0.0,5.4,5.4,1.00,lucasea01
25,,Zach McKinstry,29,0,0,,9.00,3,0,3,0,0,0,2.0,1,2,2,1,1,0,0,0,0,0,8,54,11.17,1.000,4.5,4.5,4.5,0.0,0.00,mckinza01
26,,Ricky Vanasco,25,1,0,1.000,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,6,,3.17,0.000,0.0,0.0,0.0,0.0,,vanasri01
,,Team Totals,27.7,86,76,.531,3.61,162,162,161,1,1,45,1447.0,1265,642,581,159,416,11,1354,57,5,40,5969,113,3.70,1.162,7.9,1.0,2.6,8.4,3.25,-9999
,,Rank in 15 AL teams,,5,10,,2,,,,4,10,4,3,4,3,3,2,2,,10,,,,,,,,,,,,,-9999
