Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Akil Baddoo*,25,31,82,-6,1,0,-1,-1,-7,-0.7,3,-4,-0.5,.476,.495,-0.4,-0.2,-3,$1550000,Rule 5 Draft,7/8H9,baddoak01
Javier Báez,31,80,289,-19,1,-1,-4,5,-19,-2.1,10,-10,-1.1,.474,.487,-0.7,0.1,-6,$25000000,Free Agency,6/H,baezja01
Mark Canha,35,93,377,1,2,0,-4,-5,-7,-0.7,13,6,0.6,.493,.496,1.0,-1.0,10,$11500000,Traded,3D79/H,canhama01
Kerry Carpenter*,26,87,296,18,-3,0,1,-5,11,1.2,10,22,2.2,.514,.507,2.1,-0.4,21,$761000,Amateur Draft,9DH/7,carpeke01
Dillon Dingler,25,27,87,-7,0,0,0,2,-6,-0.6,3,-3,-0.3,.478,.496,-0.3,0.2,-3,,Amateur Draft,2,dingldi01
Mason Englert#,24,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Waivers,1,englema01
Jason Foley,28,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$766300,Amateur Free Agent,1,foleyja01
Riley Greene*,23,137,584,21,0,2,14,-5,33,3.5,20,53,5.4,.525,.521,3.9,1.0,39,$766300,Amateur Draft,7D8/9H,greenri03
Andy Ibáñez,31,99,244,-4,0,1,8,0,5,0.6,8,14,1.4,.506,.504,0.5,0.9,6,$766100,Waivers,H453/D76,ibanean01
Jace Jung*,23,34,94,0,-1,0,-6,0,-7,-0.8,3,-4,-0.5,.478,.495,0.2,-0.6,2,,Amateur Draft,5H/D4,jungja01
Colt Keith*,22,148,556,-3,-1,2,-8,3,-7,-0.7,19,12,1.1,.495,.496,2.0,-0.5,20,$2833333,Amateur Draft,*4DH,keithco01
Carson Kelly,29,60,203,0,-2,0,-2,4,0,0.0,7,7,0.7,.500,.500,0.9,0.2,9,$3500000,Free Agency,2/HD,kellyca02
Buddy Kennedy,25,6,13,0,0,0,1,0,1,0.2,0,2,0.2,.525,.501,0.1,0.1,1,,Waivers,/4H5,kennebu01
Ryan Kreidler,26,35,65,-7,-1,0,1,1,-7,-0.7,2,-4,-0.5,.479,.496,-0.6,0.2,-5,$740000,Amateur Draft,6/5H8D7,kreidry01
Bligh Madris*,28,21,75,-1,0,0,2,-1,0,0.0,3,2,0.2,.499,.500,0.0,0.1,0,,Free Agency,3/H9,madribl01
Justyn-Henry Malloy,24,71,230,-4,-1,0,-2,-5,-11,-1.2,8,-4,-0.4,.483,.493,-0.2,-0.7,-2,$740000,Traded,D7H/9,malloju02
Zach McKinstry*,29,118,325,-10,3,1,1,3,-2,-0.2,11,9,0.8,.498,.499,0.7,0.4,8,$764400,Traded,65H479/D1,mckinza01
Parker Meadows*,24,82,298,3,1,1,5,2,11,1.2,10,21,2.2,.514,.507,1.7,0.8,16,$746900,Amateur Draft,8/H,meadopa01
Wenceel Pérez#,24,112,425,-4,1,0,-2,-2,-7,-0.7,15,8,0.7,.493,.495,0.9,-0.5,10,$740000,Free Agency,98H/D7,perezwe01
Jake Rogers,29,102,337,-12,1,-1,4,6,-1,-0.1,12,10,1.0,.499,.499,0.6,1.1,6,$1700000,Traded,2/DH,rogerja03
Trey Sweeney*,24,36,119,-3,0,0,3,2,3,0.3,4,7,0.7,.508,.502,0.4,0.5,4,,Traded,6,sweentr01
Spencer Torkelson,24,92,381,-6,0,-1,2,-5,-9,-1.0,13,4,0.3,.489,.494,0.1,-0.3,2,$765700,Amateur Draft,3/D,torkesp01
Gio Urshela,32,92,325,-8,-1,-2,-4,1,-13,-1.4,11,-2,-0.3,.485,.491,0.1,-0.3,2,$1500000,Free Agency,53/HD,urshegi01
Matt Vierling,27,144,567,4,2,1,2,1,10,1.1,19,30,3.0,.507,.507,2.8,0.3,28,$766000,Traded,859H7/D3,vierlma01
Ryan Vilade,25,17,49,-4,0,0,-4,-1,-8,-0.9,2,-7,-0.7,.448,.495,-0.3,-0.5,-3,$740000,Free Agency,7/98H3,viladry01
Team Total,26.7,1726,6021,-48,2,2,7,0,-36,-3.7,206,169,16.1,.498,.500,15.3,0.8,162,$57386033,,,-9999
