Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Akil Baddoo,25,us US,L,L,6' 1",214,Aug 16 1998,4,31,21,31,28,0,0,0,0,0,0,21,5,4,28,0,3,1,-0.5,$1550000,,baddoak01
Javier Báez,31,pr PR,R,R,6' 0",190,Dec 1 1992,11,80,76,80,80,0,0,0,0,0,80,0,0,0,0,0,1,2,-1.1,$25000000,,baezja01
Beau Brieske,26,us US,R,R,6' 3",200,Apr 4 1998,3,46,12,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$740000,,briesbe01
Mark Canha,35,us US,R,R,6' 2",209,Feb 15 1989,10,93,89,93,61,0,0,31,0,0,0,23,0,11,33,31,4,0,0.6,$11500000,,canhama01
Kerry Carpenter,26,us US,L,R,6' 2",220,Sep 2 1997,3,87,73,87,47,0,0,0,0,0,0,3,0,45,47,35,14,0,2.2,$761000,,carpeke01
Andrew Chafin,34,us US,R,L,6' 2",235,Jun 17 1990,11,41,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$4750000,,chafian01
Dillon Dingler,25,us US,R,R,6' 2",210,Sep 17 1998,1st,27,24,27,27,0,27,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,dingldi01
Mason Englert,24,us US,B,R,6' 4",206,Nov 1 1999,2,12,1,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$740000,,englema01
Alex Faedo,28,us US,R,R,6' 5",225,Nov 12 1995,3,37,6,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$746600,,faedoal01
Jack Flaherty,28,us US,R,R,6' 4",225,Oct 15 1995,8,18,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,2.4,$14000000,,flaheja01
Jason Foley,28,us US,R,R,6' 4",215,Nov 1 1995,4,69,0,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$766300,,foleyja01
Riley Greene,23,us US,L,L,6' 3",200,Sep 28 2000,3,137,135,137,106,0,0,0,0,0,0,84,27,4,106,31,2,0,5.4,$766300,All-Star,greenri03
Sean Guenther,28,us US,L,L,5' 11",194,Dec 29 1995,2,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,guentse01
Brenan Hanifee,26,us US,R,R,6' 5",215,May 29 1998,2,21,3,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,,hanifbr01
Tyler Holton,28,us US,L,L,6' 2",200,Jun 13 1996,3,66,9,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,3.1,$758300,,holtoty01
Brant Hurter,25,us US,L,L,6' 6",250,Sep 6 1998,1st,10,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,,hurtebr01
Andy Ibáñez,31,cu CU,R,R,5' 10",205,Apr 3 1993,4,99,46,99,85,0,0,18,44,19,5,6,0,0,6,6,48,0,1.4,$766100,,ibanean01
Jackson Jobe,21,us US,R,R,6' 2",190,Jul 30 2002,1st,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,jobeja01
Jace Jung,23,us US,L,R,6' 0",205,Oct 4 2000,1st,34,24,34,28,0,0,0,1,27,0,0,0,0,0,3,10,0,-0.5,,,jungja01
Colt Keith,22,us US,L,R,6' 2",211,Aug 14 2001,1st,148,137,148,133,0,0,0,133,0,0,0,0,0,0,14,11,0,1.1,$2833333,,keithco01
Carson Kelly,29,us US,R,R,6' 2",212,Jul 14 1994,9,60,53,60,60,0,60,0,0,0,0,0,0,0,0,1,2,0,0.7,$3500000,,kellyca02
Buddy Kennedy,25,us US,R,R,5' 10",190,Oct 5 1998,3,6,2,6,5,0,0,0,4,1,0,0,0,0,0,0,4,0,0.2,,,kennebu01
Ryan Kreidler,26,us US,R,R,6' 4",208,Nov 12 1997,3,35,19,35,34,0,0,0,0,8,26,1,1,0,2,1,3,3,-0.5,$740000,,kreidry01
Alex Lange,28,us US,R,R,6' 3",202,Oct 2 1995,4,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$760600,,langeal01
Easton Lucas,27,us US,L,L,6' 4",180,Sep 23 1996,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$740000,,lucasea01
Ty Madden,24,us US,R,R,6' 3",215,Feb 21 2000,1st,6,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,maddety01
Bligh Madris,28,us US,L,R,6' 0",208,Feb 29 1996,3,21,19,21,21,0,0,20,0,0,0,0,0,1,1,0,1,0,0.2,,,madribl01
Kenta Maeda,36,jp JP,R,R,6' 1",185,Apr 11 1988,8,29,17,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,-1.7,$14000000,,maedake01
Justyn-Henry Malloy,24,us US,R,R,6' 1",212,Feb 19 2000,1st,71,57,71,23,0,0,0,0,0,0,22,0,1,23,45,12,0,-0.4,$740000,,malloju02
Matt Manning,26,us US,R,R,6' 6",195,Jan 28 1998,4,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$740000,,mannima02
Zach McKinstry,29,us US,L,R,6' 0",180,Apr 29 1995,5,118,79,118,107,3,0,0,18,38,48,18,0,12,28,3,25,3,0.8,$764400,,mckinza01
