Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Ryan Jeffers,27,122,465,412,56,93,22,0,21,64,3,0,32,94,.226,.300,.432,.732,103,178,9,14,1,6,0,jeffery01
2,1B,Carlos Santana#,38,150,594,521,63,124,26,0,23,71,4,0,65,99,.238,.328,.420,.749,109,219,11,6,0,2,3,santaca01
3,2B,Edouard Julien*,25,94,301,266,36,53,9,0,8,21,6,0,33,102,.199,.292,.323,.616,74,86,2,2,0,0,0,julieed01
4,SS,Carlos Correa,29,86,367,319,55,99,20,2,14,54,0,0,40,61,.310,.388,.517,.905,152,165,5,3,0,4,4,correca01
5,3B,José Miranda,26,121,429,401,44,114,28,4,9,49,2,2,18,66,.284,.322,.441,.763,112,177,13,6,0,4,1,miranjo01
6,LF,Manuel Margot,29,129,343,315,37,75,17,1,4,31,5,0,21,54,.238,.289,.337,.626,76,106,10,3,1,3,0,margoma01
7,CF,Byron Buxton,30,102,388,355,62,99,27,3,18,56,7,2,20,99,.279,.335,.524,.859,137,186,3,11,0,2,1,buxtoby01
8,RF,Max Kepler*,31,105,399,368,43,93,21,1,8,42,1,0,22,80,.253,.302,.380,.682,91,140,3,5,0,3,0,keplema01
9,DH,Trevor Larnach*,27,112,400,355,59,92,17,0,15,52,4,1,40,89,.259,.338,.434,.771,116,154,12,3,0,2,1,larnatr01
10,UT,Willi Castro#,27,158,635,558,89,138,31,5,12,60,14,9,51,150,.247,.331,.385,.717,102,215,8,21,1,4,0,castrwi01
11,3B,Royce Lewis,25,82,325,292,40,68,16,0,16,47,0,0,28,74,.233,.295,.452,.747,107,132,5,0,0,5,2,lewisro02
12,C,Christian Vázquez,33,93,315,294,29,65,10,0,7,27,3,1,11,65,.221,.248,.327,.575,60,96,11,1,5,4,0,vazquch01
13,OF,Matt Wallner*,26,75,261,220,26,57,17,1,13,37,3,0,24,95,.259,.372,.523,.894,149,115,2,16,0,1,0,wallnma01
14,OF,Austin Martin,25,93,257,233,41,59,18,1,1,16,7,3,20,47,.253,.318,.352,.670,89,82,4,2,2,0,0,martiau01
15,IF,Kyle Farmer,33,107,242,215,26,46,13,1,5,25,3,5,19,49,.214,.293,.353,.647,82,76,6,6,0,2,1,farmeky01
16,SS,Brooks Lee#,23,50,185,172,9,38,6,1,3,27,3,0,11,27,.221,.265,.320,.585,64,55,6,0,0,2,2,leebr02
17,UT,Alex Kirilloff*,26,57,178,159,20,32,8,3,5,20,0,0,15,47,.201,.270,.384,.653,81,61,5,1,0,3,0,kirilal01
18,CF,DaShawn Keirsey*,27,6,14,13,1,2,0,0,1,1,0,0,0,1,.154,.214,.385,.599,64,5,0,1,0,0,0,keirsda01
19,UT,Michael Helman,28,9,10,10,2,3,2,0,0,0,0,0,0,3,.300,.300,.500,.800,120,5,0,0,0,0,0,helmami01
20,3B,Diego Castillo,26,4,8,6,3,2,1,0,0,2,0,0,2,1,.333,.500,.500,1.000,184,3,0,0,0,0,0,castidi02
21,DH,Jair Camargo,24,5,7,6,1,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-54,0,0,0,0,0,0,camarja01
22,P,Simeon Woods Richardson,23,0,0,,,,,,,,,,,,,,,,,,,,,,,woodssi01
23,P,Bailey Ober,28,0,0,,,,,,,,,,,,,,,,,,,,,,,oberba01
24,P,Trevor Richards,31,0,0,,,,,,,,,,,,,,,,,,,,,,,richatr01
25,P,Cole Sands,26,0,0,,,,,,,,,,,,,,,,,,,,,,,sandsco01
26,P,Griffin Jax,29,0,0,,,,,,,,,,,,,,,,,,,,,,,jaxgr01
27,P,Joe Ryan,28,0,0,,,,,,,,,,,,,,,,,,,,,,,ryanjo04
28,P,Louie Varland*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,varlalo01
29,P,Diego Castillo,30,0,0,,,,,,,,,,,,,,,,,,,,,,,castidi01
30,P,Jorge Alcalá,28,0,0,,,,,,,,,,,,,,,,,,,,,,,alcaljo01
31,P,Michael Tonkin,34,0,0,,,,,,,,,,,,,,,,,,,,,,,tonkimi01
32,P,Caleb Boushley,30,0,0,,,,,,,,,,,,,,,,,,,,,,,boushca01
33,P,Daniel Duarte,27,0,0,,,,,,,,,,,,,,,,,,,,,,,duartda01
34,P,Chris Paddack,28,0,0,,,,,,,,,,,,,,,,,,,,,,,paddach01
35,P,Jay Jackson,36,0,0,,,,,,,,,,,,,,,,,,,,,,,jacksja01
36,P,David Festa,24,0,0,,,,,,,,,,,,,,,,,,,,,,,festada01
37,P,Scott Blewett,28,0,0,,,,,,,,,,,,,,,,,,,,,,,blewesc01
38,P,Caleb Thielbar,37,0,0,,,,,,,,,,,,,,,,,,,,,,,thielca01
39,P,Brock Stewart*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,stewabr01
40,P,Justin Topa,33,0,0,,,,,,,,,,,,,,,,,,,,,,,topaju01
41,P,Jhoan Durán,26,0,0,,,,,,,,,,,,,,,,,,,,,,,duranjh01
42,P,Matt Bowman,33,0,0,,,,,,,,,,,,,,,,,,,,,,,bowmama01
43,P,Ronny Henriquez,24,0,0,,,,,,,,,,,,,,,,,,,,,,,henriro01
44,P,Josh Staumont,30,0,0,,,,,,,,,,,,,,,,,,,,,,,staumjo01
45,P,Josh Winder,27,0,0,,,,,,,,,,,,,,,,,,,,,,,windejo01
46,P,Zebby Matthews,24,0,0,,,,,,,,,,,,,,,,,,,,,,,matthze01
47,P,Randy Dobnak,29,0,0,,,,,,,,,,,,,,,,,,,,,,,dobnara01
48,P,Pablo López*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,lopezpa01
49,P,Brent Headrick*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,headrbr01
50,P,Steven Okert*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,okertst01
51,P,Cole Irvin*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,irvinco01
52,P,Kody Funderburk*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,fundeko01
,,Team Totals,28.8,162,6123,5490,742,1352,309,23,183,702,65,23,473,1306,.246,.315,.411,.726,103,2256,115,101,10,47,15,-9999
,,Rank in 15 AL teams,,,,4,4,4,2,6,8,,15,2,11,6,6,4,5,5,,5,,2,,3,,-9999
