Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,KCR,W4-1,42,37,4,10,1,0,1,3,5,1,12,0,0,0,0,0,0,0,.270,.357,.378,.736,11,12,L,C.Ragans(60)
2,2,Mar 30,@,KCR,W5-1,40,32,5,7,3,0,0,5,3,1,6,4,0,1,1,1,1,1,.246,.354,.348,.701,8,12,R,S.Lugo(71)
3,3,Mar 31,@,KCR,L0-11,35,31,0,4,3,0,0,0,2,0,12,2,0,0,0,0,0,0,.210,.316,.310,.626,8,11,R,B.Singer(80)
4,4,Apr 2,@,MIL,L2-3,34,28,2,3,0,0,0,2,4,0,8,0,0,2,1,1,0,0,.188,.291,.266,.557,5,12,R,J.Junis(55)
5,5,Apr 3,@,MIL,W7-3,45,38,7,11,2,1,1,7,7,0,6,0,0,0,0,0,0,0,.211,.316,.313,.630,11,11,R,J.Ross(55)
6,6,Apr 4,,CLE,L2-4,38,35,2,7,1,1,1,1,1,0,15,2,0,0,1,0,0,0,.209,.308,.323,.631,9,10,R,T.Bibee(63)
7,7,Apr 6,,CLE,L1-3,39,29,1,2,0,1,0,1,7,0,14,3,0,0,0,1,1,0,.191,.308,.300,.608,11,9,R,C.Carrasco(56)
8,8,Apr 8,,LAD,L2-4,31,30,2,3,0,0,1,2,1,0,7,0,0,0,0,0,0,0,.181,.289,.288,.578,2,13,L,J.Paxton(61)
9,9,Apr 9,,LAD,L3-6,33,33,3,6,2,0,3,3,0,0,15,0,0,0,0,0,0,0,.181,.279,.314,.593,3,9,R,T.Glasnow(85)
10,10,Apr 10,,LAD,W3-2,32,27,3,6,0,0,2,3,5,0,10,0,0,0,0,2,1,0,.184,.285,.325,.610,5,10,R,B.Miller(45)
11,11,Apr 12,@,DET,L2-8,37,33,2,6,2,0,0,2,4,0,11,0,0,0,0,0,0,0,.184,.283,.317,.601,8,12,L,T.Skubal(66)
12,12,Apr 13 (1),@,DET,W11-5,51,45,11,8,3,0,2,8,3,0,12,2,1,0,1,0,1,0,.183,.281,.324,.605,7,12,R,K.Maeda(61)
13,13,Apr 13 (2),@,DET,W4-1,37,33,4,7,0,0,2,4,3,0,11,0,0,1,0,0,0,0,.186,.280,.329,.609,6,11,R,M.Manning(53)
14,14,Apr 14,@,DET,L3-4,38,33,3,6,0,0,1,3,4,0,8,1,0,0,0,0,0,0,.185,.281,.325,.606,8,12,R,J.Flaherty(55)
15,15,Apr 15,@,BAL,L4-7,36,36,4,11,4,0,1,4,0,0,9,0,0,0,0,2,0,0,.194,.282,.338,.620,5,12,L,C.Irvin(48)
16,16,Apr 16,@,BAL,L3-11,36,32,3,7,1,1,0,3,4,0,10,0,0,0,0,2,0,0,.195,.284,.336,.620,6,10,R,G.Rodriguez(59)
17,17,Apr 17,@,BAL,L2-4,35,32,2,5,2,0,0,2,2,0,9,1,0,0,0,0,0,0,.193,.281,.330,.610,6,10,R,A.Suárez(67)
18,18,Apr 19,,DET,L4-5,35,32,4,5,2,0,1,4,2,0,12,0,1,0,1,0,1,0,.191,.277,.329,.606,4,11,R,J.Flaherty(61)
19,19,Apr 20,,DET,W4-3,36,28,4,7,2,0,0,3,3,0,6,2,0,3,0,1,0,0,.194,.280,.329,.608,8,12,R,R.Olson(47)
20,20,Apr 21,,DET,L1-6,37,33,1,7,1,0,1,1,4,0,5,0,0,0,0,1,0,0,.195,.281,.329,.609,9,11,R,C.Mize(63)
21,21,Apr 22,,CHW,W7-0,36,34,7,11,4,0,1,7,2,0,6,0,0,0,0,1,0,0,.201,.284,.339,.623,5,9,R,J.Cannon(23)
22,22,Apr 23,,CHW,W6-5,37,36,6,10,4,0,2,6,1,0,14,0,0,0,0,0,0,0,.205,.285,.349,.634,5,11,R,E.Fedde(73)
23,23,Apr 24,,CHW,W6-3,41,36,6,13,4,0,1,5,3,0,13,2,0,0,0,1,0,0,.212,.292,.359,.651,11,11,L,G.Crochet(32)
24,24,Apr 25,,CHW,W6-3,36,33,6,10,0,0,5,6,2,0,3,1,0,0,0,1,0,0,.216,.295,.376,.671,6,11,R,M.Soroka(50)
25,25,Apr 26,@,LAA,W5-3,39,36,5,11,4,0,1,5,2,0,6,1,0,0,1,3,1,0,.220,.298,.381,.679,7,11,L,P.Sandoval(41)
26,26,Apr 27,@,LAA,W16-5,51,41,16,17,4,0,3,16,7,0,5,2,0,1,0,1,0,0,.229,.309,.397,.706,8,10,R,J.Soriano(31)
27,27,Apr 28,@,LAA,W11-5,46,40,11,17,7,0,0,11,4,0,7,0,0,2,2,3,3,1,.238,.315,.406,.722,8,11,L,R.Detmers(32)
28,28,Apr 29,@,CHW,W3-2,35,32,3,4,1,0,1,3,3,0,11,0,0,0,1,0,2,0,.234,.311,.401,.713,5,12,L,G.Crochet(61)
29,29,Apr 30,@,CHW,W6-5,41,33,6,9,2,1,0,5,4,0,8,3,0,1,0,0,3,1,.235,.314,.401,.715,8,12,R,M.Soroka(50)
30,30,May 1,@,CHW,W10-5,45,38,10,12,3,1,1,8,7,0,8,0,0,0,1,0,1,2,.238,.319,.406,.724,8,13,R,C.Flexen(53)
31,31,May 3,,BOS,W5-2,36,32,5,8,2,0,0,4,4,0,7,0,0,0,0,1,1,0,.239,.319,.403,.722,7,12,R,T.Houck(49)
32,32,May 4,,BOS,W3-1,34,31,3,8,1,0,1,3,1,0,8,1,0,1,0,0,2,0,.239,.318,.402,.721,7,12,L,B.Bernardino(50)
33,33,May 5,,BOS,L2-9,39,36,2,9,2,0,1,2,3,0,8,0,0,0,1,1,0,0,.239,.318,.402,.720,10,11,R,C.Criswell(53)
34,34,May 6,,SEA,W3-1,32,28,3,4,3,0,0,3,3,1,9,0,0,1,1,0,1,0,.237,.316,.398,.714,5,10,R,L.Castillo(64)
35,35,May 7,,SEA,L6-10,38,35,6,9,4,0,1,5,3,0,4,0,0,0,0,0,1,1,.238,.316,.400,.715,5,12,R,E.Hancock(36)
36,36,May 8,,SEA,W6-3,32,31,6,7,2,1,3,6,1,0,9,0,0,0,0,0,0,0,.237,.314,.406,.720,2,12,R,G.Kirby(46)
37,37,May 9,,SEA,W11-1,39,34,11,11,2,0,2,11,3,0,8,1,0,1,2,2,1,0,.240,.316,.410,.726,4,9,R,L.Gilbert(14)
38,38,May 10,@,TOR,W3-2,33,33,3,7,1,0,1,3,0,0,5,0,0,0,0,0,0,1,.239,.314,.408,.722,3,11,L,Y.Kikuchi(69)
39,39,May 11,@,TOR,L8-10,41,39,8,13,4,0,2,7,2,0,12,0,0,0,0,0,1,0,.242,.315,.414,.729,6,9,R,K.Gausman(17)
40,40,May 12,@,TOR,W5-1,35,33,5,6,1,0,1,5,2,0,9,0,0,0,2,2,1,0,.240,.313,.411,.724,3,11,R,A.Manoah(68)
41,41,May 14,,NYY,L1-5,34,34,1,7,1,0,1,1,0,0,8,0,0,0,0,0,1,0,.240,.311,.409,.720,6,12,L,C.Rodón(62)
42,42,May 15,,NYY,L0-4,35,31,0,4,1,0,0,0,4,0,6,0,0,0,1,1,0,0,.237,.309,.403,.712,8,10,R,M.Stroman(67)
43,43,May 16,,NYY,L0-5,33,32,0,3,1,0,0,0,0,0,8,1,0,0,2,0,0,0,.234,.305,.397,.702,6,9,R,C.Schmidt(84)
44,44,May 17,@,CLE,L2-3,33,27,2,4,2,0,1,2,5,0,9,0,0,0,0,3,1,0,.232,.305,.396,.701,4,12,R,T.McKenzie(67)
45,45,May 18,@,CLE,L4-11,37,36,4,10,1,0,0,3,1,0,10,0,0,0,1,2,0,0,.233,.304,.394,.698,6,11,L,L.Allen(68)
46,46,May 19,@,CLE,L2-5,35,33,2,4,1,0,1,1,1,0,9,1,0,0,2,1,0,0,.231,.302,.391,.692,6,11,R,T.Bibee(72)
47,47,May 20,@,WSN,L3-12,36,34,3,8,1,0,1,3,2,0,8,0,0,0,0,0,0,0,.231,.301,.390,.691,6,9,L,M.Parker(52)
