Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Jorge Alcalá,28,do DO,R,R,6' 3",205,Jul 28 1995,6,54,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,1.4,$790000,,alcaljo01
Scott Blewett,28,us US,R,R,6' 6",245,Apr 10 1996,3,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,,blewesc01
Caleb Boushley,30,us US,R,R,6' 3",190,Oct 1 1993,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$740000,,boushca01
Matt Bowman,33,us US,R,R,6' 0",185,May 31 1991,6,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,bowmama01
Byron Buxton,30,us US,R,R,6' 2",190,Dec 18 1993,10,102,92,102,94,0,0,0,0,0,0,0,94,0,94,6,3,4,3.6,$15142857,,buxtoby01
Jair Camargo,24,co CO,R,R,5' 10",230,Jul 1 1999,1st,5,2,5,2,0,2,0,0,0,0,0,0,0,0,2,1,0,-0.1,$740000,,camarja01
Diego Castillo,30,do DO,R,R,6' 3",268,Jan 18 1994,7,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,castidi01
Diego Castillo,26,ve VE,R,R,5' 11",185,Oct 28 1997,3,4,2,4,3,0,0,0,0,3,0,0,0,0,0,1,1,0,0.2,,,castidi02
Willi Castro,27,pr PR,B,R,6' 1",206,Apr 24 1997,6,158,150,158,158,2,0,0,40,27,56,34,30,0,59,0,4,1,1.6,$3300000,All-Star,castrwi01
Carlos Correa,29,pr PR,R,R,6' 4",220,Sep 22 1994,10,86,85,86,84,0,0,0,0,0,84,0,0,0,0,1,1,0,3.7,$33333334,All-Star,correca01
Randy Dobnak,29,us US,R,R,6' 1",230,Jan 17 1995,4,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$2250000,,dobnara01
Daniel Duarte,27,mx MX,R,R,6' 0",235,Dec 4 1996,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$740000,,duartda01
Jhoan Durán,26,do DO,R,R,6' 5",230,Jan 8 1998,3,58,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$747200,,duranjh01
Kyle Farmer,33,us US,R,R,6' 0",205,Aug 17 1990,8,107,59,107,102,3,0,1,71,29,13,0,0,0,0,1,23,2,-0.3,$6300000,,farmeky01
David Festa,24,us US,R,R,6' 6",185,Mar 8 2000,1st,14,13,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,,festada01
Kody Funderburk,27,us US,L,L,6' 4",230,Nov 27 1996,2,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$740000,,fundeko01
