Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Korey Lee,25,125,394,377,36,79,14,1,12,37,6,3,17,122,.210,.244,.347,.591,68,131,12,0,0,0,0,leeko01
2,1B,Andrew Vaughn,26,149,619,570,55,140,30,1,19,70,2,0,38,132,.246,.297,.402,.699,99,229,13,6,0,5,0,vaughan01
3,2B,Nicky Lopez*,29,124,445,398,40,96,12,3,1,21,5,7,37,67,.241,.312,.294,.606,76,117,3,4,6,0,0,lopezni01
4,SS,Paul DeJong,30,102,363,337,39,77,14,0,18,41,2,1,14,112,.228,.275,.430,.706,99,145,8,9,0,3,0,dejonpa01
5,3B,Lenyn Sosa,24,100,369,351,28,89,13,0,8,35,3,1,12,77,.254,.283,.359,.642,84,126,5,3,2,1,1,sosale01
6,LF,Andrew Benintendi*,29,135,522,477,50,109,20,0,20,64,3,2,41,96,.229,.289,.396,.685,95,189,12,1,0,3,1,beninan01
7,CF,Luis Robert Jr.,26,100,425,393,47,88,19,0,14,35,23,6,28,141,.224,.278,.379,.657,87,149,8,2,0,1,2,roberlu01
8,RF,Dominic Fletcher*,26,72,241,223,14,46,8,0,1,17,0,0,11,58,.206,.252,.256,.508,47,57,5,3,2,1,1,fletcdo01
9,DH,Eloy Jiménez,27,65,249,229,18,55,9,0,5,16,3,0,18,47,.240,.297,.345,.642,84,79,11,1,0,1,1,jimenel02
10,UT,Gavin Sheets*,28,139,501,451,35,105,24,1,10,45,2,2,43,106,.233,.303,.357,.660,90,161,6,4,0,3,2,sheetga01
11,OF,Tommy Pham,36,70,297,271,33,72,14,1,5,19,6,3,25,63,.266,.330,.380,.710,104,103,2,1,0,0,0,phamth01
12,OF,Corey Julks,28,66,189,173,17,37,7,0,3,14,5,2,15,50,.214,.275,.306,.581,67,53,6,0,0,1,0,julksco01
13,3B,Miguel Vargas,24,42,157,135,11,14,3,0,2,7,2,1,17,41,.104,.217,.170,.387,14,23,3,3,0,2,0,vargami01
14,C,Martín Maldonado,37,48,147,135,9,16,3,0,4,11,0,0,8,51,.119,.174,.230,.403,15,31,5,1,3,0,0,maldoma01
15,3B,Danny Mendick,30,47,141,132,13,26,7,0,3,8,6,0,6,35,.197,.243,.318,.561,60,42,3,2,1,0,0,mendida01
16,2B,Brooks Baldwin#,23,33,121,114,9,24,6,0,2,8,4,0,6,31,.211,.250,.316,.566,62,36,1,0,1,0,0,baldwbr01
17,3B,Bryan Ramos,22,32,108,99,13,20,4,0,3,11,0,2,7,22,.202,.252,.333,.586,67,33,3,0,0,1,0,ramosbr01
18,OF,Robbie Grossman#,34,25,85,71,6,15,4,0,0,4,2,0,13,20,.211,.329,.268,.597,75,19,2,0,0,1,0,grossro01
19,C,Chuckie Robinson,29,26,76,70,2,9,0,0,0,0,0,0,5,20,.129,.197,.129,.326,-3,9,1,1,0,0,0,robinch04
20,OF,Zach DeLoach*,25,22,75,67,10,14,5,0,1,5,0,1,8,21,.209,.293,.328,.622,79,22,0,0,0,0,0,deloaza01
21,SS,Jacob Amaya,25,23,71,67,4,12,1,0,0,3,1,0,4,28,.179,.225,.194,.419,23,13,3,0,0,0,0,amayaja01
22,IF,Braden Shewmake*,26,29,67,64,4,8,2,0,1,4,5,1,1,10,.125,.134,.203,.337,-5,13,0,0,0,2,0,shewmbr01
23,3B,Yoán Moncada#,29,12,45,40,4,11,3,1,0,0,1,0,5,11,.275,.356,.400,.756,117,16,2,0,0,0,0,moncayo01
24,UT,Zach Remillard,30,15,39,33,3,8,1,1,0,1,1,0,5,10,.242,.342,.333,.675,96,11,1,0,1,0,0,remilza01
25,OF,Oscar Colás*,25,13,38,33,1,9,0,0,0,4,0,1,4,10,.273,.368,.273,.641,89,9,0,1,0,0,0,colasos01
26,OF,Kevin Pillar,35,17,32,25,1,4,2,0,1,4,2,0,4,8,.160,.290,.360,.650,86,9,0,1,1,1,0,pillake01
27,UT,Nick Senzel,29,10,32,30,0,3,1,0,0,0,0,0,1,8,.100,.129,.133,.262,-24,4,0,0,1,0,0,senzeni01
28,CF,Rafael Ortega*,33,14,17,14,4,1,0,0,0,1,2,0,2,4,.071,.176,.071,.248,-24,1,1,0,0,1,0,ortegra01
29,OF,Duke Ellis*,26,8,4,4,1,0,0,0,0,0,4,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,ellisdu01
30,P,Drew Thorpe*,23,0,0,,,,,,,,,,,,,,,,,,,,,,,thorpdr01
31,P,Michael Soroka,26,0,0,,,,,,,,,,,,,,,,,,,,,,,sorokmi01
32,P,Davis Martin*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,martida03
33,P,Justin Anderson*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,anderju01
34,P,Tim Hill,34,0,0,,,,,,,,,,,,,,,,,,,,,,,hillti01
35,P,Jake Eder*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,ederja01
36,P,Dominic Leone,32,0,0,,,,,,,,,,,,,,,,,,,,,,,leonedo01
37,P,Matt Foster,29,0,0,,,,,,,,,,,,,,,,,,,,,,,fostema01
38,P,Chris Flexen,29,0,0,,,,,,,,,,,,,,,,,,,,,,,flexech01
39,P,Jake Woodford,27,0,0,,,,,,,,,,,,,,,,,,,,,,,woodfja01
40,P,Jared Shuster*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,shustja01
41,P,Gus Varland*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,varlagu01
42,P,Fraser Ellard*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,ellarfr01
43,P,Prelander Berroa,24,0,0,,,,,,,,,,,,,,,,,,,,,,,berropr01
44,P,Garrett Crochet*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,crochga01
45,P,John Brebbia*,34,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,brebbjo01
46,P,Jordan Leasure,25,0,0,,,,,,,,,,,,,,,,,,,,,,,leasujo01
47,P,Ky Bush*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,bushky01
48,P,Brad Keller,28,0,0,,,,,,,,,,,,,,,,,,,,,,,kellebr01
49,P,Bryan Shaw#,36,0,0,,,,,,,,,,,,,,,,,,,,,,,shawbr01
50,P,Deivi García,25,0,0,,,,,,,,,,,,,,,,,,,,,,,garcide01
51,P,Sean Burke,24,0,0,,,,,,,,,,,,,,,,,,,,,,,burkese01
52,P,Jonathan Cannon,23,0,0,,,,,,,,,,,,,,,,,,,,,,,cannojo02
53,P,Michael Kopech,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kopecmi01
