Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Jacob Amaya,25,23,21,17,185.1,65,32,32,1,9,0.985,-1,-4,3,19,0,3.11,2.78,,,,,,,,SS,amayaja01
Justin Anderson,31,56,0,0,53.1,5,1,4,0,0,1,,,-1,-4,0,0.84,0.09,,,8,1,0.11,0.22,0,P,anderju01
Brooks Baldwin,23,33,32,32,281,117,46,69,2,16,0.983,-4,-17,-2,-9,0,3.68,3.48,,,,,,,,2B-SS,baldwbr01
Tanner Banks,32,41,1,0,48,9,0,6,3,0,0.667,,,-1,-4,0,1.13,0.15,,,4,5,0.56,0.22,1,P,banksta01
Andrew Benintendi,29,125,118,114,1031,250,244,3,3,0,0.988,-3,-3,-13,-15,-4,2.16,1.9,,,,,,,,LF-CF-DH,beninan01
Prelander Berroa,24,17,0,0,19,4,1,3,0,0,1,,,1,11,0,1.89,0.24,,,2,2,0.50,0.22,2,P,berropr01
John Brebbia,34,54,0,0,48.2,3,0,3,0,0,1,,,-1,-4,0,0.55,0.06,,,4,1,0.20,0.22,0,P,brebbjo01
Sean Burke,24,4,3,0,19,2,0,1,1,0,0.5,,,0,0,0,0.47,0.25,,,2,0,0.00,0.22,0,P,burkese01
Ky Bush,24,4,4,0,17.2,4,2,2,0,0,1,,,1,11,0,2.04,1,,,2,1,0.33,0.22,1,P,bushky01
Jonathan Cannon,23,23,21,0,124.1,30,17,13,0,2,1,,,3,5,0,2.17,1.3,,,10,7,0.41,0.22,1,P,cannojo02
Mike Clevinger,33,4,4,0,16,3,0,3,0,1,1,,,0,0,0,1.69,0.75,,,5,0,0.00,0.22,1,P,clevimi01
Oscar Colás,25,11,8,6,75.1,16,16,0,0,0,1,-1,-18,0,0,0,1.91,1.33,,,,,,,,RF-CF,colasos01
Garrett Crochet,25,32,32,0,146,13,4,8,1,1,0.923,,,-4,-5,0,0.74,0.38,,,17,1,0.06,0.22,0,P,crochga01
Paul DeJong,30,100,93,88,817.2,311,119,178,14,29,0.955,-14,-21,-11,-16,0,3.27,2.94,,,,,,,,SS-3B-DH,dejonpa01
Zach DeLoach,25,17,16,13,138.2,38,37,1,0,0,1,0,0,-1,-9,0,2.47,2.11,,,,,,,,RF-LF-CF-DH,deloaza01
Enyel De Los Santos,28,15,0,0,17.1,5,1,4,0,0,1,,,2,23,0,2.6,0.33,,,0,0,,,1,P,delosen01
Jake Eder,25,1,0,0,2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.22,0,P,ederja01
Fraser Ellard,26,25,0,0,24,4,1,2,1,1,0.75,,,0,0,0,1.13,0.12,,,0,0,,,0,P,ellarfr01
Duke Ellis,26,6,1,1,20,8,6,0,2,0,0.75,-1,-78,-1,-60,0,2.7,0.86,,,,,,,,CF-LF-RF-DH,ellisdu01
Erick Fedde,31,21,21,0,121.2,16,10,5,1,1,0.938,,,-1,-2,0,1.11,0.71,,,3,0,0.00,0.22,0,P,feddeer01
Dominic Fletcher,26,71,64,55,567.2,179,165,8,6,1,0.966,-7,-15,7,15,3,2.74,2.37,,,,,,,,RF-CF-LF,fletcdo01
Chris Flexen,29,33,30,0,160,28,8,20,0,3,1,,,4,5,0,1.58,0.85,,,6,4,0.40,0.22,2,P,flexech01
Matt Foster,29,6,1,0,6.2,1,1,0,0,0,1,,,0,0,0,1.35,0.17,,,1,0,0.00,0.22,0,P,fostema01
Deivi García,25,14,0,0,14,0,0,0,0,0,,,,-1,-14,,0,0,,,1,1,0.50,0.22,0,P,garcide01
Robbie Grossman,34,19,18,15,152,42,40,1,1,0,0.976,-3,-21,-2,-16,0,2.43,2.05,,,,,,,,RF-LF-DH,grossro01
Tim Hill,34,27,0,0,23,8,1,5,2,0,0.75,,,-1,-9,0,2.35,0.22,,,2,0,0.00,0.22,0,P,hillti01
