Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,DET,L0-1,30,30,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,.100,.100,.100,.200,3,9,L,T.Skubal(72)
2,2,Mar 30,,DET,L6-7,42,38,6,10,0,1,3,5,4,0,7,0,0,0,1,1,0,1,.191,.236,.353,.589,7,12,R,K.Maeda(23)
3,3,Mar 31,,DET,L2-3,33,31,2,5,1,0,2,2,1,0,11,1,0,0,0,1,1,0,.182,.229,.364,.592,4,11,R,J.Flaherty(67)
4,4,Apr 1,,ATL,L0-9,30,26,0,3,1,0,0,0,3,0,11,1,0,0,0,0,0,1,.168,.230,.320,.550,6,9,R,C.Morton(67)
5,5,Apr 2,,ATL,W3-2,33,30,3,7,1,0,1,3,3,0,7,0,0,0,0,1,0,0,.181,.244,.329,.573,6,11,R,R.López(63)
6,6,Apr 4,@,KCR,L1-10,36,32,1,8,2,0,0,1,4,0,4,0,0,0,0,3,0,0,.193,.260,.326,.586,8,9,R,S.Lugo(55)
7,7,Apr 5,@,KCR,L1-2,32,28,1,4,1,0,1,1,4,0,7,0,0,0,0,2,1,1,.186,.258,.321,.579,4,13,R,B.Singer(68)
8,8,Apr 6,@,KCR,L0-3,30,28,0,3,2,0,0,0,2,0,10,0,0,0,0,2,0,0,.177,.248,.305,.553,3,11,R,M.Wacha(80)
9,9,Apr 7,@,KCR,L3-5,42,37,3,12,3,0,0,3,3,0,8,1,0,1,0,0,0,1,.196,.266,.318,.584,12,12,R,A.Marsh(38)
10,10,Apr 8,@,CLE,L0-4,36,30,0,4,1,0,0,0,6,0,6,0,0,0,0,1,1,0,.190,.267,.303,.571,9,10,R,T.McKenzie(61)
11,11,Apr 9,@,CLE,W7-5,39,36,7,12,5,0,0,7,2,0,10,0,1,0,0,1,0,0,.205,.277,.321,.598,5,11,L,L.Allen(31)
12,12,Apr 10,@,CLE,L6-7,42,36,6,10,6,0,1,5,3,0,8,0,3,0,0,1,2,1,.212,.283,.340,.623,7,13,R,T.Bibee(30)
13,13,Apr 12,,CIN,L1-11,30,30,1,4,2,0,0,1,0,0,5,0,0,0,0,1,0,0,.206,.273,.330,.603,2,9,L,A.Abbott(68)
14,14,Apr 13,,CIN,L0-5,33,28,0,2,0,0,0,0,3,0,15,2,0,0,0,0,1,0,.198,.269,.314,.582,6,11,L,N.Lodolo(76)
15,15,Apr 14,,CIN,L4-11,40,34,4,8,1,0,0,3,5,0,12,0,0,1,1,1,0,0,.200,.273,.310,.583,9,9,R,G.Ashcraft(59)
16,16,Apr 15,,KCR,L0-2,32,30,0,4,0,0,0,0,1,0,7,1,0,0,0,1,1,0,.196,.268,.300,.568,5,11,R,S.Lugo(72)
17,17,Apr 17 (1),,KCR,L2-4,34,30,2,5,1,0,1,2,3,0,10,0,1,0,0,0,0,0,.195,.267,.300,.566,5,10,R,B.Singer(55)
18,18,Apr 17 (2),,KCR,W2-1,33,28,2,6,1,0,1,2,4,0,4,0,1,0,0,1,0,0,.196,.269,.302,.571,7,10,R,M.Wacha(58)
19,19,Apr 19,@,PHI,L0-7,32,29,0,2,0,0,0,0,3,0,8,0,0,0,0,0,0,0,.190,.263,.291,.554,5,11,R,S.Turnbull(79)
20,20,Apr 20,@,PHI,L5-9,41,34,5,7,2,0,0,5,5,0,9,2,0,0,0,0,0,0,.190,.268,.290,.558,9,10,R,Z.Wheeler(82)
21,21,Apr 21,@,PHI,L2-8,33,31,2,4,1,0,1,2,2,0,8,0,0,0,0,0,1,0,.188,.264,.288,.552,4,9,R,A.Nola(72)
22,22,Apr 22,@,MIN,L0-7,36,35,0,8,0,0,0,0,1,0,12,0,0,0,0,0,0,0,.190,.263,.285,.549,9,10,R,C.Paddack(75)
23,23,Apr 23,@,MIN,L5-6,38,34,5,8,2,0,1,5,3,0,13,1,0,0,0,1,2,0,.192,.266,.290,.556,6,11,R,P.López(46)
24,24,Apr 24,@,MIN,L3-6,33,31,3,4,1,0,2,2,1,0,10,1,0,0,0,0,3,0,.189,.263,.292,.555,3,9,R,J.Ryan(59)
25,25,Apr 25,@,MIN,L3-6,42,36,3,9,1,0,0,2,4,0,9,1,0,1,1,0,1,0,.192,.266,.292,.558,12,10,R,S.Woods Richardson(50)
26,26,Apr 26,,TBR,W9-4,40,35,9,12,2,0,2,8,3,0,7,0,0,2,2,1,0,0,.198,.271,.304,.574,7,10,R,Z.Eflin(38)
27,27,Apr 27,,TBR,W8-7,42,40,8,10,2,0,2,8,2,0,10,0,0,0,1,0,1,0,.201,.271,.310,.582,7,13,R,A.Civale(26)
28,28,Apr 28,,TBR,W4-2,34,33,4,12,1,0,0,4,0,0,7,0,1,0,0,2,0,0,.207,.274,.313,.588,6,10,R,Z.Littell(54)
29,29,Apr 29,,MIN,L2-3,36,32,2,8,1,0,0,1,3,0,8,0,1,0,0,2,0,0,.208,.276,.312,.588,7,12,R,J.Ryan(54)
30,30,Apr 30,,MIN,L5-6,41,39,5,12,3,0,2,4,2,0,6,0,0,0,1,0,1,0,.212,.278,.321,.600,9,13,R,S.Woods Richardson(41)
31,31,May 1,,MIN,L5-10,33,33,5,7,3,0,2,5,0,0,4,0,0,0,0,1,0,0,.212,.276,.327,.603,1,9,R,B.Ober(47)
32,32,May 3,@,STL,L0-3,31,30,0,3,1,0,0,0,1,0,6,0,0,0,0,0,1,0,.209,.272,.321,.593,4,9,R,S.Gray(76)
33,33,May 4,@,STL,W6-5,41,37,6,8,2,0,0,5,3,0,8,0,0,1,1,0,0,1,.209,.272,.319,.592,6,12,R,L.Lynn(42)
34,34,May 5,@,STL,W5-1,36,34,5,9,5,0,1,5,0,0,12,0,0,2,0,0,2,0,.211,.272,.325,.596,4,10,L,M.Liberatore(56)
35,35,May 6,@,TBR,L2-8,35,32,2,4,0,0,1,2,3,0,11,0,0,0,1,1,0,0,.208,.270,.322,.591,6,9,L,T.Alexander(52)
36,36,May 7,@,TBR,L1-5,36,34,1,6,0,0,1,1,1,0,5,1,0,0,1,1,0,0,.208,.268,.320,.588,8,9,R,Z.Eflin(64)
37,37,May 8,@,TBR,W4-1,40,37,4,12,4,0,1,4,3,0,10,0,0,0,0,1,0,1,.211,.271,.326,.598,9,10,R,A.Civale(48)
38,38,May 9,,CLE,W3-2,34,30,3,8,4,0,0,3,4,0,5,0,0,0,0,1,1,0,.212,.273,.328,.601,7,10,R,B.Lively(40)
39,39,May 10,,CLE,W6-3,34,34,6,8,0,0,3,4,0,0,6,0,0,0,1,0,0,0,.213,.273,.333,.605,4,10,R,C.Carrasco(54)
40,40,May 11,,CLE,W3-1,34,30,3,7,2,0,0,3,3,0,6,0,0,1,0,0,1,0,.214,.273,.332,.605,7,11,R,T.McKenzie(62)
