Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,DET,L0-1,9.0,6,1,1,0,1,11,0,1,1.00,35,133,89,0,0,1,0,32,0,0,0,0,1,0,0,4,Brian O'Nora,G.Crochet (99-66-L) D.García (99) M.Kopech (99) D.Leone (99)
2,2,Mar 30,,DET,L6-7,10.0,12,7,6,1,4,3,2,0,3.32,45,152,99,1,1,1,0,41,2,1,0,0,0,0,0,7,Mark Carlson,M.Soroka (99-34) J.Leasure (99-H) D.Leone (1-H) T.Hill (99-BSv) S.Wilson (99) J.Brebbia (99) D.García (1-L)
3,3,Mar 31,,DET,L2-3,9.0,8,3,3,0,4,13,2,0,3.21,39,169,106,4,1,0,0,35,0,0,0,0,0,0,0,6,Dan Merzel,E.Fedde (99-52) T.Banks (99) J.Brebbia (0) M.Kopech (2) S.Wilson (0-L) T.Hill (0)
4,4,Apr 1,,ATL,L0-9,8.0,11,9,9,0,5,4,1,0,4.75,40,148,84,4,3,0,0,35,5,0,0,0,0,0,0,5,Erich Bacchus,C.Flexen (99-33-L) B.Shaw (99) J.Leasure (1) D.García (1) D.Leone (1)
5,5,Apr 2,,ATL,W3-2,9.0,5,2,2,0,5,9,2,0,4.20,36,148,92,2,0,0,0,31,0,0,0,0,0,0,1,3,Tom Hanahan,G.Crochet (4-74-W) J.Brebbia (1-H) M.Kopech (1-Sv)
6,6,Apr 4,@,KCR,L1-10,8.0,10,10,5,5,4,4,2,0,4.42,37,152,87,2,2,0,1,33,2,0,0,0,0,0,1,4,Malachi Moore,M.Soroka (4-54-L) D.García (2) D.Leone (2) B.Shaw (2)
7,7,Apr 5,@,KCR,L1-2,8.0,7,2,2,0,4,10,0,0,4.13,35,142,84,4,0,1,0,31,1,0,0,0,0,0,0,4,Bill Miller,E.Fedde (4-53) J.Brebbia (2) S.Wilson (4) M.Kopech (2-L)
8,8,Apr 6,@,KCR,L0-3,8.0,10,3,3,0,3,8,1,0,4.04,35,122,84,5,1,0,0,32,1,0,0,0,0,0,1,4,Doug Eddings,C.Flexen (4-51-L) J.Leasure (4) T.Banks (5) B.Shaw (1)
9,9,Apr 7,@,KCR,L3-5,8.0,5,5,4,1,3,6,2,0,4.09,32,131,81,1,1,2,0,29,1,0,0,0,0,2,2,4,Chad Whitson,G.Crochet (4-58) S.Wilson (1-H) D.García (2-BL) D.Leone (2)
10,10,Apr 8,@,CLE,L0-4,8.0,10,4,4,0,1,8,1,1,4.13,36,139,89,6,2,1,0,34,1,0,0,0,0,3,3,5,David Rackley,T.Banks (1-54-L) D.Leone (0) T.Hill (7) B.Shaw (1) J.Shuster (99)
11,11,Apr 9,@,CLE,W7-5,9.0,8,5,5,0,5,12,1,1,4.21,39,163,100,1,1,2,0,33,0,0,0,0,0,0,0,5,Chris Segal,M.Soroka (4-38) T.Hill (0) J.Leasure (2) S.Wilson (1-W) M.Kopech (3-Sv)
12,12,Apr 10,@,CLE,L6-7,9.1,8,7,5,2,5,5,3,2,4.27,43,138,86,3,1,1,0,36,1,0,2,0,0,1,1,6,Brian Walsh,E.Fedde (4-41) T.Banks (1-BSv) D.Leone (1) D.García (2) S.Wilson (0) B.Shaw (1-BL)
13,13,Apr 12,,CIN,L1-11,9.0,12,11,11,0,9,7,2,0,4.81,47,201,114,0,0,1,0,36,2,1,0,0,2,0,1,5,Mike Muchlinski,C.Flexen (5-21-L) J.Shuster (3) D.García (1) J.Anderson (99) T.Hill (2)
14,14,Apr 13,,CIN,L0-5,9.0,4,5,5,0,4,15,0,1,4.82,34,151,91,1,0,1,1,29,2,0,0,0,0,0,1,5,Jansen Visconti,G.Crochet (5-43-L) D.García (0) D.Leone (2) J.Leasure (3) M.Kopech (3)
15,15,Apr 14,,CIN,L4-11,9.0,10,11,6,5,8,7,2,0,4.90,47,165,101,4,3,6,1,37,0,0,0,0,2,2,0,4,Derek Thomas,M.Soroka (4-32-L) T.Banks (3) J.Anderson (1) T.Hill (1)
16,16,Apr 15,,KCR,L0-2,9.0,5,2,2,0,4,8,1,0,4.72,36,136,85,0,0,0,0,32,1,0,0,0,0,0,0,5,Dan Merzel,N.Nastrini (99-56-L) D.Leone (1) J.Leasure (1) S.Wilson (4) M.Kopech (1)
