Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Jacob Amaya,25,23,71,-7,0,0,3,1,-2,-0.3,2,0,0.0,.489,.498,-0.3,0.5,-3,,Waivers,6,amayaja01
Brooks Baldwin#,23,33,121,-5,1,1,-2,1,-4,-0.4,4,0,0.0,.488,.497,0.2,-0.1,2,,Amateur Draft,4/6,baldwbr01
Andrew Benintendi*,29,135,522,-4,-2,0,-13,-4,-24,-2.5,18,-6,-0.8,.481,.485,0.6,-1.8,7,$17100000,Free Agency,*7H/D8,beninan01
John Brebbia*,34,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$4000000,Free Agency,1,brebbjo01
Oscar Colás*,25,13,38,0,0,0,0,0,-1,-0.1,1,1,0.1,.494,.500,0.1,0.0,1,$740000,Free Agency,/98H,colasos01
Paul DeJong,30,102,363,-2,-2,0,-11,5,-9,-1.0,12,3,0.2,.490,.494,1.4,-0.6,14,$1750000,Free Agency,65/HD,dejonpa01
Zach DeLoach*,25,22,75,-1,-1,0,-1,-1,-3,-0.4,3,-1,-0.1,.484,.498,0.0,-0.2,0,$740000,Traded,9/7H8D,deloaza01
Duke Ellis*,26,8,4,-1,0,0,-1,0,-2,-0.2,0,-2,-0.2,.478,.499,-0.1,-0.1,-1,,Free Agency,/H78D9,ellisdu01
Dominic Fletcher*,26,72,241,-17,0,0,7,-1,-10,-1.1,8,-2,-0.3,.484,.493,-1.1,0.7,-9,$742900,Traded,98/H7,fletcdo01
Robbie Grossman#,34,25,85,-1,0,0,-2,-1,-4,-0.4,3,-1,-0.1,.485,.498,0.1,-0.3,1,,Free Agency,9/H7D,grossro01
Eloy Jiménez,27,65,249,-6,0,-1,0,-5,-13,-1.3,9,-4,-0.5,.479,.492,-0.5,-0.6,-4,$13833334,Traded,D/H9,jimenel02
Corey Julks,28,66,189,-8,-2,-1,-4,-2,-16,-1.7,6,-10,-1.1,.474,.489,-0.7,-0.7,-6,$755700,Traded,97H/D8,julksco01
Michael Kopech,28,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$3000000,Traded,1,kopecmi01
Korey Lee,25,125,394,-14,0,-1,-3,7,-12,-1.2,13,2,0.1,.490,.492,0.4,0.4,5,$741850,Traded,*2H/D,leeko01
Nicky Lopez*,29,124,445,-8,-1,1,-10,5,-13,-1.3,15,3,0.2,.489,.492,1.2,-0.5,13,$4300000,Traded,46/H,lopezni01
Martín Maldonado,37,48,147,-15,-1,-1,-3,3,-17,-1.8,5,-12,-1.3,.462,.489,-1.0,0.0,-9,$4000000,Free Agency,2,maldoma01
Danny Mendick,30,47,141,-7,1,0,-1,1,-7,-0.7,5,-2,-0.3,.484,.495,-0.2,0.0,-1,$865591,Free Agency,54H/D1,mendida01
Yoán Moncada#,29,12,45,1,0,0,0,0,1,0.1,2,3,0.3,.510,.501,0.3,0.0,3,$24800000,Traded,5/DH,moncayo01
Rafael Ortega*,33,14,17,-2,0,0,-1,0,-3,-0.3,1,-2,-0.2,.481,.498,-0.1,-0.1,-1,,Free Agency,8/HD9,ortegra01
Tommy Pham,36,70,297,4,-1,0,-11,-1,-9,-0.9,10,1,0.0,.486,.494,1.2,-1.3,12,,Free Agency,987/HD,phamth01
Kevin Pillar,35,17,32,-1,0,0,0,0,-1,-0.1,1,1,0.0,.496,.500,0.0,0.0,0,$1000000,Free Agency,/H89D,pillake01
Bryan Ramos,22,32,108,-2,-1,0,-1,0,-5,-0.5,4,-1,-0.2,.483,.497,-0.1,-0.1,0,$740000,Free Agency,5/DH,ramosbr01
Zach Remillard,30,15,39,0,-1,0,1,0,1,0.1,1,2,0.2,.507,.501,0.1,0.1,1,,Amateur Draft,/45H678D,remilza01
Luis Robert Jr.,26,100,425,-6,2,0,1,3,-1,0.0,14,14,1.4,.500,.500,1.3,0.4,13,$12500000,Amateur Free Agent,8/DH,roberlu01
Chuckie Robinson,29,26,76,-9,0,0,0,2,-7,-0.7,3,-4,-0.5,.473,.496,-0.5,0.2,-4,$740000,Free Agency,2/H,robinch04
Nick Senzel,29,10,32,-5,0,0,-3,0,-8,-0.9,1,-7,-0.7,.415,.495,-0.4,-0.3,-4,,Free Agency,/5DH9,senzeni01
Gavin Sheets*,28,139,501,-7,-3,-1,-7,-7,-25,-2.6,17,-8,-1.0,.481,.484,-0.2,-1.5,-1,$756950,Amateur Draft,93DH,sheetga01
Braden Shewmake*,26,29,67,-9,1,1,-1,1,-8,-0.8,2,-5,-0.6,.472,.495,-0.5,0.0,-4,$740350,Traded,6/54HD,shewmbr01
Lenyn Sosa,24,100,369,-9,0,-1,-9,3,-16,-1.7,13,-3,-0.4,.483,.490,0.5,-0.7,6,$740000,Free Agency,54/H3D,sosale01
Miguel Vargas,24,42,157,-13,0,0,-2,1,-14,-1.5,5,-9,-1.0,.463,.490,-0.8,-0.2,-7,,Traded,5/D7H,vargami01
Andrew Vaughn,26,149,619,-3,-2,-1,-4,-8,-18,-1.9,21,3,0.2,.487,.488,0.6,-1.3,7,$3250000,Amateur Draft,*3D/H,vaughan01
Team Total,27.8,1665,5869,-158,-10,-3,-78,2,-247,-26.0,200,-46,-6.7,.484,.492,1.5,-8.1,32,$97836675,,,-9999
