Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Justin Anderson,31,53.1,56,0,29,4.89,4.64,-0.52,-0.31,0.11,102.8,5.09,1,0.1,1.22,-0.1,0.5,6,.502,.501,,,anderju01
Tanner Banks*,32,48.0,41,1,30,5.63,4.52,-0.51,-0.28,0.11,102.5,4.99,-4,-0.4,1.47,-0.2,-0.1,1,.491,.498,$755050,Amateur Draft,banksta01
Prelander Berroa,24,19.0,17,0,7,3.32,4.39,-0.41,-0.29,0.00,104.4,4.71,3,0.3,.88,-0.1,0.4,5,.518,.502,$740000,Traded,berropr01
John Brebbia,34,48.2,54,0,34,6.29,4.48,-0.52,-0.30,0.12,102.5,4.94,-8,-0.8,1.36,-0.2,-0.6,-3,.485,.495,$4000000,Free Agency,brebbjo01
Sean Burke,24,19.0,4,3,4,1.89,4.42,-0.46,0.12,0.00,101.8,5.09,7,0.8,.19,-0.1,0.9,8,.698,.505,,Amateur Draft,burkese01
Ky Bush*,24,17.2,4,4,11,5.60,4.61,-0.61,0.21,0.00,100.0,5.42,0,0.0,,0.0,0.1,1,.489,.500,,Traded,bushky01
Jonathan Cannon,23,124.1,23,21,65,4.71,4.43,-0.57,0.19,0.00,101.7,5.27,7,0.8,.79,-0.1,1.9,19,.534,.505,$740000,Amateur Draft,cannojo02
Mike Clevinger,33,16.0,4,4,13,7.31,4.89,-0.62,0.22,0.00,102.8,5.89,-3,-0.3,,0.0,-0.1,-1,.435,.498,,Free Agency,clevimi01
Garrett Crochet*,25,146.0,32,32,61,3.76,4.60,-0.44,0.20,0.00,102.4,5.37,25,2.9,,-0.1,4.1,39,.589,.518,$800000,Amateur Draft,crochga01
Enyel De Los Santos,28,17.1,15,0,7,3.63,4.38,-0.51,-0.29,0.32,103.5,5.09,3,0.3,1.02,0.0,0.4,4,.520,.502,,Waivers,delosen01
Jake Eder*,25,2.0,1,0,1,4.50,3.76,-0.54,-0.25,0.00,108.0,4.37,0,0.0,.10,0.0,0.0,0,.496,.500,,Traded,ederja01
Fraser Ellard*,26,24.0,25,0,12,4.50,4.54,-0.48,-0.30,0.00,100.1,4.71,0,0.0,1.31,0.0,0.2,3,.502,.500,,Amateur Draft,ellarfr01
Erick Fedde,31,121.2,21,21,43,3.18,4.67,-0.54,0.21,0.00,101.5,5.50,31,3.6,,-0.1,4.7,43,.672,.522,$7500000,Free Agency,feddeer01
Chris Flexen,29,160.0,33,30,95,5.34,4.56,-0.59,0.19,0.00,102.8,5.49,2,0.2,.34,-0.1,1.6,17,.506,.501,$1750000,Free Agency,flexech01
Matt Foster,29,6.2,6,1,2,2.70,4.96,-0.57,-0.17,0.00,99.8,5.36,2,0.2,.87,0.0,0.3,3,.535,.501,$750000,Amateur Draft,fostema01
Deivi García,25,14.0,14,0,16,10.29,4.32,-0.55,-0.29,0.79,103.9,5.59,-7,-0.7,1.24,-0.1,-0.7,-6,.447,.495,,Waivers,garcide01
Tim Hill*,34,23.0,27,0,19,7.43,4.52,-0.75,-0.30,0.00,102.2,5.08,-6,-0.6,.83,0.0,-0.4,-4,.476,.496,$1800000,Free Agency,hillti01
Jairo Iriarte,22,6.0,6,0,3,4.50,4.40,-0.48,-0.30,0.93,100.9,5.57,1,0.1,.55,0.0,0.1,1,.512,.500,,Traded,iriarja01
Brad Keller,28,16.2,5,2,10,5.40,4.36,-0.63,-0.04,0.00,102.3,5.06,-1,-0.1,.53,0.0,0.1,1,.485,.500,,Free Agency,kellebr01
Michael Kopech,28,43.2,43,0,24,4.95,4.45,-0.43,-0.30,0.26,102.3,4.95,0,0.0,1.54,-0.1,0.3,4,.500,.500,$3000000,Traded,kopecmi01
Chad Kuhl,31,53.1,31,1,33,5.57,4.58,-0.53,-0.24,0.21,102.4,5.20,-2,-0.3,.77,-0.1,0.2,3,.492,.498,,Free Agency,kuhlch01
Jordan Leasure,25,31.1,33,0,22,6.32,4.52,-0.57,-0.30,0.00,101.6,4.86,-5,-0.5,1.29,-0.1,-0.4,-2,.483,.497,$740000,Traded,leasujo01
Dominic Leone,32,19.0,23,0,17,8.05,4.42,-0.56,-0.30,0.00,103.3,4.84,-7,-0.7,1.32,-0.2,-0.7,-5,.469,.496,$1500000,Free Agency,leonedo01
Davis Martin,27,50.0,11,10,25,4.50,4.47,-0.53,0.18,0.00,103.1,5.34,4,0.5,.25,0.0,0.9,9,.544,.503,$740000,Amateur Draft,martida03
Danny Mendick,30,1.0,1,0,0,0.00,4.05,-0.77,-0.27,0.00,104.0,4.73,1,0.1,.00,0.0,0.0,1,.557,.500,$865591,Free Agency,mendida01
Nick Nastrini,24,35.2,9,8,33,8.33,4.49,-0.57,0.16,0.00,100.7,5.25,-12,-1.2,.57,0.0,-0.8,-9,.371,.493,$740000,Traded,nastrni01
Sammy Peralta*,26,15.0,9,0,9,5.40,4.54,-0.66,-0.30,0.00,103.7,5.08,-1,-0.1,.54,0.0,0.1,1,.493,.500,$740000,Waivers,peralsa01
Bryan Shaw,36,4.0,5,0,5,11.25,4.45,-0.73,-0.30,1.40,104.8,6.57,-2,-0.2,1.22,0.0,-0.2,-2,.457,.499,$800000,Free Agency,shawbr01
Jared Shuster*,25,73.1,39,4,38,4.66,4.56,-0.58,-0.22,0.15,102.1,5.18,4,0.4,.93,-0.1,1.0,11,.511,.503,$740000,Traded,shustja01
Michael Soroka,26,79.2,25,9,49,5.54,4.49,-0.50,-0.02,0.35,103.3,5.49,-1,-0.1,1.45,-0.1,0.6,7,.497,.499,$3000000,Traded,sorokmi01
Drew Thorpe,23,44.1,9,9,29,5.89,4.29,-0.59,0.19,0.00,103.5,5.24,-3,-0.3,,0.0,0.0,1,.461,.498,$740000,Traded,thorpdr01
Touki Toussaint,28,23.0,11,0,19,7.43,4.97,-0.57,-0.33,0.00,99.1,5.16,-6,-0.6,.65,0.1,-0.3,-4,.446,.496,,Waivers,toussto01
Gus Varland,27,20.1,19,0,9,3.98,4.52,-0.52,-0.30,0.00,101.0,4.77,2,0.2,1.00,0.0,0.3,4,.510,.501,,Waivers,varlagu01
Steven Wilson,29,34.2,40,0,29,7.53,4.53,-0.53,-0.30,0.48,103.5,5.42,-8,-0.9,1.14,-0.1,-0.7,-5,.478,.495,$751900,Traded,wilsost02
Jake Woodford,27,8.1,2,2,10,10.80,4.15,-0.73,0.19,0.00,104.0,5.26,-5,-0.4,,0.0,-0.4,-4,.284,.497,,,woodfja01
Team Total,27.5,1420.0,698,162,813,5.15,4.53,-0.54,-0.02,0.09,102.3,5.26,10,2.2,1.15,-2.3,13.4,147,.503,.500,$33192541,,-9999
