Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Jacob Amaya,25,us US,R,R,5' 10",180,Sep 3 1998,2,23,21,23,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0.0,,,amayaja01
Justin Anderson,31,us US,L,R,6' 3",230,Sep 28 1992,3,56,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,,anderju01
Brooks Baldwin,23,us US,B,R,6' 0",175,Aug 15 2000,1st,33,32,33,33,0,0,0,24,0,9,0,0,0,0,0,0,0,0.0,,,baldwbr01
Tanner Banks,32,us US,R,L,6' 1",205,Oct 24 1991,3,41,1,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$755050,,banksta01
Andrew Benintendi,29,us US,L,L,5' 9",180,Jul 6 1994,9,135,123,135,125,0,0,0,0,0,0,124,1,0,125,5,12,0,-0.8,$17100000,,beninan01
Prelander Berroa,24,do DO,R,R,5' 11",215,Apr 18 2000,2,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$740000,,berropr01
John Brebbia,34,us US,L,R,6' 1",205,May 30 1990,7,54,0,1,54,54,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$4000000,,brebbjo01
Sean Burke,24,us US,R,R,6' 6",230,Dec 18 1999,1st,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,,burkese01
Ky Bush,24,us US,L,L,6' 6",250,Nov 12 1999,1st,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,bushky01
Jonathan Cannon,23,us US,R,R,6' 6",225,Jul 19 2000,1st,23,21,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,1.9,$740000,,cannojo02
Mike Clevinger,33,us US,R,R,6' 4",215,Dec 21 1990,8,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,clevimi01
Oscar Colás,25,cu CU,L,L,6' 0",230,Sep 17 1998,2,13,8,13,11,0,0,0,0,0,0,0,4,8,11,0,3,0,0.1,$740000,,colasos01
Garrett Crochet,25,us US,L,L,6' 6",245,Jun 21 1999,4,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,4.1,$800000,All-Star,crochga01
Enyel De Los Santos,28,do DO,R,R,6' 3",235,Dec 25 1995,6,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,,delosen01
Paul DeJong,30,us US,R,R,6' 0",205,Aug 2 1993,8,102,94,102,100,0,0,0,0,11,89,0,0,0,0,1,7,0,0.2,$1750000,,dejonpa01
Zach DeLoach,25,us US,L,R,6' 1",215,Aug 18 1998,1st,22,17,22,17,0,0,0,0,0,0,6,1,10,17,1,4,0,-0.1,$740000,,deloaza01
Jake Eder,25,us US,L,L,6' 4",215,Oct 9 1998,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,ederja01
Fraser Ellard,26,us US,L,L,6' 4",220,Nov 6 1997,1st,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,ellarfr01
Duke Ellis,26,us US,L,L,6' 2",180,Jan 16 1998,1st,8,1,8,6,0,0,0,0,0,0,3,2,1,6,1,0,5,-0.2,,,ellisdu01
