Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Alejandro Kirk,25,103,386,340,23,86,19,1,5,54,0,0,35,51,.253,.319,.359,.677,94,122,11,2,0,9,1,kirkal01
2,1B,Vladimir Guerrero Jr.,25,159,697,616,98,199,44,1,30,103,2,2,72,96,.323,.396,.544,.940,166,335,16,5,0,4,12,guerrvl02
3,2B,Spencer Horwitz*,26,97,381,328,46,87,19,0,12,40,0,0,42,70,.265,.357,.433,.790,125,142,8,7,0,4,2,horwisp01
4,SS,Bo Bichette,26,81,336,311,29,70,16,1,4,31,5,1,20,64,.225,.277,.322,.598,71,100,12,3,0,2,1,bichebo01
5,3B,Ernie Clement,28,139,452,434,48,114,21,3,12,51,12,3,11,41,.263,.284,.408,.692,95,177,11,3,2,2,1,clemeer01
6,LF,Davis Schneider,25,135,454,397,48,76,19,1,13,46,6,0,47,144,.191,.282,.343,.625,78,136,2,5,0,5,0,schneda03
7,CF,Daulton Varsho*,27,136,513,459,73,98,21,7,18,58,10,2,48,137,.214,.293,.407,.700,98,187,2,4,1,1,1,varshda01
8,RF,George Springer,34,145,614,545,74,120,19,3,19,56,16,1,60,115,.220,.303,.371,.674,92,202,16,6,0,2,0,springe01
9,DH,Justin Turner,39,91,349,301,37,77,17,0,6,31,0,2,39,60,.256,.350,.372,.722,107,112,15,6,0,3,0,turneju01
10,IF,Isiah Kiner-Falefa,29,83,281,257,32,75,8,2,7,33,3,1,13,37,.292,.338,.420,.758,116,108,9,6,3,2,0,kineris01
11,C,Danny Jansen,29,62,228,198,27,42,13,0,6,18,0,0,25,42,.212,.303,.369,.671,91,73,1,2,0,3,0,janseda01
12,UT,Addison Barger*,24,69,225,208,20,41,11,0,7,28,2,0,14,60,.197,.250,.351,.601,70,73,1,1,0,1,0,bargead01
13,CF,Kevin Kiermaier*,34,82,217,200,24,39,7,2,4,18,5,0,10,66,.195,.236,.310,.546,55,62,3,1,5,1,0,kiermke01
14,MI,Leo Jimenez,23,63,210,179,18,41,11,0,4,19,0,0,12,59,.229,.329,.358,.686,97,64,6,16,0,3,0,jimenle01
15,LF,Joey Loperfido*,25,43,144,137,13,27,8,3,2,9,2,1,6,52,.197,.236,.343,.579,63,47,2,1,0,0,0,loperjo01
16,2B,Cavan Biggio*,29,44,131,110,15,22,4,0,2,9,2,0,14,42,.200,.323,.291,.614,78,32,1,6,0,0,0,biggica01
17,OF,Nathan Lukes*,29,22,91,76,13,23,4,2,1,10,1,0,10,9,.303,.371,.447,.818,133,34,1,0,2,3,0,lukesna01
18,2B,Will Wagner*,25,24,86,82,8,25,6,0,2,11,0,0,4,16,.305,.337,.451,.788,124,37,3,0,0,0,0,wagnewi01
