Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,TBR,W8-2,40,32,8,7,1,0,3,8,7,0,7,1,0,0,0,2,0,0,.219,.375,.531,.906,5,9,R,Z.Eflin(37)
2,2,Mar 29,@,TBR,L2-8,34,32,2,6,1,0,1,2,1,0,7,0,0,1,1,1,0,0,.203,.297,.422,.719,5,11,R,A.Civale(65)
3,3,Mar 30,@,TBR,L1-5,34,31,1,6,0,0,0,1,3,0,10,0,0,0,0,2,0,0,.200,.287,.347,.634,6,10,R,Z.Littell(68)
4,4,Mar 31,@,TBR,W9-2,44,36,9,10,1,0,2,8,8,0,9,0,0,0,0,1,0,0,.221,.322,.382,.704,8,10,R,S.Armstrong(41)
5,5,Apr 1,@,HOU,L0-10,29,27,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,.184,.282,.316,.598,2,10,R,R.Blanco(92)
6,6,Apr 2,@,HOU,W2-1,33,31,2,8,2,0,1,2,1,0,5,1,0,0,0,3,0,0,.196,.285,.333,.618,4,11,L,F.Valdez(72)
7,7,Apr 3,@,HOU,L0-8,34,27,0,1,1,0,0,0,7,0,7,0,0,0,0,1,1,0,.176,.278,.301,.579,7,13,R,C.Javier(63)
8,8,Apr 5,@,NYY,W3-0,39,35,3,7,2,0,1,1,4,0,8,0,0,0,1,0,0,0,.179,.279,.307,.586,9,12,R,M.Stroman(71)
9,9,Apr 6,@,NYY,L8-9,46,37,8,12,6,0,1,8,6,0,6,1,0,2,0,0,0,0,.198,.297,.340,.638,11,13,R,C.Schmidt(44)
10,10,Apr 7,@,NYY,L3-8,41,33,3,5,2,0,0,3,6,0,11,2,0,0,0,0,0,0,.193,.299,.327,.627,11,10,R,L.Gil(55)
11,11,Apr 8,,SEA,W5-2,36,34,5,11,5,0,0,5,1,0,9,1,0,0,0,1,2,0,.206,.305,.341,.646,7,10,R,L.Castillo(38)
12,12,Apr 9,,SEA,W5-3,38,34,5,11,2,0,1,5,2,0,7,2,0,0,1,2,2,0,.216,.313,.352,.665,9,10,R,G.Kirby(29)
13,13,Apr 10,,SEA,L1-6,39,35,1,6,0,0,1,1,3,0,10,1,0,0,0,1,0,0,.212,.308,.344,.652,9,12,R,L.Gilbert(72)
14,14,Apr 12,,COL,L4-12,39,36,4,11,2,0,2,3,3,0,7,0,0,0,0,2,1,0,.220,.312,.359,.670,8,13,R,R.Feltner(45)
