Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,TBR,W8-2,9.0,8,2,2,0,2,11,1,0,2.00,35,142,91,0,0,1,1,33,3,0,0,0,0,0,1,4,Todd Tichenor,J.Berríos (99-57-W) T.Richards (99) N.Pearson (99) T.Mayza (99)
2,2,Mar 29,@,TBR,L2-8,8.0,10,8,7,1,3,7,1,1,4.76,38,154,106,0,0,2,0,34,1,0,0,0,0,1,2,2,Cory Blaser,C.Bassitt (99-41-L) W.Parsons (99)
3,3,Mar 30,@,TBR,L1-5,8.0,11,5,5,0,4,6,1,0,5.04,38,161,104,2,1,2,0,32,1,0,0,0,2,0,0,5,Manny Gonzalez,Y.Kikuchi (99-40-L) T.Richards (1) Y.García (99) G.Cabrera (99) T.Mayza (1)
4,4,Mar 31,@,TBR,W9-2,9.0,3,2,2,0,2,6,2,1,4.24,34,140,95,1,0,1,0,31,0,0,0,0,0,1,0,4,Derek Thomas,K.Gausman (99-61) N.Pearson (2) M.White (99-W) C.Green (99)
5,5,Apr 1,@,HOU,L0-10,8.0,12,10,10,0,3,8,5,0,5.57,38,115,82,1,0,0,0,35,2,0,0,0,0,0,1,4,Charlie Ramos,B.Francis (99-26-L) G.Cabrera (1) T.Richards (1) I.Kiner-Falefa (99)
6,6,Apr 2,@,HOU,W2-1,9.0,8,1,1,0,4,4,1,0,4.76,34,132,73,5,0,0,2,29,2,0,0,0,0,0,2,4,Chad Fairchild,J.Berríos (4-55) Y.García (2) T.Mayza (2) C.Green (1-W)
7,7,Apr 3,@,HOU,L0-8,8.0,15,8,8,0,4,7,4,0,5.34,42,160,96,3,2,0,0,38,2,0,0,0,0,0,1,5,Carlos Torres,C.Bassitt (4-29-L) N.Pearson (2) T.Mayza (0) T.Richards (1) W.Parsons (4)
8,8,Apr 5,@,NYY,W3-0,9.0,6,0,0,0,3,11,0,0,4.63,34,150,91,1,0,0,1,31,0,0,0,0,0,0,1,5,Emil Jimenez,Y.Kikuchi (5-65) Y.García (2-W) G.Cabrera (3-H) T.Richards (1-H) C.Green (2-Sv)
9,9,Apr 6,@,NYY,L8-9,8.0,10,9,8,1,7,5,3,0,5.09,40,167,100,2,1,2,0,31,1,0,0,0,1,0,1,4,Lance Barksdale,K.Gausman (5-22-L) M.White (5) T.Mayza (2) N.Pearson (2)
10,10,Apr 7,@,NYY,L3-8,8.0,8,8,8,0,7,8,1,1,5.46,39,172,101,4,1,2,0,30,0,0,0,0,1,0,1,5,Angel Hernandez,B.Francis (5-37-L) P.Espino (99) T.Mayza (0) T.Richards (1) G.Cabrera (1)
11,11,Apr 8,,SEA,W5-2,9.0,7,2,2,0,2,10,2,0,5.13,36,151,105,1,0,0,0,34,1,0,0,0,0,0,0,3,CB Bucknor,J.Berríos (5-71-W) Y.García (2) C.Green (2)
12,12,Apr 9,,SEA,W5-3,9.0,6,3,3,0,6,10,2,0,4.94,36,168,105,1,0,0,0,30,0,0,0,0,0,0,3,3,Brock Ballou,C.Bassitt (5-64-W) T.Richards (1) C.Green (0-Sv)
13,13,Apr 10,,SEA,L1-6,10.0,6,6,5,1,5,15,1,0,4.90,41,156,99,2,2,1,0,36,1,0,0,0,0,0,0,5,Ben May,Y.Kikuchi (4-69) N.Pearson (3) Y.García (1) T.Mayza (2-L) M.White (3)
14,14,Apr 12,,COL,L4-12,9.0,20,12,12,0,2,9,2,1,5.43,48,178,121,3,1,1,0,43,8,1,0,0,2,0,2,4,Manny Gonzalez,K.Gausman (5-21-L) P.Espino (4) G.Cabrera (4) M.White (1)
15,15,Apr 13,,COL,W5-3,9.0,7,3,3,0,4,15,1,0,5.26,36,153,103,2,0,0,0,32,2,0,0,0,0,0,2,5,Nestor Ceja,Y.Rodríguez (99-53) B.Francis (5-W) T.Mayza (2-H) C.Green (3-H) Y.García (2-Sv)
16,16,Apr 14,,COL,W5-0,9.0,2,0,0,0,2,10,0,2,4.92,33,129,86,0,0,0,0,29,0,0,0,0,0,0,0,3,Todd Tichenor,J.Berríos (5-78-W) G.Cabrera (1) N.Pearson (3)
17,17,Apr 15,,NYY,W3-1,9.0,4,1,1,0,2,6,0,0,4.68,31,129,82,0,0,1,1,29,0,0,0,0,0,0,1,4,Charlie Ramos,C.Bassitt (5-64-W) T.Mayza (1-H) C.Green (1-H) Y.García (1-Sv)
18,18,Apr 16,,NYY,W5-4,9.0,6,4,4,0,2,10,0,1,4.64,36,142,93,0,0,0,0,32,3,0,0,0,1,0,0,4,Chad Fairchild,Y.Kikuchi (5-68-W) T.Richards (6) Y.García (0-H) J.Romano (99-Sv)
19,19,Apr 17,,NYY,L4-6,9.0,11,6,6,0,4,11,2,0,4.72,40,191,120,2,2,1,0,36,3,0,0,0,0,0,2,5,Ryan Wills,K.Gausman (4-58) T.Richards (0-H) G.Cabrera (2-H) E.Swanson (99-L) T.Mayza (1-BSv)
20,20,Apr 19,@,SDP,W5-1,9.0,5,1,1,0,2,14,1,0,4.53,34,161,106,1,0,0,0,32,1,0,0,0,0,0,0,5,Junior Valentine,Y.Rodríguez (5-58) B.Francis (5-W) T.Mayza (1) Y.García (2) J.Romano (2)
21,21,Apr 20,@,SDP,W5-2,9.0,9,2,2,0,3,8,0,0,4.40,39,135,94,1,0,0,0,36,3,0,0,0,0,0,0,5,Ramon De Jesus,J.Berríos (5-66-W) G.Cabrera (2) Y.García (0-H) E.Swanson (2-H) J.Romano (0-Sv)
22,22,Apr 21,@,SDP,L3-6,8.0,6,6,4,2,9,6,1,1,4.41,39,158,88,3,2,3,0,27,0,0,0,0,1,0,0,3,Adrian Johnson,C.Bassitt (5-45-L) T.Richards (3) N.Pearson (6)
23,23,Apr 22,@,KCR,W5-3,9.0,8,3,3,0,0,7,2,0,4.34,35,118,84,0,0,0,0,35,3,0,0,0,0,0,0,4,Chris Guccione,Y.Kikuchi (5-58-W) E.Swanson (1-H) Y.García (1-H) J.Romano (1-Sv)
24,24,Apr 23,@,KCR,L2-3,8.0,8,3,0,3,1,4,0,0,4.18,33,123,81,1,0,1,0,32,3,0,0,0,0,1,1,3,Brian Knight,K.Gausman (5-55-L) N.Pearson (1) T.Mayza (3)
25,25,Apr 24,@,KCR,L2-3,8.0,9,3,3,0,3,2,0,0,4.15,36,131,90,2,0,4,0,33,1,0,1,0,0,0,0,4,Alex MacKay,Y.Rodríguez (4-38-L) G.Cabrera (3) B.Francis (4) T.Richards (2)
26,26,Apr 25,@,KCR,L1-2,5.0,3,2,2,0,3,1,1,0,4.14,20,67,45,,,0,0,17,0,1,0,0,0,0,1,1,Ryan Additon,J.Berríos (4-51-L)
27,27,Apr 26,,LAD,L2-12,9.0,19,12,12,0,5,7,3,0,4.44,50,194,116,4,1,3,1,43,2,0,0,0,2,0,0,7,Hunter Wendelstedt,C.Bassitt (4-13-L) T.Richards (1) B.Little (99) N.Pearson (2) T.Mayza (2) E.Swanson (3) I.Kiner-Falefa (24)
28,28,Apr 27,,LAD,L2-4,9.0,11,4,4,0,1,3,0,0,4.42,40,147,95,4,0,1,0,37,2,1,0,1,1,1,0,5,John Tumpane,Y.Kikuchi (4-41-L) G.Cabrera (2) Y.García (4) J.Romano (4) N.Pearson (0)
29,29,Apr 28,,LAD,W3-1,9.0,6,1,1,0,2,8,1,0,4.30,35,132,96,3,0,0,1,33,4,0,1,0,0,0,0,4,Nick Mahrley,K.Gausman (4-68-W) Y.García (0-H) T.Mayza (1-H) J.Romano (0-Sv)
30,30,Apr 29,,KCR,W6-5,9.0,11,5,4,1,3,7,2,1,4.29,41,160,105,3,0,1,0,37,2,0,0,0,0,0,1,6,Adam Hamari,Y.Rodríguez (4-37) G.Cabrera (1-W) T.Richards (2-H) T.Mayza (0-H) E.Swanson (2-H) N.Pearson (1-Sv)
31,31,Apr 30,,KCR,L1-4,9.0,8,4,4,0,2,4,1,1,4.28,35,120,75,1,1,1,1,32,2,0,1,0,0,0,2,4,Vic Carapazza,J.Berríos (4-61-L) E.Swanson (0) G.Cabrera (0) Z.Pop (99)
32,32,May 1,,KCR,L1-6,9.0,7,6,6,0,1,7,1,1,4.34,36,135,91,0,0,0,0,33,2,0,0,1,0,0,0,4,D.J. Reyburn,C.Bassitt (4-55-L) T.Richards (1) N.Pearson (1) B.Little (4)
33,33,May 3,@,WSN,L3-9,8.0,12,9,5,4,5,7,1,0,4.37,41,163,98,3,0,1,0,35,3,0,1,1,0,1,1,6,Rob Drake,Y.Kikuchi (5-62) E.Swanson (2-BL) T.Mayza (3) Z.Pop (2) G.Cabrera (2) T.Richards (1)
