Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,José Berríos,30,16,11,.593,3.60,32,32,0,1,0,0,192.1,168,79,77,31,54,1,153,13,0,1,786,112,4.72,1.154,7.9,1.5,2.5,7.2,2.83,berrijo01
2,SP,Kevin Gausman,33,14,11,.560,3.83,31,31,0,2,1,0,181.0,165,86,77,20,56,0,162,2,2,3,756,105,3.77,1.221,8.2,1.0,2.8,8.1,2.89,gausmke01
3,SP,Chris Bassitt,35,10,14,.417,4.16,31,31,0,0,0,0,171.0,180,91,79,18,70,2,168,16,2,2,758,97,4.08,1.462,9.5,0.9,3.7,8.8,2.40,bassich01
4,SP,Yusei Kikuchi*,33,4,9,.308,4.75,22,22,0,0,0,0,115.2,125,63,61,17,30,0,130,2,0,2,497,85,3.66,1.340,9.7,1.3,2.3,10.1,4.33,kikucyu01
5,SP,Yariel Rodríguez,27,1,8,.111,4.47,21,21,0,0,0,0,86.2,74,46,43,11,40,0,85,3,2,0,368,90,4.34,1.315,7.7,1.1,4.2,8.8,2.13,rodriya01
6,CL,Chad Green,33,4,6,.400,3.21,53,0,34,0,0,17,53.1,41,20,19,8,14,3,46,2,0,1,210,126,4.29,1.031,6.9,1.4,2.4,7.8,3.29,greench03
7,RP,Génesis Cabrera*,27,3,3,.500,3.59,69,0,10,0,0,2,62.2,63,31,25,10,29,4,50,2,2,2,271,113,5.13,1.468,9.0,1.4,4.2,7.2,1.72,cabrege01
8,RP,Trevor Richards,31,2,1,.667,4.64,45,2,4,0,0,0,52.1,36,30,27,7,24,0,49,0,0,6,218,87,4.41,1.146,6.2,1.2,4.1,8.4,2.04,richatr01
9,RP,Zach Pop,27,2,4,.333,5.59,58,0,12,0,0,1,48.1,45,36,30,9,19,4,33,2,1,1,209,73,5.53,1.324,8.4,1.7,3.5,6.1,1.74,popza01
10,RP,Brendon Little*,27,1,2,.333,3.74,49,0,7,0,0,1,45.2,41,21,19,7,19,2,36,1,0,5,193,108,4.90,1.314,8.1,1.4,3.7,7.1,1.89,littlbr02
11,,Bowden Francis,28,8,5,.615,3.30,27,13,7,0,0,0,103.2,74,41,38,17,22,0,92,7,1,0,408,122,4.36,0.926,6.4,1.5,1.9,8.0,4.18,francbo01
12,,Nate Pearson,27,0,1,.000,5.63,41,0,12,0,0,2,40.0,45,26,25,8,17,0,51,2,0,2,182,72,4.64,1.550,10.1,1.8,3.8,11.5,3.00,pearsna01
13,,Erik Swanson,30,2,2,.500,5.03,45,0,15,0,0,0,39.1,36,22,22,11,14,0,37,1,1,0,168,81,6.07,1.271,8.2,2.5,3.2,8.5,2.64,swanser01
14,,Ryan Burr,30,0,2,.000,4.13,34,4,5,0,0,0,32.2,29,16,15,4,12,0,47,1,0,0,140,98,3.08,1.255,8.0,1.1,3.3,12.9,3.92,burrry01
15,,Ryan Yarbrough*,32,1,0,1.000,2.01,12,0,2,0,0,0,31.1,18,7,7,2,7,0,26,5,0,0,117,202,3.49,0.798,5.2,0.6,2.0,7.5,3.71,yarbrry01
16,,Yimi García,33,3,0,1.000,2.70,29,0,8,0,0,5,30.0,16,9,9,3,8,3,42,2,0,1,115,151,2.67,0.800,4.8,0.9,2.4,12.6,5.25,garciyi01
17,,Tim Mayza*,32,0,1,.000,8.03,35,0,8,0,0,0,24.2,36,24,22,3,12,2,16,0,0,1,121,51,4.91,1.946,13.1,1.1,4.4,5.8,1.33,mayzati01
18,,Alek Manoah,26,1,2,.333,3.70,5,5,0,0,0,0,24.1,17,16,10,5,8,0,26,4,0,1,103,110,5.18,1.027,6.3,1.8,3.0,9.6,3.25,manoaal01
19,,Tommy Nance,33,0,3,.000,4.09,20,0,6,0,0,0,22.0,18,12,10,2,9,2,19,1,0,2,93,100,3.99,1.227,7.4,0.8,3.7,7.8,2.11,nanceto01
20,,Jordan Romano,31,1,2,.333,6.59,15,0,14,0,0,8,13.2,16,10,10,4,4,1,13,1,0,0,62,63,6.17,1.463,10.5,2.6,2.6,8.6,3.25,romanjo03
21,,Mitch White,29,1,0,1.000,5.40,4,0,2,0,0,0,10.0,10,6,6,1,4,0,6,0,0,0,42,77,4.47,1.400,9.0,0.9,3.6,5.4,1.50,whitemi03
22,,Paolo Espino,37,0,1,.000,8.31,3,1,0,0,0,0,8.2,14,8,8,3,5,0,3,1,0,0,44,51,9.05,2.192,14.5,3.1,5.2,3.1,0.60,espinpa01
23,,Brandon Eisert*,26,0,0,,4.05,3,0,2,0,0,0,6.2,5,3,3,0,4,0,2,0,0,0,26,105,4.37,1.350,6.8,0.0,5.4,2.7,0.50,eiserbr01
24,,Wes Parsons,31,0,0,,10.80,2,0,2,0,0,0,5.0,6,6,6,2,2,0,2,0,1,0,23,40,8.77,1.600,10.8,3.6,3.6,3.6,1.00,parsowe01
25,,Yerry Rodríguez,26,0,0,,15.43,4,0,2,0,0,0,4.2,10,9,8,2,2,0,5,1,0,0,27,28,8.52,2.571,19.3,3.9,3.9,9.6,2.50,rodriye01
26,,Easton Lucas*,27,0,0,,11.57,2,0,0,0,0,0,4.2,6,6,6,1,4,0,2,0,0,0,22,38,7.67,2.143,11.6,1.9,7.7,3.9,0.50,lucasea01
27,,Luis Frías,26,0,0,,21.60,4,0,1,0,0,0,3.1,8,8,8,1,3,0,5,0,0,1,22,21,6.77,3.300,21.6,2.7,8.1,13.5,1.67,friaslu01
28,,Dillon Tate,30,0,0,,5.40,4,0,0,0,0,0,3.1,4,2,2,0,3,0,4,0,0,0,16,83,3.47,2.100,10.8,0.0,8.1,10.8,1.33,tatedi01
29,,José Cuas,30,0,0,,9.00,4,0,1,0,0,0,3.0,3,3,3,1,4,1,3,2,0,0,18,50,11.50,2.333,9.0,3.0,12.0,9.0,0.75,cuasjo01
30,,Brett de Geus,26,0,0,,15.43,2,0,0,0,0,0,2.1,3,4,4,0,2,0,1,0,0,0,11,30,4.88,2.143,11.6,0.0,7.7,3.9,0.50,degeubr01
