Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Addison Barger*,24,69,225,-8,1,1,3,-1,-3,-0.3,8,4,0.4,.495,.498,0.1,0.3,1,$740000,Amateur Draft,59H7/D,bargead01
Steward Berroa#,25,28,45,-1,0,0,3,-1,2,0.2,2,3,0.3,.506,.501,0.0,0.2,0,,Free Agency,9H/78D,berrost01
Bo Bichette,26,81,336,-12,-1,-2,-3,5,-13,-1.4,11,-2,-0.3,.483,.491,0.1,0.2,1,$12083334,Amateur Draft,6,bichebo01
Cavan Biggio*,29,44,131,-3,1,0,2,0,0,0.1,4,5,0.5,.501,.500,0.3,0.2,3,$4210000,Amateur Draft,49/H35D,biggica01
Génesis Cabrera*,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1512500,Traded,1,cabrege01
Jonatan Clase#,22,7,23,3,0,0,-2,0,1,0.1,1,2,0.2,.512,.501,0.4,-0.2,4,,Traded,/8H,clasejo01
Ernie Clement,28,139,452,1,-2,0,15,5,18,1.9,15,33,3.4,.514,.512,1.8,2.1,18,$757700,Free Agency,56H/4D71,clemeer01
Luis De Los Santos,26,13,31,-3,0,0,1,0,-2,-0.2,1,-1,-0.1,.487,.499,-0.2,0.1,-2,,Free Agency,5/H37,deloslu03
Chad Green*,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$10500000,Free Agency,1,greench03
Vladimir Guerrero Jr.,25,159,697,50,-3,0,-1,-8,38,4.0,23,61,6.2,.525,.524,6.3,-1.0,62,$19900000,Amateur Free Agent,*3D5/H,guerrvl02
Tyler Heineman#,33,5,13,-1,0,0,1,0,0,0.0,0,1,0.1,.508,.500,0.0,0.1,0,,Waivers,/21,heinety01
Spencer Horwitz*,26,97,381,11,-3,0,-6,-2,-1,0.0,13,13,1.2,.500,.500,1.9,-0.9,19,$741900,Amateur Draft,34DH,horwisp01
Danny Jansen,29,62,228,-2,-1,0,-2,4,-2,-0.2,8,6,0.6,.498,.499,0.8,0.2,8,$5200000,Amateur Draft,2/HD,janseda01
Leo Jimenez,23,63,210,0,-2,-1,2,3,2,0.2,7,9,0.9,.504,.501,0.7,0.5,7,,Free Agency,64/HD,jimenle01
Kevin Kiermaier*,34,82,217,-12,1,1,9,2,1,0.1,7,9,0.9,.502,.501,-0.1,1.1,0,$10500000,Free Agency,8/HD9,kiermke01
Isiah Kiner-Falefa,29,83,281,6,1,-1,12,3,21,2.3,10,31,3.2,.527,.514,1.9,1.6,19,$7500000,Free Agency,456/H18,kineris01
Alejandro Kirk,25,103,386,-3,-3,0,6,6,7,0.7,13,20,2.0,.507,.504,1.4,1.3,14,$2800000,Amateur Free Agent,2/HD,kirkal01
Joey Loperfido*,25,43,144,-6,-1,1,4,-1,-3,-0.3,5,2,0.2,.493,.498,-0.2,0.3,-2,,Traded,78/H3D,loperjo01
Nathan Lukes*,29,22,91,3,0,1,5,-1,9,0.9,3,12,1.2,.541,.506,0.7,0.5,7,$740000,Free Agency,7/98HD,lukesna01
Orelvis Martinez,22,1,3,0,0,0,0,0,0,0.0,0,0,0.0,.489,.500,0.0,0.0,0,,Free Agency,/4,martior01
Davis Schneider,25,135,454,-13,1,0,-2,-2,-15,-1.5,16,1,0.0,.489,.490,0.2,-0.4,3,$744900,Amateur Draft,74H/D,schneda03
Brian Serven,29,28,71,-5,0,0,2,1,-1,-0.1,2,2,0.2,.498,.500,-0.1,0.4,0,$751000,Waivers,2/H,servebr01
George Springer,34,145,614,-2,2,-2,-1,-6,-10,-1.0,21,12,1.1,.493,.494,1.2,-0.7,12,$24166667,Free Agency,*9D/H8,springe01
Justin Turner,39,91,349,4,-1,-3,0,-7,-7,-0.8,12,5,0.4,.491,.495,0.4,-0.7,5,$13000000,Free Agency,D3/H5,turneju01
Daulton Varsho*,27,136,513,-3,4,2,28,0,30,3.3,18,48,5.0,.524,.520,1.9,3.0,20,$5650000,Traded,*87/HD9,varshda01
Daniel Vogelbach*,31,31,79,-3,-1,0,0,-2,-7,-0.7,3,-4,-0.4,.478,.496,-0.4,-0.2,-4,$2000000,Free Agency,DH,vogelda01
Will Wagner*,25,24,86,3,0,0,1,1,4,0.5,3,7,0.7,.519,.503,0.6,0.2,6,,Traded,4/H3D,wagnewi01
Team Total,28.1,1693,6060,5,-6,-4,77,0,72,7.9,206,278,27.7,.504,.504,19.4,8.2,201,$123498001,,,-9999
