Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Addison Barger,24,us US,L,R,5' 11",210,Nov 12 1999,1st,69,55,69,63,0,0,0,0,36,0,10,0,27,34,2,10,1,0.4,$740000,,bargead01
Chris Bassitt,35,us US,R,R,6' 5",217,Feb 22 1989,10,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$22000000,,bassich01
José Berríos,30,pr PR,R,R,6' 0",205,May 27 1994,9,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,2.2,$17714286,,berrijo01
Steward Berroa,25,do DO,B,R,5' 9",178,Jun 5 1999,1st,28,9,28,21,0,0,0,0,0,0,6,2,13,21,2,1,9,0.3,,,berrost01
Bo Bichette,26,us US,R,R,6' 0",190,Mar 5 1998,6,81,81,81,81,0,0,0,0,0,81,0,0,0,0,0,0,0,-0.3,$12083334,,bichebo01
Cavan Biggio,29,us US,L,R,6' 2",200,Apr 11 1995,6,44,34,44,38,0,0,5,25,4,0,0,0,10,10,4,3,6,0.5,$4210000,,biggica01
Ryan Burr,30,us US,R,R,6' 4",220,May 28 1994,5,34,4,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,burrry01
Génesis Cabrera,27,do DO,L,L,6' 2",180,Oct 10 1996,6,69,0,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$1512500,,cabrege01
Jonatan Clase,22,do DO,B,R,5' 10",150,May 23 2002,1st,7,6,7,6,0,0,0,0,0,0,0,6,0,6,0,0,1,0.2,,,clasejo01
Ernie Clement,28,us US,R,R,6' 0",170,Mar 22 1996,4,139,109,139,134,1,0,0,4,96,41,1,0,0,1,2,14,4,3.4,$757700,,clemeer01
José Cuas,30,do DO,R,R,6' 3",195,Jun 28 1994,3,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,cuasjo01
Brett de Geus,26,us US,R,R,6' 2",190,Nov 4 1997,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,degeubr01
Luis De Los Santos,26,do DO,R,R,6' 1",160,Jun 9 1998,1st,13,8,13,12,0,0,2,0,11,0,1,0,0,1,0,1,2,-0.1,,,deloslu03
Brandon Eisert,26,us US,L,L,6' 2",205,Jan 19 1998,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,eiserbr01
Paolo Espino,37,pa PA,R,R,5' 10",212,Jan 10 1987,6,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,espinpa01
Bowden Francis,28,us US,R,R,6' 5",220,Apr 22 1996,3,27,13,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,1.6,$748000,,francbo01
Luis Frías,26,do DO,R,R,6' 3",245,May 23 1998,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,,friaslu01
Yimi García,33,do DO,R,R,6' 1",230,Aug 18 1990,10,29,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$6000000,,garciyi01
Kevin Gausman,33,us US,L,R,6' 2",205,Jan 6 1991,12,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$22000000,,gausmke01
Chad Green,33,us US,L,R,6' 3",215,May 24 1991,9,53,0,1,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$10500000,,greench03
Vladimir Guerrero Jr.,25,ca CA,R,R,6' 2",245,Mar 16 1999,6,159,158,159,129,0,0,121,0,12,0,0,0,0,0,29,1,0,6.2,$19900000,All-Star,guerrvl02
Tyler Heineman,33,us US,B,R,5' 10",190,Jun 19 1991,5,6,4,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0.1,,,heinety01
Spencer Horwitz,26,us US,L,R,5' 10",190,Nov 14 1997,2,97,86,97,73,0,0,41,39,0,0,0,0,0,0,18,10,0,1.2,$741900,,horwisp01
Danny Jansen,29,us US,R,R,6' 2",215,Apr 15 1995,7,62,53,62,54,0,54,0,0,0,0,0,0,0,0,5,5,3,0.6,$5200000,,janseda01
