Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Adley Rutschman#,26,148,638,571,68,143,21,1,19,79,1,0,58,103,.250,.318,.391,.709,107,223,9,2,0,7,3,rutscad01
2,1B,Ryan Mountcastle,27,124,507,473,54,128,30,2,13,63,3,0,27,114,.271,.308,.425,.733,113,201,13,1,0,6,0,mountry01
3,2B,Jackson Holliday*,20,60,208,190,28,36,4,2,5,23,4,0,15,69,.189,.255,.311,.565,66,59,1,2,0,1,0,hollija01
4,SS,Gunnar Henderson*,23,159,719,630,118,177,31,7,37,92,21,4,78,159,.281,.364,.529,.893,159,333,2,7,0,4,1,hendegu01
5,3B,Ramón Urías,30,100,301,272,39,69,9,2,11,37,1,1,23,55,.254,.322,.423,.745,117,115,0,5,0,1,0,uriasra01
6,LF,Colton Cowser*,24,153,561,499,77,121,24,3,24,69,9,4,52,172,.242,.321,.447,.768,123,223,9,7,0,3,2,cowseco01
7,CF,Cedric Mullins*,29,147,499,444,69,104,16,3,18,54,32,6,41,98,.234,.305,.405,.710,107,180,1,5,2,2,0,mullice01
8,RF,Anthony Santander#,29,155,665,595,91,140,25,2,44,102,2,0,58,129,.235,.308,.506,.814,134,301,9,7,0,5,3,santaan02
9,DH,Ryan O'Hearn*,30,142,494,443,60,117,21,3,15,59,3,1,46,69,.264,.334,.427,.761,122,189,7,2,0,3,2,ohearry01
10,IF,Jordan Westburg,25,107,447,416,57,110,26,5,18,63,6,3,22,97,.264,.312,.481,.792,129,200,5,7,1,1,0,westbjo01
11,C,James McCann,34,65,233,214,27,50,9,0,8,31,1,0,13,56,.234,.279,.388,.667,94,83,3,2,0,4,0,mccanja02
12,2B,Jorge Mateo,29,68,208,192,30,44,14,2,5,18,13,2,10,48,.229,.267,.401,.668,93,77,3,1,2,3,0,mateojo01
13,LF,Austin Hays,28,63,175,157,18,40,13,0,3,14,0,1,9,40,.255,.316,.395,.711,108,62,1,6,1,2,1,haysau01
14,OF,Heston Kjerstad*,25,39,114,99,8,25,2,0,4,14,1,0,10,33,.253,.351,.394,.745,119,39,0,5,0,0,2,kjershe01
15,DH,Eloy Jiménez,27,33,100,95,7,22,5,0,1,7,0,0,4,23,.232,.270,.316,.586,72,30,2,1,0,0,0,jimenel02
16,OF,Austin Slater,31,33,79,69,10,17,3,0,1,6,1,1,8,23,.246,.342,.333,.675,100,23,2,2,0,0,0,slateau01
17,3B,Emmanuel Rivera,28,27,73,64,9,20,3,1,4,14,0,0,6,18,.313,.370,.578,.948,173,37,2,1,0,2,0,riverem01
18,CI,Coby Mayo,22,17,46,41,4,4,0,0,0,0,0,0,4,22,.098,.196,.098,.293,-10,4,1,1,0,0,0,mayoco01
19,OF,Kyle Stowers*,26,19,37,36,3,11,4,0,1,9,0,1,0,13,.306,.297,.500,.797,129,18,0,0,0,1,0,stoweky01
20,2B,Connor Norby,24,9,32,32,3,6,1,0,2,3,0,0,0,12,.188,.188,.406,.594,68,13,1,0,0,0,0,norbyco01
21,IF,Livan Soto*,24,12,13,10,1,3,1,0,0,0,0,0,3,2,.300,.462,.400,.862,157,4,0,0,0,0,0,sotoli01
22,UT,Tony Kemp*,32,5,10,9,1,0,0,0,0,0,0,0,1,1,.000,.100,.000,.100,-67,0,0,0,0,0,0,kempto01
