Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Keegan Akin,29,66,0,0,78.2,7,0,7,0,0,1,,,2,5,0,0.8,0.11,,,0,0,,,0,P,akinke01
Bryan Baker,29,19,0,0,23.1,4,1,3,0,1,1,,,0,0,0,1.54,0.21,,,4,0,0.00,0.22,0,P,bakerbr01
Mike Baumann,28,17,0,0,18.1,5,2,2,1,0,0.8,,,0,0,0,1.96,0.24,,,2,0,0.00,0.22,0,P,baumami01
Matt Bowman,33,15,1,0,15.2,4,3,1,0,0,1,,,0,0,0,2.3,0.27,,,3,0,0.00,0.22,0,P,bowmama01
Kyle Bradish,27,8,8,0,39.1,11,4,7,0,0,1,,,2,10,0,2.52,1.38,,,0,0,,,1,P,bradiky01
Corbin Burnes,29,32,32,0,194.1,36,15,17,4,0,0.889,,,-6,-6,0,1.48,1,,,41,6,0.13,0.22,2,P,burneco01
Yennier Cano,30,70,0,0,60,15,6,9,0,1,1,,,3,10,0,2.25,0.21,,,7,3,0.30,0.22,0,P,canoye01
Danny Coulombe,34,33,0,0,29.2,3,0,3,0,0,1,,,1,7,0,0.91,0.09,,,0,0,,,0,P,couloda01
Colton Cowser,24,146,133,98,1192.2,312,308,3,1,0,0.997,6,6,3,3,0,2.35,1.78,,,,,,,,LF-CF-RF-DH,cowseco01
Tucker Davidson,28,1,0,0,4.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,davidtu01
Seranthony Domínguez,29,25,0,0,22.2,6,3,3,0,0,1,,,1,9,0,2.38,0.24,,,2,0,0.00,0.22,0,P,dominse01
Zach Eflin,30,9,9,0,55.1,11,2,9,0,0,1,,,2,7,0,1.79,1.22,,,1,2,0.67,0.22,0,P,eflinza01
Austin Hays,28,55,38,31,360,83,80,2,1,0,0.988,-3,-10,-4,-13,-1,2.05,1.39,,,,,,,,LF-RF-DH,haysau01
Jonathan Heasley,27,4,0,0,5.1,2,1,1,0,0,1,,,0,0,0,3.38,0.5,,,0,1,1.00,0.22,1,P,heasljo01
Gunnar Henderson,23,157,157,149,1384,635,232,378,25,71,0.961,1,1,5,4,-2,3.97,3.84,,,,,,,,SS-DH,hendegu01
Jackson Holliday,20,59,53,49,474.2,211,80,128,3,30,0.986,-6,-15,-3,-8,-1,3.94,3.47,,,,,,,,2B-SS-DH,hollija01
Cole Irvin,30,25,16,0,107.1,15,5,10,0,1,1,,,1,2,0,1.26,0.6,,,2,2,0.50,0.22,0,P,irvinco01
Eloy Jiménez,27,26,24,,,,,,,,,,,,,,,,,,,,,,,DH,jimenel02
Daniel Johnson,28,1,0,0,1,1,1,0,0,0,1,1,624,0,0,0,9,1,,,,,,,,RF,johnsda07
Tony Kemp,32,5,2,1,20.1,8,3,5,0,0,1,0,-5,0,0,0,3.54,1.33,,,,,,,,2B-LF,kempto01
Craig Kimbrel,36,57,0,0,52.1,6,3,2,1,0,0.833,,,-2,-8,0,0.86,0.09,,,15,1,0.06,0.22,0,P,kimbrcr01
Heston Kjerstad,25,19,16,9,135,34,34,0,0,0,1,2,15,-1,-9,-1,2.27,1.06,,,,,,,,LF-RF-DH,kjershe01
Dean Kremer,28,24,24,0,129.2,32,11,19,2,0,0.938,,,4,6,0,2.08,1.25,,,6,3,0.33,0.22,0,P,kremede01
Matt Krook,29,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,krookma01
Jorge Mateo,29,64,57,47,505.2,228,87,137,4,25,0.982,2,5,0,0,0,3.99,3.2,,,,,,,,2B-SS-CF-DH,mateojo01
Nick Maton,27,3,2,0,16,2,0,2,0,1,1,0,-23,0,0,0,1.13,0.5,,,,,,,,3B-2B-DH,matonni01
Coby Mayo,22,15,12,4,88,24,15,8,1,2,0.958,-2,-29,-2,-27,0,2.35,1.44,,,,,,,,3B-1B,mayoco01
James McCann,34,66,63,59,560.2,564,528,28,8,2,0.986,-2,-4,-5,-11,-3,8.93,8.42,0,25,39,12,0.24,0.22,0,C-P,mccanja02
Chayce McDermott,25,1,1,0,4,1,1,0,0,0,1,,,0,0,0,2.25,1,,,0,0,,,0,P,mcderch01
