Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,LAA,W11-3,41,33,11,10,2,0,2,11,6,0,5,0,0,2,1,0,1,0,.303,.390,.545,.936,6,11,L,P.Sandoval(27)
2,2,Mar 30,,LAA,W13-4,41,38,13,14,5,1,2,13,2,0,6,0,0,1,0,0,0,0,.338,.390,.634,1.024,4,12,R,G.Canning(34)
3,3,Mar 31,,LAA,L1-4,36,30,1,3,0,0,0,1,5,0,9,1,0,0,1,0,0,0,.267,.347,.475,.823,8,13,L,R.Detmers(63)
4,4,Apr 1,,KCR,W6-4,35,34,6,9,1,0,2,6,1,0,7,0,0,0,0,0,0,0,.267,.333,.474,.807,4,11,R,M.Wacha(53)
5,5,Apr 2,,KCR,L1-4,31,30,1,3,2,0,0,1,1,0,6,0,0,0,0,0,0,0,.236,.299,.418,.717,3,9,R,A.Marsh(73)
6,6,Apr 3,,KCR,W4-3,35,29,4,6,2,0,0,4,4,1,9,0,1,1,0,0,0,0,.232,.298,.397,.695,5,11,L,C.Ragans(76)
7,7,Apr 5,@,PIT,W5-2,40,39,5,12,2,1,3,5,0,0,10,1,0,0,0,0,0,0,.245,.302,.438,.740,8,10,R,J.Jones(59)
8,8,Apr 6,@,PIT,L4-5,42,37,4,4,2,0,0,4,3,0,6,0,0,2,0,0,3,0,.226,.283,.400,.683,7,17,L,B.Falter(70)
9,9,Apr 7,@,PIT,L2-3,32,32,2,6,3,0,0,2,0,0,6,0,0,0,0,1,0,0,.222,.274,.387,.662,3,9,L,M.Gonzales(58)
10,10,Apr 9,@,BOS,W7-1,44,40,7,13,3,0,0,7,3,0,8,0,0,1,1,0,2,0,.234,.285,.389,.673,10,11,R,B.Bello(53)
11,11,Apr 10,@,BOS,W7-5,43,36,7,9,1,1,1,6,5,0,11,1,0,0,0,0,1,0,.235,.292,.392,.683,9,10,R,K.Crawford(65)
12,12,Apr 11,@,BOS,W9-4,44,38,9,9,2,0,4,9,6,0,8,0,0,0,1,2,1,0,.236,.297,.411,.708,6,10,R,G.Whitlock(57)
13,13,Apr 12,,MIL,L1-11,34,33,1,6,1,0,1,1,1,0,14,0,0,0,0,0,1,0,.232,.290,.403,.693,6,11,R,F.Peralta(69)
14,14,Apr 13,,MIL,L5-11,41,38,5,12,0,0,3,5,2,0,10,1,0,0,0,0,1,0,.238,.296,.415,.711,9,10,L,D.Hall(27)
15,15,Apr 14,,MIL,W6-4,36,33,6,11,1,0,3,5,2,0,7,1,0,0,0,2,1,0,.244,.302,.429,.731,6,12,R,C.Rea(52)
16,16,Apr 15,,MIN,W7-4,39,36,7,12,1,0,3,7,1,0,8,1,0,1,0,0,0,0,.250,.306,.441,.746,8,9,R,L.Varland(31)
17,17,Apr 16,,MIN,W11-3,42,39,11,15,2,0,3,11,2,0,6,1,0,0,0,0,1,0,.259,.313,.455,.769,7,11,R,C.Paddack(9)
18,18,Apr 17,,MIN,W4-2,33,33,4,8,0,0,3,4,0,0,12,0,0,0,0,0,1,0,.258,.310,.459,.769,4,10,R,P.López(71)
19,19,Apr 19,@,KCR,L4-9,39,34,4,8,1,0,1,4,3,0,8,2,0,0,0,0,0,0,.257,.311,.453,.764,8,11,R,A.Marsh(67)
20,20,Apr 20,@,KCR,W9-7,45,42,9,15,6,0,0,8,3,0,9,0,0,0,0,0,1,0,.263,.316,.456,.772,9,11,L,C.Ragans(13)
21,21,Apr 21,@,KCR,W5-0,40,37,5,11,2,2,2,5,3,0,4,0,0,0,0,0,1,1,.265,.318,.464,.782,8,10,R,S.Lugo(34)
22,22,Apr 22,@,LAA,W4-2,36,32,4,6,1,1,2,4,4,0,6,0,0,0,0,1,4,0,.261,.316,.464,.781,5,9,L,R.Detmers(50)
23,23,Apr 23,@,LAA,L4-7,38,34,4,8,1,0,1,4,3,0,11,0,0,1,0,0,0,0,.260,.315,.460,.775,7,10,R,G.Canning(47)
24,24,Apr 24,@,LAA,W6-5,44,34,6,9,3,0,1,5,7,0,9,3,0,0,0,2,1,0,.260,.321,.459,.780,11,9,L,T.Anderson(54)
25,25,Apr 26,,OAK,L2-3,37,36,2,6,1,0,1,2,1,0,7,0,0,0,0,0,0,0,.257,.316,.452,.767,6,11,R,R.Stripling(52)
26,26,Apr 27,,OAK,W7-0,34,33,7,9,1,0,3,7,1,0,9,0,0,0,0,0,2,0,.257,.315,.456,.771,3,9,L,J.Sears(36)
27,27,Apr 28,,OAK,L6-7,38,36,6,9,1,0,3,6,2,0,12,0,0,0,0,0,2,0,.257,.314,.459,.773,5,10,R,P.Blackburn(28)
28,28,Apr 29,,NYY,W2-0,32,28,2,4,0,0,1,1,3,0,6,1,0,0,1,0,0,1,.254,.312,.453,.765,6,9,R,C.Schmidt(61)
29,29,Apr 30,,NYY,W4-2,35,33,4,9,3,0,0,3,2,0,8,0,0,0,0,0,0,1,.254,.312,.450,.762,7,9,L,N.Cortés(43)
30,30,May 1,,NYY,L0-2,33,30,0,3,0,0,0,0,2,0,10,1,0,0,0,0,0,0,.250,.308,.440,.748,6,11,R,L.Gil(73)
31,31,May 2,,NYY,W7-2,35,31,7,8,1,1,3,7,0,0,9,3,0,1,0,1,0,0,.250,.309,.446,.754,4,10,L,C.Rodón(26)
32,32,May 3,@,CIN,W3-0,40,35,3,9,2,0,1,3,5,0,8,0,0,0,0,0,2,0,.250,.310,.444,.754,10,10,R,H.Greene(60)
33,33,May 4,@,CIN,W2-1,35,34,2,7,1,0,2,2,1,0,13,0,0,0,0,0,0,0,.249,.308,.443,.751,6,10,L,A.Abbott(53)
34,34,May 5,@,CIN,W11-1,41,35,11,11,4,0,3,11,5,0,10,1,0,0,0,0,0,2,.251,.311,.451,.762,3,9,L,N.Lodolo(47)
35,35,May 7,@,WSN,L0-3,31,31,0,3,0,0,0,0,0,0,12,0,0,0,1,0,1,0,.247,.306,.441,.747,4,11,R,T.Williams(71)
36,36,May 8,@,WSN,W7-6,45,40,7,10,2,0,3,6,2,0,11,1,1,1,0,2,0,1,.247,.306,.444,.750,5,14,L,M.Parker(53)
37,37,May 10,,ARI,W4-2,35,31,4,7,2,0,0,4,4,1,5,0,0,0,0,0,0,0,.246,.306,.440,.746,7,10,R,B.Pfaadt(48)
38,38,May 11,,ARI,W5-4,43,40,5,13,3,1,2,5,3,2,6,0,0,0,0,3,1,0,.249,.308,.445,.753,10,12,R,R.Nelson(35)
39,39,May 12,,ARI,L2-9,34,30,2,4,2,0,1,2,4,0,5,0,0,0,1,1,0,0,.246,.306,.442,.748,5,9,R,Z.Gallen(58)
40,40,May 13,,TOR,L2-3,35,33,2,3,0,0,2,2,2,0,8,0,0,0,0,0,0,0,.243,.302,.438,.740,4,9,R,J.Berríos(66)
41,41,May 15,,TOR,W3-2,38,34,3,11,3,0,2,3,3,2,12,0,1,0,0,0,0,0,.245,.304,.442,.746,11,13,L,Y.Kikuchi(55)
42,42,May 17,,SEA,W9-2,37,34,9,10,3,2,1,7,2,0,2,0,0,1,0,0,0,0,.246,.305,.445,.750,4,10,R,B.Miller(38)
43,43,May 18,,SEA,L3-4,38,31,3,6,1,1,1,3,6,0,6,0,0,1,0,1,1,0,.245,.305,.444,.749,8,10,R,L.Castillo(54)
44,44,May 19,,SEA,W6-3,36,36,6,12,2,0,2,6,0,0,5,0,0,0,0,1,3,0,.247,.306,.446,.752,6,9,R,G.Kirby(37)
45,45,May 20,@,STL,L3-6,35,31,3,3,0,0,1,3,4,0,7,0,0,0,1,1,1,0,.244,.303,.441,.745,5,10,R,S.Gray(59)
46,46,May 21,@,STL,L1-3,32,30,1,3,2,0,0,1,1,0,8,1,0,0,1,1,0,0,.241,.301,.436,.737,4,9,R,L.Lynn(71)
47,47,May 22,@,STL,L4-5,37,34,4,8,0,0,0,4,2,0,5,0,0,1,0,0,0,0,.241,.300,.432,.732,6,11,R,K.Gibson(49)
48,48,May 23,@,CHW,W8-6,44,38,8,13,2,0,2,8,6,0,9,0,0,0,0,1,4,1,.243,.303,.435,.738,9,11,R,M.Clevinger(32)
49,49,May 24,@,CHW,W6-4,38,35,6,8,4,0,1,6,3,0,5,0,0,0,1,0,0,1,.243,.303,.435,.738,5,12,R,C.Flexen(38)
50,50,May 25,@,CHW,W5-3,40,35,5,8,0,0,3,5,5,0,9,0,0,0,0,0,0,0,.243,.303,.436,.739,8,12,R,E.Fedde(70)
51,51,May 26,@,CHW,W4-1,36,32,4,6,2,0,2,4,3,0,16,0,0,1,0,0,2,0,.242,.302,.436,.738,5,10,L,G.Crochet(68)
52,52,May 27,,BOS,W11-3,40,36,11,14,6,1,0,11,2,0,4,0,0,2,0,0,0,0,.245,.304,.439,.744,5,10,R,C.Criswell(21)
