Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,LAA,W11-3,9.0,2,3,2,1,3,14,1,0,2.00,31,138,83,0,0,0,0,28,1,0,0,0,0,0,1,4,Adrian Johnson,C.Burnes (99-77-W) M.Baumann (99) D.Tate (99) K.Akin (99)
2,2,Mar 30,,LAA,W13-4,9.0,9,4,4,0,1,13,1,0,3.00,37,154,102,1,1,0,0,36,0,1,0,0,0,1,1,5,Scott Barry,G.Rodriguez (99-68-W) D.Coulombe (99) J.Webb (99) C.Pérez (99) M.Baumann (1)
3,3,Mar 31,,LAA,L1-4,9.0,6,4,3,1,1,8,1,1,3.00,33,118,81,0,0,0,1,31,0,0,0,0,0,0,1,4,Ramon De Jesus,T.Wells (99-55-L) D.Tate (2) J.Webb (0) Y.Cano (99)
4,4,Apr 1,,KCR,W6-4,9.0,7,4,4,0,2,9,2,0,3.25,38,142,92,1,0,4,0,35,2,0,1,0,1,1,0,4,Brennan Miller,D.Kremer (99-54) K.Akin (3) Y.Cano (0) C.Kimbrel (99-BW)
5,5,Apr 2,,KCR,L1-4,9.0,8,4,4,0,3,9,0,1,3.40,38,146,95,0,0,0,1,34,1,1,0,0,0,0,0,4,Brian O'Nora,C.Irvin (99-38-L) D.Tate (1) J.Webb (1) J.Heasley (99)
6,6,Apr 3,,KCR,W4-3,9.0,10,3,3,0,1,7,1,0,3.33,38,143,97,1,0,3,0,37,2,0,0,0,0,0,0,4,Paul Clemons,C.Burnes (5-46) M.Baumann (3) D.Coulombe (3) Y.Cano (1-W)
7,7,Apr 5,@,PIT,W5-2,9.0,6,2,2,0,2,12,2,0,3.14,35,129,85,0,0,0,0,33,0,0,0,0,0,0,0,4,Brock Ballou,G.Rodriguez (5-58-W) D.Coulombe (1-H) Y.Cano (1-H) C.Kimbrel (3-Sv)
8,8,Apr 6,@,PIT,L4-5,10.1,11,5,3,2,4,9,1,0,3.07,46,181,117,6,0,2,0,42,2,0,0,0,0,0,0,8,Ben May,T.Wells (5-43) D.Tate (3) K.Akin (4) J.Webb (3) C.Kimbrel (0) M.Baumann (2-BSv) D.Coulombe (0) J.Heasley (3-L)
9,9,Apr 7,@,PIT,L2-3,8.2,7,3,1,2,1,6,0,0,2.85,34,120,87,0,0,0,0,32,1,0,0,0,1,0,0,3,Dan Iassogna,D.Kremer (5-71) K.Akin (0-H) Y.Cano (1-BL)
10,10,Apr 9,@,BOS,W7-1,9.0,2,1,1,0,2,10,1,0,2.67,31,117,78,0,0,0,0,29,0,0,0,0,0,0,0,3,Mark Wegner,C.Burnes (5-73-W) D.Coulombe (2) J.Webb (2)
11,11,Apr 10,@,BOS,W7-5,9.0,8,5,5,0,4,13,1,0,2.88,37,142,91,0,0,0,0,33,0,0,0,0,0,0,2,4,Bruce Dreckman,C.Irvin (7-34) M.Baumann (3-W) K.Akin (2-H) C.Kimbrel (3-Sv)
12,12,Apr 11,@,BOS,W9-4,10.0,8,4,3,1,2,7,1,0,2.86,40,153,103,1,0,1,0,38,4,0,0,0,0,0,0,6,Jeremie Rehak,G.Rodriguez (5-52) J.Webb (1) D.Coulombe (1-BSv) Y.Cano (3) C.Kimbrel (0-W) M.Baumann (0)
13,13,Apr 12,,MIL,L1-11,9.0,15,11,11,0,4,6,3,0,3.48,46,187,114,0,0,0,0,42,2,1,0,0,0,1,1,4,Adam Hamari,T.Wells (5-36-L) J.Heasley (5) D.Tate (5) J.Webb (0)
14,14,Apr 13,,MIL,L5-11,9.0,15,11,9,2,2,6,2,1,3.87,46,171,106,3,2,0,0,43,3,0,0,0,0,1,0,4,Vic Carapazza,D.Kremer (5-16-L) K.Akin (2) Y.Ramírez (6) M.Baumann (1)
15,15,Apr 14,,MIL,W6-4,9.0,12,4,3,1,2,10,2,0,3.81,39,158,99,1,0,2,2,37,1,0,0,0,0,0,0,5,Alex MacKay,C.Burnes (4-48) J.Webb (1) Y.Cano (2-W) D.Coulombe (2-H) C.Kimbrel (2-Sv)
16,16,Apr 15,,MIN,W7-4,9.0,11,4,4,0,0,9,1,0,3.82,36,152,109,3,2,0,0,36,4,0,0,0,0,0,2,5,Brian Walsh,C.Irvin (4-48) D.Tate (2-W) K.Akin (1) Y.Cano (0) C.Kimbrel (0-Sv)
17,17,Apr 16,,MIN,W11-3,9.0,7,3,3,0,4,10,0,0,3.77,36,140,91,1,0,0,0,32,1,1,0,0,0,0,2,3,Scott Barry,G.Rodriguez (4-59-W) Y.Ramírez (2) M.Baumann (2)
18,18,Apr 17,,MIN,W4-2,9.0,5,2,2,0,2,9,0,1,3.68,35,135,86,3,1,0,0,32,2,0,0,0,0,0,0,6,David Rackley,A.Suárez (99-67) D.Coulombe (2-H) J.Webb (2-BSv) K.Akin (1) Y.Cano (1) C.Kimbrel (1-W)
19,19,Apr 19,@,KCR,L4-9,8.0,9,9,9,0,4,5,2,0,3.98,37,140,83,2,2,1,0,33,2,0,0,0,0,0,0,4,Bruce Dreckman,D.Kremer (5-53-L) K.Akin (1) D.Tate (3) M.Baumann (2)
20,20,Apr 20,@,KCR,W9-7,9.0,8,7,7,0,4,6,1,1,4.13,40,156,96,3,2,0,0,35,2,0,0,0,0,1,0,7,Ryan Blakney,C.Burnes (5-52-W) D.Coulombe (2) Y.Ramírez (3) Y.Cano (2-H) K.Akin (0-H) M.Baumann (0-H) C.Kimbrel (2-Sv)
21,21,Apr 21,@,KCR,W5-0,9.0,5,0,0,0,4,5,0,0,3.93,36,145,89,1,0,0,0,32,1,0,0,0,0,0,0,4,Sean Barber,C.Irvin (5-66-W) J.Webb (3) D.Coulombe (0) D.Tate (1)
22,22,Apr 22,@,LAA,W4-2,9.0,8,2,2,0,4,8,1,1,3.84,38,156,93,3,1,0,0,32,1,0,0,1,0,0,1,5,Nic Lentz,A.Suárez (4-64-W) M.Baumann (1-H) Y.Cano (1-H) J.Webb (0-H) C.Kimbrel (1-Sv)
23,23,Apr 23,@,LAA,L4-7,8.0,11,7,7,0,2,12,1,1,4.00,35,132,84,2,0,0,1,32,5,0,0,0,0,0,0,4,Emil Jimenez,G.Rodriguez (6-19-L) D.Tate (1) K.Akin (2) Y.Ramírez (2)
24,24,Apr 24,@,LAA,W6-5,9.0,6,5,4,1,2,16,3,0,4.00,34,155,101,1,1,1,1,32,0,0,0,0,0,0,0,5,Lance Barksdale,D.Kremer (4-63-W) J.Webb (1) Y.Cano (1-H) D.Coulombe (2-H) C.Kimbrel (1-Sv)
25,25,Apr 26,,OAK,L2-3,10.0,7,3,2,1,6,11,1,0,3.90,41,170,103,4,0,1,0,35,4,0,0,0,0,0,0,6,John Libka,C.Burnes (5-65) D.Coulombe (1-H) Y.Cano (1-H) C.Kimbrel (1-BSv) K.Akin (2) J.Webb (1-L)
26,26,Apr 27,,OAK,W7-0,9.0,5,0,0,0,1,6,0,2,3.75,32,112,76,0,0,0,0,29,0,0,0,0,0,0,3,3,James Hoye,C.Irvin (5-74-W) M.Baumann (4) D.Tate (3)
27,27,Apr 28,,OAK,L6-7,9.0,10,7,7,0,2,11,3,0,3.87,39,178,112,0,0,0,0,37,1,0,0,0,0,0,0,7,Rob Drake,A.Suárez (5-37) K.Akin (1) D.Coulombe (1-H) J.Webb (1-H) Y.Cano (1-H) C.Kimbrel (1-BL) D.Tate (0)
28,28,Apr 29,,NYY,W2-0,9.0,7,0,0,0,3,3,0,0,3.74,37,141,83,4,0,0,0,34,1,0,0,0,0,0,0,4,Ben May,G.Rodriguez (5-59-W) C.Pérez (29-H) Y.Cano (0-H) D.Coulombe (0-Sv)
29,29,Apr 30,,NYY,W4-2,9.0,5,2,2,0,4,8,2,0,3.68,33,118,74,1,0,0,0,29,0,0,0,0,0,0,3,3,CB Bucknor,D.Kremer (5-61-W) K.Akin (1-H) J.Webb (1-Sv)
30,30,May 1,,NYY,L0-2,9.0,4,2,2,0,1,8,1,0,3.62,31,129,85,0,0,3,1,30,0,0,0,0,0,0,0,3,Adam Beck,C.Burnes (4-61-L) M.Baumann (3) Y.Ramírez (7)
31,31,May 2,,NYY,W7-2,9.0,6,2,2,0,3,11,1,1,3.57,36,149,94,3,0,0,0,31,1,1,0,0,0,0,2,5,Dan Iassogna,K.Bradish (99-55) K.Akin (1-W) D.Coulombe (2) J.Webb (1) C.Pérez (2)
32,32,May 3,@,CIN,W3-0,9.0,2,0,0,0,0,8,0,0,3.46,29,106,73,1,0,1,0,29,1,0,0,0,0,0,0,4,Mike Muchlinski,C.Irvin (5-73-W) Y.Cano (3-H) D.Coulombe (0-H) C.Kimbrel (4-Sv)
33,33,May 4,@,CIN,W2-1,9.0,6,1,1,0,2,10,0,0,3.38,33,126,81,2,0,1,0,31,1,0,0,0,0,0,1,4,Jansen Visconti,J.Means (99-79-W) C.Pérez (1-H) C.Kimbrel (0-H) Y.Cano (0-Sv)
34,34,May 5,@,CIN,W11-1,9.0,3,1,1,0,3,8,0,0,3.31,33,137,80,0,0,0,0,30,0,0,0,0,0,0,0,3,Paul Clemons,D.Kremer (4-75-W) A.Suárez (6) M.Baumann (3)
35,35,May 7,@,WSN,L0-3,8.0,6,3,3,0,6,8,0,0,3.31,36,130,80,2,0,4,0,30,2,0,0,0,0,0,0,3,Alex Tosi,C.Burnes (5-54-L) J.Webb (4) K.Akin (4)
36,36,May 8,@,WSN,W7-6,12.0,9,6,4,2,7,11,1,1,3.30,51,189,118,3,1,1,0,42,2,0,0,0,1,0,1,8,Dan Bellino,K.Bradish (5-62) D.Coulombe (4-H) Y.Cano (3-H) C.Pérez (3-H) C.Kimbrel (3-H) K.Akin (0-BSv) A.Suárez (2-W) J.Webb (0-Sv)
