Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Corbin Burnes,29,15,9,.625,2.92,32,32,0,0,0,0,194.1,165,76,63,22,48,0,181,2,3,7,784,128,3.55,1.096,7.6,1.0,2.2,8.4,3.77,burneco01
2,SP,Albert Suárez,34,9,7,.563,3.70,32,24,1,0,0,0,133.2,130,56,55,17,43,1,108,3,1,2,565,101,4.24,1.294,8.8,1.1,2.9,7.3,2.51,suareal01
3,SP,Dean Kremer,28,8,10,.444,4.10,24,24,0,0,0,0,129.2,110,72,59,18,51,0,123,3,1,1,553,92,4.32,1.242,7.6,1.2,3.5,8.5,2.41,kremede01
4,SP,Grayson Rodriguez,24,13,4,.765,3.86,20,20,0,0,0,0,116.2,109,52,50,15,36,0,130,5,0,6,491,97,3.66,1.243,8.4,1.2,2.8,10.0,3.61,rodrigr01
5,SP,Cole Irvin*,30,6,5,.545,4.86,25,16,3,0,0,1,107.1,126,66,58,17,25,1,76,5,0,1,470,77,4.65,1.407,10.6,1.4,2.1,6.4,3.04,irvinco01
6,SP,Cade Povich*,24,3,9,.250,5.20,16,16,0,0,0,0,79.2,80,49,46,12,34,1,69,3,0,1,352,72,4.79,1.431,9.0,1.4,3.8,7.8,2.03,povicca01
7,CL,Craig Kimbrel,36,7,5,.583,5.33,57,0,39,0,0,23,52.1,40,35,31,7,31,1,73,5,1,3,232,71,4.18,1.357,6.9,1.2,5.3,12.6,2.35,kimbrcr01
8,RP,Keegan Akin*,29,3,1,.750,3.32,66,0,21,0,0,1,78.2,55,31,29,9,19,1,97,2,0,4,313,113,2.99,0.941,6.3,1.0,2.2,11.1,5.11,akinke01
9,RP,Yennier Cano,30,4,3,.571,3.15,70,0,12,0,0,5,60.0,54,24,21,6,24,1,65,1,1,0,249,120,3.55,1.300,8.1,0.9,3.6,9.8,2.71,canoye01
10,RP,Jacob Webb,30,2,5,.286,3.02,60,0,8,0,0,2,56.2,40,23,19,4,27,1,58,1,0,0,237,125,3.52,1.182,6.4,0.6,4.3,9.2,2.15,webbja01
11,RP,Cionel Pérez*,28,2,0,1.000,4.53,62,0,9,0,0,2,53.2,47,29,27,0,28,0,46,5,0,6,238,83,3.30,1.398,7.9,0.0,4.7,7.7,1.64,perezci01
12,,Zach Eflin,30,5,2,.714,2.60,9,9,0,0,0,0,55.1,51,16,16,8,11,0,47,0,0,1,224,145,3.94,1.120,8.3,1.3,1.8,7.6,4.27,eflinza01
