Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Keegan Akin*,29,78.2,66,0,31,3.55,4.48,-0.07,-0.30,0.07,93.9,4.06,4,0.4,1.07,-0.1,1.1,12,.507,.503,$825000,Amateur Draft,akinke01
Bryan Baker,29,23.1,19,0,14,5.40,4.66,-0.08,-0.31,0.00,91.5,4.05,-4,-0.4,.61,0.0,-0.1,-1,.480,.498,$740000,Waivers,bakerbr01
Mike Baumann,28,18.1,17,0,9,4.42,4.57,-0.09,-0.31,0.61,93.3,4.63,0,0.0,.70,0.0,0.2,2,.502,.500,,Amateur Draft,baumami01
Matt Bowman,33,15.2,15,1,6,3.45,4.66,-0.08,-0.31,0.00,92.9,4.12,1,0.1,.61,-0.1,0.2,3,.508,.501,,Free Agency,bowmama01
Kyle Bradish,27,39.1,8,8,12,2.75,4.19,-0.07,0.19,0.00,93.2,4.14,6,0.7,,0.0,1.0,10,.583,.504,$754500,Traded,bradiky01
Corbin Burnes,29,194.1,32,32,76,3.52,4.36,-0.08,0.20,0.00,92.7,4.29,16,1.7,,-0.1,3.4,35,.554,.511,$15637500,Traded,burneco01
Yennier Cano,30,60.0,70,0,24,3.60,4.37,-0.07,-0.29,0.18,93.4,4.05,3,0.3,1.69,0.0,0.8,8,.504,.502,$752300,Traded,canoye01
Danny Coulombe*,34,29.2,33,0,7,2.12,4.15,-0.07,-0.28,0.19,94.7,3.91,6,0.6,1.32,0.0,0.9,9,.519,.504,$2300000,Purchased,couloda01
Tucker Davidson*,28,4.2,1,0,0,0.00,4.30,-0.09,0.19,0.00,106.0,4.87,3,0.3,.38,0.0,0.4,3,.806,.502,,Waivers,davidtu01
Seranthony Domínguez,29,22.2,25,0,10,3.97,4.45,-0.08,-0.30,0.00,96.4,4.08,0,0.0,1.47,0.0,0.2,2,.501,.500,,Traded,dominse01
Zach Eflin,30,55.1,9,9,16,2.60,4.25,-0.08,0.19,0.00,96.8,4.38,11,1.2,,0.0,1.7,16,.637,.508,,Traded,eflinza01
Jonathan Heasley,27,5.1,4,0,11,18.56,4.23,-0.11,-0.28,1.05,91.4,4.68,-8,-0.7,.85,0.0,-0.6,-8,.319,.496,$740000,Traded,heasljo01
Cole Irvin*,30,107.1,25,16,66,5.53,4.43,-0.10,0.09,0.00,92.9,4.29,-15,-1.5,.54,0.0,-0.6,-5,.438,.490,$2000000,Traded,irvinco01
Craig Kimbrel,36,52.1,57,0,35,6.02,4.40,-0.07,-0.30,0.11,94.6,4.05,-12,-1.2,1.51,-0.4,-1.1,-7,.479,.492,$12000000,Free Agency,kimbrcr01
Dean Kremer,28,129.2,24,24,72,5.00,4.59,-0.08,0.21,0.00,94.8,4.63,-6,-0.6,,-0.1,0.5,7,.474,.496,$756600,Traded,kremede01
Matt Krook*,29,1.0,1,0,3,27.00,4.60,-0.08,-0.31,0.00,86.0,3.76,-3,-0.2,.02,0.1,-0.1,-2,.284,.499,$740000,Purchased,krookma01
James McCann,34,1.0,1,0,2,18.00,4.14,-0.14,-0.28,0.00,96.0,3.84,-2,-0.1,.00,0.1,-0.1,-1,.355,.499,$12150000,Traded,mccanja02
Chayce McDermott,25,4.0,1,1,3,6.75,3.43,-0.09,0.16,0.00,118.0,4.33,-1,-0.1,,0.0,-0.1,-1,.395,.499,,Traded,mcderch01
John Means*,31,20.2,4,4,6,2.61,4.67,-0.08,0.21,0.00,95.9,4.76,5,0.6,,0.0,0.7,7,.639,.503,$3325000,Amateur Draft,meansjo01
Vinny Nittoli,33,4.0,2,0,0,0.00,4.13,-0.08,-0.28,0.00,102.0,4.01,2,0.2,.19,-0.1,0.2,2,.600,.501,,Free Agency,nittovi01
Cionel Pérez*,28,53.2,62,0,29,4.86,4.49,-0.08,-0.30,0.11,93.3,4.08,-5,-0.5,1.26,-0.2,-0.2,0,.492,.497,$1200000,Waivers,perezci01
Cade Povich*,24,79.2,16,16,49,5.54,4.37,-0.09,0.20,0.00,91.9,4.28,-12,-1.1,,-0.1,-0.5,-4,.428,.493,$740000,Traded,povicca01
Yohan Ramírez,29,6.0,5,0,4,6.00,4.40,-0.06,-0.30,0.00,92.7,3.86,-1,-0.2,.30,0.0,-0.1,-1,.470,.499,,Purchased,ramiryo01
Grayson Rodriguez,24,116.2,20,20,52,4.01,4.38,-0.08,0.20,0.00,92.7,4.32,3,0.4,,-0.1,1.4,15,.519,.502,$748300,Amateur Draft,rodrigr01
Trevor Rogers*,26,19.0,4,4,16,7.58,4.78,-0.10,0.22,0.00,94.5,4.81,-6,-0.6,,0.0,-0.4,-4,.362,.497,,Traded,rogertr01
Colin Selby,26,4.0,3,0,0,0.00,5.15,-0.05,-0.35,0.00,94.3,4.57,2,0.2,1.10,0.0,0.3,2,.575,.501,,Purchased,selbyco01
Burch Smith,34,26.2,25,0,19,6.41,4.42,-0.08,-0.30,0.00,93.2,3.92,-8,-0.8,.64,0.1,-0.4,-5,.469,.495,,Free Agency,smithbu03
