Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Keegan Akin,29,us US,L,L,6' 0",240,Apr 1 1995,5,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,1.1,$825000,,akinke01
Bryan Baker,29,us US,R,R,6' 6",235,Dec 2 1994,4,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$740000,,bakerbr01
David Bañuelos,27,us US,R,R,5' 10",205,Oct 1 1996,1st,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,,banueda01
Mike Baumann,28,us US,R,R,6' 4",240,Sep 10 1995,4,17,0,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,baumami01
Matt Bowman,33,us US,R,R,6' 0",185,May 31 1991,6,15,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,bowmama01
Kyle Bradish,27,us US,R,R,6' 3",215,Sep 12 1996,3,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1.0,$754500,,bradiky01
Corbin Burnes,29,us US,R,R,6' 3",245,Oct 22 1994,7,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,3.4,$15637500,All-Star,burneco01
Yennier Cano,30,cu CU,R,R,6' 4",245,Mar 9 1994,3,70,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$752300,,canoye01
Danny Coulombe,34,us US,L,L,5' 10",190,Oct 26 1989,10,33,0,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$2300000,,couloda01
Colton Cowser,24,us US,L,R,6' 2",220,Mar 20 2000,2,153,133,153,146,0,0,0,0,0,0,109,45,20,146,1,12,1,3.1,$742800,,cowseco01
Tucker Davidson,28,us US,L,L,6' 2",215,Mar 25 1996,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,,davidtu01
Seranthony Domínguez,29,do DO,R,R,6' 1",225,Nov 25 1994,6,25,0,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,dominse01
Zach Eflin,30,us US,R,R,6' 6",220,Apr 8 1994,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1.7,,,eflinza01
Austin Hays,28,us US,R,R,5' 11",200,Jul 5 1995,7,63,38,63,55,0,0,0,0,0,0,53,0,3,55,3,15,2,0.2,$6300000,,haysau01
Jonathan Heasley,27,us US,R,R,6' 3",225,Jan 27 1997,4,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$740000,,heasljo01
Gunnar Henderson,23,us US,L,R,6' 3",220,Jun 29 2001,3,159,159,159,157,0,0,0,0,0,157,0,0,0,0,2,0,0,9.1,$756200,All-Star,hendegu01
Jackson Holliday,20,us US,L,R,6' 0",185,Dec 4 2003,1st,60,53,60,59,0,0,0,56,0,3,0,0,0,0,1,3,1,0.1,$740000,,hollija01
Cole Irvin,30,us US,L,L,6' 4",225,Jan 31 1994,6,25,16,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$2000000,,irvinco01
Eloy Jiménez,27,do DO,R,R,6' 4",250,Nov 27 1996,6,33,24,33,0,0,0,0,0,0,0,0,0,0,0,26,9,0,-0.2,,,jimenel02
Daniel Johnson,28,us US,L,L,5' 10",200,Jul 11 1995,3,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,,,johnsda07
Tony Kemp,32,us US,L,R,5' 6",160,Oct 31 1991,9,5,2,5,5,0,0,0,5,0,0,1,0,0,1,0,3,0,-0.2,$1000000,,kempto01
Craig Kimbrel,36,us US,R,R,6' 0",215,May 28 1988,15,57,0,1,57,57,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,$12000000,,kimbrcr01
Heston Kjerstad,25,us US,L,R,6' 3",205,Feb 12 1999,2,39,26,39,19,0,0,0,0,0,0,11,0,8,19,13,11,0,0.4,$740000,,kjershe01
Dean Kremer,28,us US,R,R,6' 2",210,Jan 7 1996,5,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$756600,,kremede01
Matt Krook,29,us US,L,L,6' 4",225,Oct 21 1994,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$740000,,krookma01
Jorge Mateo,29,do DO,R,R,6' 1",200,Jun 23 1995,5,68,57,68,64,0,0,0,56,0,6,0,4,0,4,4,2,4,0.9,$2700000,,mateojo01
Nick Maton,27,us US,L,R,6' 1",178,Feb 18 1997,4,5,2,5,3,0,0,0,1,2,0,0,0,0,0,1,1,1,-0.1,,,matonni01
Coby Mayo,22,us US,R,R,6' 5",230,Dec 10 2001,1st,17,12,17,15,0,0,4,0,12,0,0,0,0,0,0,5,0,-0.7,,,mayoco01
James McCann,34,us US,R,R,6' 3",235,Jun 13 1990,11,66,63,65,66,1,65,0,0,0,0,0,0,0,0,0,0,0,0.7,$12150000,,mccanja02
Chayce McDermott,25,us US,L,R,6' 3",197,Aug 22 1998,1st,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,mcderch01
Ryan McKenna,27,us US,R,R,5' 10",195,Feb 14 1997,4,9,3,9,8,0,0,0,0,0,0,2,2,4,8,0,1,3,0.1,,,mckenry01
John Means,31,us US,L,L,6' 4",230,Apr 24 1993,7,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$3325000,,meansjo01
Ryan Mountcastle,27,us US,R,R,6' 4",220,Feb 18 1997,5,124,113,124,114,0,0,114,0,0,0,0,0,0,0,6,11,0,2.6,$4137500,,mountry01
Cedric Mullins,29,us US,L,L,5' 9",175,Oct 1 1994,7,147,121,147,140,0,0,0,0,0,0,0,140,0,140,1,12,7,2.6,$6325000,,mullice01
Vinny Nittoli,33,us US,R,R,6' 1",210,Nov 11 1990,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,nittovi01
Connor Norby,24,us US,R,R,5' 10",180,Jun 8 2000,1st,9,9,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0.1,$740000,,norbyco01
Ryan O'Hearn,30,us US,L,L,6' 3",220,Jul 26 1993,7,142,119,142,78,0,0,55,0,0,0,8,0,19,27,54,21,0,1.9,$3500000,,ohearry01
Cristian Pache,25,do DO,R,R,6' 2",215,Nov 19 1998,5,3,0,3,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0.1,,,pachecr01
Cionel Pérez,28,cu CU,R,L,6' 0",175,Apr 21 1996,7,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$1200000,,perezci01
Cade Povich,24,us US,L,L,6' 3",185,Apr 12 2000,1st,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,$740000,,povicca01
Yohan Ramírez,29,do DO,R,R,6' 4",212,May 6 1995,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,ramiryo01
Emmanuel Rivera,28,pr PR,R,R,6' 2",225,Jun 29 1996,4,27,17,27,25,0,0,8,0,20,0,0,0,0,0,1,4,0,0.2,,,riverem01
