Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Ben Rortvedt*,26,112,328,290,27,66,13,0,3,31,1,0,34,88,.228,.317,.303,.621,80,88,6,4,0,0,0,rortvbe01
2,1B,Yandy Díaz,32,145,621,563,55,158,31,1,14,65,0,0,50,95,.281,.341,.414,.755,116,233,12,4,0,4,0,diazya01
3,2B,Brandon Lowe*,29,107,425,385,56,94,19,3,21,58,5,1,33,112,.244,.311,.473,.783,121,182,7,5,0,2,2,lowebr01
4,SS,José Caballero,27,139,483,441,53,100,24,1,9,44,44,16,27,133,.227,.283,.347,.630,80,153,6,9,3,3,1,cabaljo01
5,3B,Isaac Paredes,25,101,429,363,41,89,19,1,16,55,0,1,52,68,.245,.357,.435,.792,127,158,13,12,0,2,2,paredis01
6,LF,Randy Arozarena,29,100,409,350,45,74,19,0,15,37,16,7,45,101,.211,.318,.394,.712,104,138,3,11,0,3,0,arozara01
7,CF,Jose Siri,28,130,448,402,50,75,16,1,18,47,14,7,31,170,.187,.255,.366,.620,76,147,5,7,2,4,0,sirijo01
8,RF,Josh Lowe*,26,106,387,353,37,85,19,2,10,34,25,1,32,123,.241,.302,.391,.693,98,138,2,0,0,2,4,lowejo01
9,DH,Harold Ramírez,29,48,169,164,21,44,3,0,1,13,5,2,3,33,.268,.284,.305,.589,70,50,2,1,0,1,0,ramirha02
10,OF,Jonny DeLuca,25,107,362,332,29,72,12,4,6,31,16,6,24,77,.217,.278,.331,.609,75,110,1,4,2,0,1,delucjo01
11,UT,Richie Palacios*,27,92,316,264,46,59,8,1,5,21,19,1,45,67,.223,.346,.318,.664,94,84,5,5,0,1,2,palacri01
12,UT,Amed Rosario,28,76,275,264,22,81,17,3,2,26,9,4,7,48,.307,.331,.417,.748,114,110,9,3,0,1,0,rosaram01
13,SS,Taylor Walls#,27,84,252,218,27,40,5,3,1,14,16,4,31,67,.183,.282,.248,.529,55,54,3,0,0,3,0,wallsta01
14,2B,Christopher Morel,25,49,190,173,13,33,4,2,3,9,1,2,14,56,.191,.258,.289,.547,57,50,4,2,0,1,1,morelch01
15,3B,Junior Caminero,20,43,177,165,15,41,9,1,6,18,2,0,11,38,.248,.299,.424,.724,105,70,2,1,0,0,2,caminju01
16,C,Alex Jackson,28,58,155,139,17,17,7,0,3,12,1,0,12,53,.122,.201,.237,.439,26,33,2,2,1,1,0,jacksal02
17,1B,Jonathan Aranda*,26,44,143,128,22,30,7,0,6,14,0,0,12,32,.234,.308,.430,.737,109,55,2,2,0,1,0,arandjo01
18,IF,Curtis Mead,23,38,132,122,10,29,3,0,1,7,2,0,6,30,.238,.282,.287,.569,65,35,2,2,0,1,0,meadcu01
19,LF,Dylan Carlson#,25,37,127,114,7,25,2,0,3,14,2,0,10,38,.219,.299,.316,.615,78,36,0,3,0,0,0,carlsdy01
20,1B,Austin Shenton*,26,19,50,42,3,9,5,0,1,3,0,0,8,14,.214,.340,.405,.745,114,17,1,0,0,0,0,shentau01
21,C,René Pinto,27,19,49,42,5,9,3,0,2,6,0,0,4,18,.214,.292,.429,.720,104,18,0,1,1,1,0,pintore02
22,C,Logan Driscoll*,26,15,37,35,2,6,0,0,1,5,0,0,1,6,.171,.189,.257,.446,27,9,0,0,0,1,0,drisclo01
