Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Name-additional
Wander Franco,23,3,Amateur Free Agent,2.104,Manny Paula,11 yrs/$182M (22-32) & 33 team option,$2.45M,$8.45M,$15.45M,$22.45M,$25.45M,$25.45M,$25.45M,$25.45M,$25.45M,$2M [FA-*],francwa01
Jeffrey Springs,31,7,Traded,5.055,,4 yrs/$31M (23-26) & 27 team option,$5.25M,$10.5M,$10.5M,$750k [FA-*],FA,,,,,,sprinje01
Yandy Díaz,32,8,Traded,5.122,Octagon,3 yrs/$24M (23-25) & 26 team option,$8M,$10M,$0 [FA-*],FA,,,,,,,diazya01
Brandon Lowe,29,7,Amateur Draft,5.058,The Bledsoe Agenc...,6 yrs/$24M (19-24) & 25-26 team option,$8.75M,$1M [FA-*],$0 [FA-*],FA,,,,,,,lowebr01
Pete Fairbanks,30,6,Traded,4.057,Republik Sports,3 yrs/$12M (23-25) & 26 team option,$3.67M,$3.67M,$1M [FA-*],FA,,,,,,,fairbpe01
Shane McClanahan,27,3,Amateur Draft,2.158,Vayner Sports,2 yrs/$7.2M (24-25),$3.6M,$3.6M,Arb,Arb,FA,,,,,,mcclash01
Colin Poche,30,4,Traded,4.114,SSG Baseball,1 yr/$2.38M (24),$2.38M,Arb,FA,,,,,,,,pocheco01
Dylan Carlson,25,5,Traded,3.104,ALIGND Sports Age...,1 yr/$2.35M (24),$2.35M,Arb,Arb,FA,,,,,,,carlsdy01
Tyler Alexander,29,6,Waivers,4.058,SSG Baseball,1 yr/$1.95M (24),$1.95M,Arb,FA,,,,,,,,alexaty01
Drew Rasmussen,28,5,Traded,3.111,Beverly Hills Spo...,1 yr/$1.86M (24),$1.86M,Arb,Arb,FA,,,,,,,rasmudr01
Zack Littell,28,7,Waivers,4.043,CAA Sports,1 yr/$1.85M (24),$1.85M,Arb,FA,,,,,,,,litteza01
René Pinto,27,3,Free Agency,0.150,,1 yr/$745k (24),$745.1k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,pintore02
Curtis Mead,23,2,Traded,0.040,,1 yr/$742k (24),$742.3k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,meadcu01
Osleivis Basabe,23,1st,Traded,0.050,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,basabos01
Jacob Lopez,26,2,Traded,0.011,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,lopezja04
Christopher Morel,25,3,Traded,1.117,,1 yr/$767k (24),$767k,Pre-Arb,Arb,Arb,Arb,FA,,,,,morelch01
Jose Siri,28,4,Traded,2.015,,1 yr/$758k (24),$757.8k,Arb,Arb,Arb,FA,,,,,,sirijo01
Taylor Walls,27,4,Amateur Draft,2.092,ACES,1 yr/$757k (24),$757.3k,Arb,Arb,Arb,FA,,,,,,wallsta01
Josh Lowe,26,4,Amateur Draft,1.093,SportsMeter,1 yr/$756k (24),$755.7k,Pre-Arb,Arb,Arb,Arb,FA,,,,,lowejo01
Ben Rortvedt,26,3,Traded,2.043,Wasserman,1 yr/$755k (24),$755.4k,Arb,Arb,Arb,FA,,,,,,rortvbe01
José Caballero,27,2,Traded,0.170,,1 yr/$752k (24),$751.7k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,cabaljo01
Garrett Cleavinger,30,5,Traded,2.060,Beverly Hills Spo...,1 yr/$747k (24),$746.9k,Arb,Arb,Arb,FA,,,,,,cleavga01
Richie Palacios,27,3,Traded,0.156,,1 yr/$745k (24),$745.2k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,palacri01
Ryan Pepiot,26,3,Traded,1.005,,1 yr/$745k (24),$744.9k,Pre-Arb,Arb,Arb,Arb,FA,,,,,pepiory01
Shane Baz,25,3,Traded,2.014,Excel Sports Mana...,1 yr/$744k (24),$743.6k,Arb,Arb,Arb,FA,,,,,,bazsh01
Taj Bradley,23,2,Amateur Draft,0.114,,1 yr/$743k (24),$743.3k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,bradlta01
Jonathan Aranda,26,3,Free Agency,0.103,,1 yr/$743k (24),$742.8k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,arandjo01
