Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,TOR,L2-8,35,33,2,8,3,0,1,2,2,0,11,0,0,0,0,1,1,1,.242,.286,.424,.710,6,10,R,J.Berríos(57)
2,2,Mar 29,,TOR,W8-2,38,34,8,10,1,0,1,8,3,0,7,1,0,0,1,2,2,0,.269,.329,.418,.747,6,9,R,C.Bassitt(41)
3,3,Mar 30,,TOR,W5-1,38,32,5,11,1,0,1,5,4,0,6,0,0,2,0,0,2,0,.293,.351,.434,.786,9,9,L,Y.Kikuchi(40)
4,4,Mar 31,,TOR,L2-9,34,31,2,3,0,0,2,2,2,0,6,1,0,0,1,0,1,0,.246,.310,.400,.710,5,12,R,K.Gausman(61)
5,5,Apr 1,,TEX,L3-9,37,30,3,5,2,0,2,3,5,0,12,2,0,0,0,1,1,1,.231,.313,.406,.719,7,9,R,D.Dunning(58)
6,6,Apr 2,,TEX,W5-2,34,31,5,7,0,0,1,5,1,0,9,2,0,0,1,0,1,0,.230,.310,.393,.703,5,9,L,A.Heaney(55)
7,7,Apr 3,,TEX,L1-4,35,33,1,8,1,0,0,1,1,0,9,1,0,0,0,2,1,0,.232,.307,.375,.682,7,12,R,N.Eovaldi(76)
8,8,Apr 5,@,COL,L7-10,45,39,7,13,2,0,0,6,5,0,13,0,1,0,1,1,2,0,.247,.322,.376,.698,11,11,L,A.Gomber(50)
9,9,Apr 6,@,COL,W8-6,41,36,8,9,2,0,1,8,5,0,12,0,0,0,0,0,3,0,.247,.324,.378,.702,6,9,R,R.Feltner(72)
10,10,Apr 7,@,COL,W3-2,37,34,3,8,4,0,0,3,3,0,6,0,0,0,0,1,0,0,.246,.322,.375,.697,7,10,R,D.Hudson(49)
11,11,Apr 8,@,LAA,L1-7,33,32,1,8,1,0,0,0,1,0,3,0,0,0,0,2,0,1,.247,.318,.367,.685,5,9,L,T.Anderson(71)
12,12,Apr 9,@,LAA,W6-4,42,38,6,11,3,0,1,5,4,0,9,0,0,0,1,1,1,0,.251,.321,.375,.696,9,9,L,P.Sandoval(46)
13,13,Apr 10,@,LAA,W4-2,33,32,4,7,1,0,1,2,0,0,12,0,0,1,0,0,0,0,.248,.314,.372,.686,2,9,R,J.Soriano(40)
14,14,Apr 12,,SFG,W2-1,34,29,2,6,1,0,0,2,3,0,9,1,0,0,0,0,1,1,.246,.313,.364,.677,8,9,R,K.Winn(52)
15,15,Apr 13,,SFG,L2-11,36,32,2,8,1,0,0,1,2,0,7,1,0,1,0,2,0,0,.246,.313,.359,.672,7,12,R,L.Webb(64)
16,16,Apr 14,,SFG,W9-4,36,34,9,10,1,0,4,9,2,0,6,0,0,0,0,0,1,0,.249,.314,.379,.693,3,9,L,B.Snell(24)
17,17,Apr 15,,LAA,L3-7,35,33,3,6,0,0,1,3,2,0,6,0,0,0,0,0,0,0,.245,.309,.373,.682,5,10,L,P.Sandoval(56)
18,18,Apr 16,,LAA,W7-6,51,43,7,7,1,1,0,5,7,1,12,0,1,0,1,1,0,0,.239,.307,.363,.670,10,12,R,J.Soriano(62)
19,19,Apr 17,,LAA,L4-5,37,34,4,11,1,0,1,4,1,0,8,1,0,1,0,1,1,1,.244,.309,.367,.677,6,11,L,R.Detmers(51)
20,20,Apr 18,,LAA,W2-1,30,27,2,5,0,1,0,2,1,0,7,1,0,1,0,1,0,0,.241,.306,.363,.669,4,10,R,G.Canning(55)
21,21,Apr 19,@,NYY,L3-5,39,37,3,14,1,0,1,3,1,0,8,1,0,0,0,2,3,0,.249,.311,.369,.681,9,10,R,C.Schmidt(57)
22,22,Apr 20,@,NYY,W2-0,38,37,2,9,1,0,0,2,0,0,14,0,1,0,0,0,2,0,.248,.308,.364,.673,7,12,L,N.Cortés(74)
23,23,Apr 21,@,NYY,L4-5,39,33,4,5,2,0,0,3,5,0,12,0,0,0,1,0,2,0,.244,.306,.358,.664,8,10,R,L.Gil(69)
24,24,Apr 22,,DET,L1-7,34,32,1,6,1,0,1,1,1,0,12,1,0,0,0,0,0,1,.242,.304,.356,.660,6,9,L,T.Skubal(75)
25,25,Apr 23,,DET,L2-4,36,34,2,7,0,0,1,2,1,0,8,0,0,0,2,1,2,1,.240,.301,.354,.654,7,11,R,K.Maeda(66)
26,26,Apr 24,,DET,W7-5,34,34,7,11,2,0,2,7,0,0,11,0,0,0,0,1,1,0,.244,.302,.362,.663,3,9,R,J.Flaherty(43)
27,27,Apr 26,@,CHW,L4-9,43,35,4,9,2,0,0,4,7,0,7,1,0,0,0,0,0,0,.244,.306,.360,.665,12,12,R,C.Flexen(62)
28,28,Apr 27,@,CHW,L7-8,47,39,7,11,3,0,2,6,7,2,9,0,1,0,1,2,3,0,.246,.309,.366,.675,11,10,R,J.Cannon(38)
29,29,Apr 28,@,CHW,L2-4,34,34,2,7,2,0,1,2,0,0,9,0,0,0,0,0,0,0,.244,.306,.366,.672,5,11,R,E.Fedde(70)
30,30,Apr 29,@,MIL,W1-0,33,29,1,6,0,0,0,0,3,0,10,1,0,0,0,1,0,3,.243,.306,.361,.667,5,11,R,B.Wilson(64)
31,31,Apr 30,@,MIL,L2-8,33,31,2,5,0,0,1,2,0,0,13,2,0,0,0,0,0,1,.241,.303,.358,.661,4,10,R,F.Peralta(65)
32,32,May 1,@,MIL,L1-7,37,33,1,5,0,0,0,0,4,0,7,0,0,0,2,1,1,0,.238,.301,.352,.653,9,9,R,C.Rea(67)
33,33,May 3,,NYM,W10-8,41,34,10,13,2,0,1,10,6,0,7,0,0,1,0,1,1,1,.243,.307,.357,.664,7,10,L,J.Quintana(7)
34,34,May 4,,NYM,W3-1,34,30,3,7,1,0,0,3,4,0,9,0,0,0,0,1,2,0,.242,.307,.355,.662,7,12,R,C.Scott(65)
35,35,May 5,,NYM,W7-6,44,34,7,9,3,1,1,7,9,0,11,0,1,0,0,0,7,1,.243,.311,.359,.670,11,12,R,L.Severino(43)
36,36,May 6,,CHW,W8-2,41,36,8,13,3,1,1,7,5,0,3,0,0,0,0,0,3,0,.246,.315,.366,.681,9,9,R,M.Clevinger(26)
37,37,May 7,,CHW,W5-1,35,31,5,8,1,0,2,4,4,0,4,0,0,0,1,1,0,1,.247,.316,.369,.684,6,9,R,M.Soroka(47)
38,38,May 8,,CHW,L1-4,31,28,1,4,1,0,0,1,3,0,11,0,0,0,0,1,0,0,.244,.314,.364,.678,3,12,R,C.Flexen(69)
39,39,May 10,,NYY,L0-2,33,29,0,6,0,0,0,0,4,0,11,0,0,0,0,1,2,2,.244,.313,.361,.674,6,11,R,C.Schmidt(68)
40,40,May 11,,NYY,W7-2,36,30,7,8,4,0,2,7,5,0,8,0,0,1,0,0,0,0,.244,.315,.366,.681,5,11,L,N.Cortés(44)
41,41,May 12,,NYY,L6-10,41,34,6,8,2,0,2,6,5,0,8,2,0,0,0,0,1,0,.244,.316,.369,.685,8,9,R,L.Gil(67)
42,42,May 13,@,BOS,W5-3,38,35,5,10,4,1,0,5,2,0,9,0,0,1,0,0,2,1,.245,.316,.371,.687,6,11,R,K.Crawford(47)
43,43,May 14,@,BOS,L4-5,45,43,4,8,1,0,2,3,2,1,15,0,0,0,1,0,0,2,.243,.313,.370,.684,8,12,R,N.Pivetta(61)
