Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,TOR,L2-8,9.0,7,8,8,0,7,7,3,1,8.00,40,149,88,2,0,0,0,32,1,0,0,0,0,0,2,4,Todd Tichenor,Z.Eflin (99-37-L) S.Armstrong (99) G.Cleavinger (99) P.Maton (99)
2,2,Mar 29,,TOR,W8-2,9.0,6,2,2,0,1,7,1,0,5.00,34,136,86,0,0,0,0,32,1,0,0,0,1,1,1,3,Cory Blaser,A.Civale (99-65-W) C.Devenski (99) J.Adam (99)
3,3,Mar 30,,TOR,W5-1,9.0,6,1,1,0,3,10,0,0,3.67,34,142,94,2,0,0,0,31,0,0,0,0,0,0,2,5,Manny Gonzalez,Z.Littell (99-68-W) C.Poche (99-H) P.Maton (1-H) J.Adam (0-H) P.Fairbanks (99)
4,4,Mar 31,,TOR,L2-9,9.0,10,9,8,1,8,9,2,0,4.75,44,175,107,0,0,0,0,36,1,0,0,0,0,0,1,4,Derek Thomas,S.Armstrong (2-41-L) T.Alexander (99) J.Waguespack (99) G.Cleavinger (2)
5,5,Apr 1,,TEX,L3-9,9.0,8,9,9,0,7,4,2,2,5.60,43,163,95,2,2,2,0,34,1,0,1,0,0,0,0,3,Roberto Ortiz,R.Pepiot (99-36-L) C.Devenski (2) P.Maton (1)
6,6,Apr 2,,TEX,W5-2,9.0,7,2,2,0,2,8,0,0,5.00,36,123,83,2,0,0,0,34,2,0,0,0,0,0,0,4,Alfonso Márquez,Z.Eflin (4-63-W) C.Poche (2-H) J.Adam (2) P.Fairbanks (2)
7,7,Apr 3,,TEX,L1-4,9.0,10,4,4,0,2,10,1,0,4.86,38,134,91,0,0,0,0,36,1,0,0,0,0,0,1,3,Lance Barrett,A.Civale (4-66-L) S.Armstrong (2) G.Cleavinger (2)
8,8,Apr 5,@,COL,L7-10,8.1,12,10,10,0,4,9,3,0,5.55,41,156,102,3,3,1,0,36,3,0,0,0,1,0,0,5,Nick Mahrley,Z.Littell (5-58) C.Poche (2-BSv) J.Waguespack (4) P.Fairbanks (2-L) J.Adam (2-BSv)
9,9,Apr 6,@,COL,W8-6,9.0,11,6,6,0,3,8,3,0,5.60,40,171,110,4,0,1,0,37,2,0,0,0,0,0,1,5,Marvin Hudson,T.Alexander (5-33) C.Devenski (4) G.Cleavinger (2-W) J.Adam (0-H) C.Poche (0-Sv)
10,10,Apr 7,@,COL,W3-2,9.0,7,2,2,0,4,15,0,0,5.24,36,171,113,5,0,0,1,32,1,1,0,0,0,0,1,4,Hunter Wendelstedt,R.Pepiot (5-77-W) G.Cleavinger (0-H) P.Maton (5-H) S.Armstrong (3-Sv)
11,11,Apr 8,@,LAA,L1-7,8.0,14,7,7,0,3,7,1,0,5.46,40,144,92,0,0,2,0,37,2,1,0,0,0,0,0,2,Malachi Moore,Z.Eflin (5-34-L) J.Waguespack (2)
12,12,Apr 9,@,LAA,W6-4,9.0,7,4,3,1,4,7,1,0,5.25,38,146,90,0,0,1,0,34,1,0,0,0,0,1,1,5,Bill Miller,A.Civale (5-52-W) P.Maton (1-H) C.Poche (2-H) J.Adam (2-H) P.Fairbanks (3-Sv)
13,13,Apr 10,@,LAA,W4-2,9.0,9,2,2,0,3,12,1,0,4.99,38,165,108,2,0,1,0,35,2,0,0,0,0,0,0,5,Doug Eddings,Z.Littell (4-48) K.Kelly (99-W) P.Maton (0-H) J.Adam (0-H) P.Fairbanks (0-Sv)
14,14,Apr 12,,SFG,W2-1,9.0,6,1,0,1,6,10,0,0,4.63,37,154,94,0,0,3,0,31,1,0,0,0,0,0,2,6,Clint Vondrak,J.Waguespack (3-54) G.Cleavinger (4-W) P.Maton (1-H) C.Poche (2-H) J.Adam (1-H) P.Fairbanks (1-Sv)
15,15,Apr 13,,SFG,L2-11,9.0,13,11,11,0,6,9,5,0,5.06,45,172,105,0,0,0,0,39,4,0,0,0,0,0,0,3,Mark Wegner,R.Pepiot (5-46-L) C.Devenski (6) B.Rortvedt (99)
16,16,Apr 14,,SFG,W9-4,9.0,10,4,4,0,1,9,1,0,5.00,37,132,95,0,0,1,0,36,2,1,0,0,0,0,1,3,Bruce Dreckman,S.Armstrong (6-53) T.Alexander (7-W) K.Kelly (3)
17,17,Apr 15,,LAA,L3-7,9.0,13,7,7,0,3,6,2,0,5.11,41,143,96,2,0,0,1,38,3,0,0,0,0,0,1,4,Adam Beck,Z.Eflin (6-66) J.Adam (2-H) P.Maton (2-BL) K.Kelly (0)
18,18,Apr 16,,LAA,W7-6,13.0,6,6,3,3,2,13,2,1,4.87,48,198,126,0,0,5,1,43,0,0,0,1,1,1,0,8,Dan Iassogna,A.Civale (6-58) C.Devenski (2) S.Armstrong (1) C.Poche (3) P.Fairbanks (3) J.Adam (0) P.Maton (0) G.Cleavinger (3-W)
19,19,Apr 17,,LAA,L4-5,9.0,12,5,5,0,2,9,1,0,4.88,40,161,113,1,0,4,0,38,1,0,1,0,0,0,0,5,Brock Ballou,Z.Littell (6-48) C.Devenski (0) S.Armstrong (0) K.Kelly (1) P.Fairbanks (0-BL)
20,20,Apr 18,,LAA,W2-1,9.0,6,1,1,0,3,11,0,0,4.69,35,132,86,0,0,2,0,31,0,0,0,0,1,0,1,4,Ben May,R.Pepiot (4-66-W) G.Cleavinger (1-H) P.Maton (1-H) C.Poche (1-Sv)
21,21,Apr 19,@,NYY,L3-5,8.0,5,5,0,5,2,7,1,2,4.49,35,131,84,0,0,2,0,30,0,0,0,1,0,2,0,4,Rob Drake,T.Alexander (4-67) S.Armstrong (1-H) C.Devenski (1-BL) J.Lopez (99)
22,22,Apr 20,@,NYY,W2-0,10.0,4,0,0,0,1,9,0,0,4.27,34,132,80,0,0,0,0,33,1,0,0,0,0,0,1,5,Jonathan Parra,Z.Eflin (4-72) C.Poche (1) P.Maton (1) J.Adam (3-W) G.Cleavinger (1-Sv)
23,23,Apr 21,@,NYY,L4-5,8.0,9,5,5,0,5,9,0,0,4.32,38,145,92,2,0,0,0,33,0,0,0,0,0,0,0,3,John Libka,A.Civale (4-28-L) P.Maton (0) E.Ramírez (99)
24,24,Apr 22,,DET,L1-7,9.0,11,7,6,1,0,10,2,2,4.39,40,135,95,0,0,0,0,38,2,0,0,0,0,0,0,3,Alan Porter,Z.Littell (4-39-L) C.Devenski (2) K.Kelly (4)
25,25,Apr 23,,DET,L2-4,9.0,6,4,4,0,2,6,3,1,4.37,35,119,76,0,0,1,1,32,1,0,0,0,0,0,0,4,Bruce Dreckman,R.Pepiot (4-64) P.Maton (1-H) C.Poche (2-BL) K.Kelly (0)
26,26,Apr 24,,DET,W7-5,9.0,7,5,5,0,3,10,0,0,4.40,37,150,95,0,0,1,0,34,1,1,0,0,0,0,0,5,Ryan Blakney,S.Armstrong (4-48) T.Alexander (4) C.Devenski (1-BW) J.Adam (3-H) G.Cleavinger (3-Sv)
27,27,Apr 26,@,CHW,L4-9,8.0,12,9,6,3,3,7,2,0,4.48,40,133,91,0,0,0,0,35,2,0,0,0,2,2,1,2,Dan Bellino,Z.Eflin (5-38-L) E.Ramírez (4)
28,28,Apr 27,@,CHW,L7-8,9.1,10,8,7,1,2,10,2,0,4.56,42,140,101,3,2,1,0,40,2,0,0,0,0,1,0,6,Marvin Hudson,A.Civale (5-26) S.Armstrong (2) G.Cleavinger (2) K.Kelly (3) J.Adam (2) P.Maton (3-BL)
29,29,Apr 28,@,CHW,L2-4,8.0,12,4,4,0,0,7,0,0,4.56,34,132,92,2,0,0,0,33,1,0,0,1,0,0,2,3,Tony Randazzo,Z.Littell (5-54-L) M.Rodríguez (99) E.Ramírez (1)
30,30,Apr 29,@,MIL,W1-0,9.0,3,0,0,0,2,12,0,1,4.41,33,135,87,0,0,2,0,30,2,0,0,0,0,0,0,4,Ryan Additon,R.Pepiot (5-75-W) S.Armstrong (1-H) K.Kelly (1-H) J.Adam (1-Sv)
31,31,Apr 30,@,MIL,L2-8,8.0,10,8,8,0,5,4,1,1,4.54,40,168,100,0,0,5,1,32,2,0,0,0,2,1,0,3,Chris Guccione,T.Alexander (5-39-L) J.Lopez (10) M.Rodríguez (1)
32,32,May 1,@,MIL,L1-7,8.0,10,7,7,0,3,8,2,0,4.63,37,143,91,1,0,0,0,34,4,0,0,0,0,0,0,3,Alex MacKay,Z.Eflin (4-51-L) G.Cleavinger (3) E.Ramírez (2)
33,33,May 3,,NYM,W10-8,9.0,10,8,8,0,1,9,2,0,4.73,38,141,97,1,1,0,0,36,4,0,0,0,1,0,0,5,Bruce Dreckman,A.Civale (5-28) S.Armstrong (3-W) P.Maton (5-H) K.Kelly (3-H) J.Adam (3-Sv)
34,34,May 4,,NYM,W3-1,9.0,6,1,1,0,4,10,0,0,4.62,36,146,96,0,0,1,1,32,1,0,1,0,0,0,0,4,Tom Hanahan,Z.Littell (5-63) G.Cleavinger (2) J.Adam (0-W) P.Maton (0-Sv)
35,35,May 5,,NYM,W7-6,10.0,8,6,4,2,7,9,1,2,4.59,48,193,109,6,3,0,0,39,0,0,0,0,0,2,1,7,Clint Vondrak,R.Pepiot (5-40) M.Rodríguez (4) K.Kelly (1) G.Cleavinger (0) S.Armstrong (1) J.Lopez (4) E.Ramírez (3-W)
36,36,May 6,,CHW,W8-2,9.0,4,2,2,0,3,11,1,0,4.52,35,131,93,2,0,0,0,32,0,0,0,0,0,1,1,3,Chad Fairchild,T.Alexander (5-52) E.Ramírez (0-W) E.Uceta (99)
37,37,May 7,,CHW,W5-1,9.0,6,1,1,0,1,5,1,1,4.42,36,125,81,0,0,0,0,34,0,0,0,0,0,1,1,3,Ryan Wills,Z.Eflin (5-64-W) P.Maton (2) M.Rodríguez (1)
38,38,May 8,,CHW,L1-4,9.0,12,4,4,0,3,10,1,0,4.41,40,155,99,2,0,0,1,37,4,0,0,0,0,0,1,4,Carlos Torres,A.Civale (4-48-L) K.Kelly (2) E.Uceta (1) M.Rodríguez (0)
39,39,May 10,,NYY,L0-2,9.0,9,2,2,0,2,9,1,0,4.35,37,145,93,2,0,1,0,35,0,0,0,0,0,0,0,5,Junior Valentine,T.Bradley (99-65-L) K.Kelly (1) G.Cleavinger (4) J.Adam (5) S.Armstrong (4)
40,40,May 11,,NYY,W7-2,9.0,5,2,2,0,2,4,0,2,4.29,35,128,85,2,0,1,0,31,1,0,0,0,0,0,0,5,Ramon De Jesus,Z.Littell (6-54-W) G.Cleavinger (0-H) J.Adam (0-H) P.Maton (3) P.Fairbanks (23)
41,41,May 12,,NYY,L6-10,9.0,11,10,10,0,3,4,5,1,4.43,41,141,98,0,0,0,0,36,1,1,0,0,1,0,1,3,Adrian Johnson,T.Alexander (5-40-L) S.Armstrong (1) E.Ramírez (5)
42,42,May 13,@,BOS,W5-3,9.0,8,3,3,0,1,8,1,0,4.40,35,152,105,0,0,1,1,34,2,0,0,0,0,0,0,4,Tony Randazzo,Z.Eflin (5-45-W) K.Kelly (2-H) G.Cleavinger (1-H) J.Adam (1-Sv)
43,43,May 14,@,BOS,L4-5,11.0,7,5,3,2,2,14,1,2,4.34,42,162,114,0,0,0,0,37,1,0,1,1,0,0,1,7,Tom Hanahan,A.Civale (5-51) S.Armstrong (1) P.Maton (2) G.Cleavinger (0) P.Fairbanks (2) J.Adam (0) M.Rodríguez (5-BL)
44,44,May 15,@,BOS,W4-3,9.0,8,3,3,0,1,12,2,1,4.31,36,131,88,0,0,0,0,33,2,0,0,0,1,0,1,5,Phil Cuzzi,T.Bradley (4-56-W) P.Maton (0-H) S.Armstrong (0-H) P.Fairbanks (0-H) K.Kelly (1-Sv)
45,45,May 16,@,BOS,W7-5,9.0,9,5,5,0,3,7,2,1,4.33,41,158,103,2,0,0,0,37,3,0,0,0,0,0,0,6,Alex Tosi,Z.Littell (4-39) K.Kelly (0-BSv) G.Cleavinger (1) M.Rodríguez (1-W) J.Adam (1-H) E.Ramírez (3-Sv)
46,46,May 17,@,TOR,W4-3,9.0,4,3,3,0,0,5,1,0,4.30,31,117,85,1,1,0,0,31,0,0,0,0,0,0,1,3,Dan Merzel,T.Alexander (4-64-W) M.Rodríguez (0-H) P.Fairbanks (1-Sv)
47,47,May 18,@,TOR,W5-4,9.0,10,4,4,0,0,5,0,1,4.29,37,118,84,0,0,0,0,36,4,0,0,0,0,0,0,4,Mark Carlson,Z.Eflin (4-41) E.Ramírez (1-W) J.Adam (1-H) G.Cleavinger (1-Sv)
48,48,May 19,@,TOR,L2-5,8.0,7,5,4,1,4,8,1,1,4.29,34,134,78,2,2,0,0,28,3,0,0,1,0,1,3,3,Stu Scheurwater,A.Civale (4-37-L) M.Rodríguez (1) P.Maton (3)
49,49,May 20,,BOS,L0-5,9.0,7,5,5,0,0,10,2,0,4.31,34,119,80,0,0,1,0,34,1,1,0,0,0,0,0,3,Edwin Moscoso,T.Bradley (4-55-L) R.Lovelady (7) E.Ramírez (1)
50,50,May 21,,BOS,L2-5,9.0,7,5,5,0,3,10,2,0,4.32,36,127,88,1,0,4,0,33,0,0,1,0,0,0,0,5,Vic Carapazza,Z.Littell (4-61) G.Cleavinger (2) K.Kelly (4) J.Adam (2-L) E.Ramírez (0)
51,51,May 22,,BOS,L5-8,9.0,8,8,7,1,4,8,1,1,4.38,40,141,92,4,4,0,0,35,1,0,0,0,0,1,1,6,Adam Hamari,R.Pepiot (16-45) R.Lovelady (1-L) K.Kelly (0) P.Maton (2) S.Armstrong (6) P.Fairbanks (4)
52,52,May 24,,KCR,L1-8,9.0,12,8,8,0,4,8,2,2,4.45,43,155,104,0,0,3,1,37,2,0,0,0,0,0,0,4,Lance Barksdale,S.Armstrong (1-59) T.Alexander (6-L) P.Maton (1) R.Lovelady (1)
53,53,May 25,,KCR,L4-7,11.0,11,7,5,2,6,6,1,1,4.44,47,167,112,5,1,1,0,37,3,0,1,1,2,0,2,8,Nic Lentz,A.Civale (5-55) P.Maton (0) G.Cleavinger (3) J.Adam (3) P.Fairbanks (2) K.Kelly (2) R.Lovelady (0-L) C.Devenski (30)
54,54,May 26,,KCR,W4-1,9.0,7,1,1,0,4,8,1,1,4.37,38,149,99,0,0,0,0,33,1,0,0,0,0,0,0,5,Quinn Wolcott,T.Bradley (5-68) S.Armstrong (1) G.Cleavinger (0-W) K.Kelly (0-H) P.Fairbanks (0-Sv)
55,55,May 28,,OAK,L0-3,9.0,6,3,3,0,4,11,1,1,4.35,36,134,88,0,0,1,0,31,0,0,0,0,0,0,2,3,Brennan Miller,Z.Littell (6-61-L) C.Devenski (2) J.Adam (2)
56,56,May 29,,OAK,W4-3,9.0,6,3,2,1,1,10,0,0,4.31,34,148,101,2,1,0,0,32,2,1,0,0,1,1,0,5,Brian O'Nora,R.Pepiot (6-61) K.Kelly (2) G.Cleavinger (2) J.Adam (0-BSv) P.Fairbanks (2-W)
57,57,May 30,,OAK,W6-5,12.0,11,5,4,1,2,14,1,0,4.28,48,171,119,1,0,2,0,45,5,0,2,1,0,0,1,7,Chris Conroy,S.Armstrong (3-53) T.Alexander (5) K.Kelly (0) P.Maton (4) P.Fairbanks (0) G.Cleavinger (0) R.Lovelady (4-W)
