Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Zack Littell,28,8,10,.444,3.63,29,29,0,0,0,0,156.1,164,68,63,22,31,0,141,5,0,0,656,110,3.88,1.247,9.4,1.3,1.8,8.1,4.55,litteza01
2,SP,Taj Bradley,23,8,11,.421,4.11,25,25,0,0,0,0,138.0,122,68,63,22,47,0,154,3,0,4,578,97,4.09,1.225,8.0,1.4,3.1,10.0,3.28,bradlta01
3,SP,Ryan Pepiot,26,8,8,.500,3.60,26,26,0,0,0,0,130.0,102,58,52,17,48,0,142,7,0,4,539,111,3.95,1.154,7.1,1.2,3.3,9.8,2.96,pepiory01
4,SP,Zach Eflin,30,5,7,.417,4.09,19,19,0,0,0,0,110.0,115,55,50,14,13,0,87,3,0,1,460,98,3.68,1.164,9.4,1.1,1.1,7.1,6.69,eflinza01
5,SP,Aaron Civale,29,2,6,.250,5.07,17,17,0,0,0,0,87.0,93,51,49,16,27,0,84,4,0,1,378,79,4.70,1.379,9.6,1.7,2.8,8.7,3.11,civalaa01
6,SP,Shane Baz,25,4,3,.571,3.06,14,14,0,0,0,0,79.1,57,28,27,9,27,0,69,4,0,2,319,131,4.07,1.059,6.5,1.0,3.1,7.8,2.56,bazsh01
7,CL,Pete Fairbanks,30,3,3,.500,3.57,46,0,36,0,0,23,45.1,36,20,18,4,17,2,44,0,1,2,185,112,3.50,1.169,7.1,0.8,3.4,8.7,2.59,fairbpe01
8,RP,Kevin Kelly,26,5,2,.714,2.67,68,0,13,0,0,1,70.2,59,25,21,7,9,1,63,5,0,1,278,150,3.27,0.962,7.5,0.9,1.1,8.0,7.00,kellyke02
9,RP,Garrett Cleavinger*,30,7,5,.583,3.75,68,0,15,0,0,6,60.0,52,29,25,6,31,0,71,7,0,2,266,107,4.00,1.383,7.8,0.9,4.7,10.7,2.29,cleavga01
10,RP,Jason Adam,32,4,2,.667,2.49,47,0,9,0,0,4,47.0,26,17,13,4,16,3,50,3,0,0,180,161,3.36,0.894,5.0,0.8,3.1,9.6,3.13,adamja01
11,RP,Colin Poche*,30,1,2,.333,3.86,43,0,7,0,0,2,37.1,30,16,16,7,13,2,33,0,0,1,153,104,4.88,1.152,7.2,1.7,3.1,8.0,2.54,pocheco01
12,,Tyler Alexander*,29,6,5,.545,5.10,23,9,1,0,0,0,107.2,110,61,61,23,24,1,90,5,0,0,455,78,5.08,1.245,9.2,1.9,2.0,7.5,3.75,alexaty01
13,,Shawn Armstrong,33,2,2,.500,5.40,38,7,4,0,0,1,46.2,56,30,28,5,19,0,50,2,1,1,214,74,3.77,1.607,10.8,1.0,3.7,9.6,2.63,armstsh01
14,,Edwin Uceta,26,2,0,1.000,1.51,30,0,10,0,0,5,41.2,26,8,7,2,8,0,57,1,0,0,159,266,1.70,0.816,5.6,0.4,1.7,12.3,7.13,ucetaed01
15,,Manuel Rodríguez,27,3,4,.429,2.15,40,0,12,0,0,2,37.2,29,13,9,3,11,1,34,5,0,2,158,187,3.67,1.062,6.9,0.7,2.6,8.1,3.09,rodrima01
16,,Phil Maton,31,1,2,.333,4.58,40,0,10,0,0,2,35.1,29,19,18,6,18,1,30,5,0,1,152,88,5.63,1.330,7.4,1.5,4.6,7.6,1.67,matonph01
17,,Jeffrey Springs*,31,2,2,.500,3.27,7,7,0,0,0,0,33.0,34,12,12,5,11,0,37,1,0,0,142,123,3.99,1.364,9.3,1.4,3.0,10.1,3.36,sprinje01
18,,Richard Lovelady*,28,3,5,.375,3.77,28,0,8,0,0,2,28.2,25,13,12,2,9,1,20,2,0,1,119,107,3.83,1.186,7.8,0.6,2.8,6.3,2.22,lovelri01
19,,Drew Rasmussen,28,0,2,.000,2.83,16,4,5,0,0,1,28.2,25,10,9,0,6,0,35,0,0,1,116,143,1.35,1.081,7.8,0.0,1.9,11.0,5.83,rasmudr01
20,,Chris Devenski,33,2,1,.667,6.75,19,0,4,0,0,0,26.2,28,25,20,9,14,0,24,0,0,1,122,60,7.33,1.575,9.5,3.0,4.7,8.1,1.71,devench02
21,,Erasmo Ramírez,34,3,0,1.000,4.35,13,0,10,0,0,1,20.2,12,12,10,5,10,1,15,1,0,2,85,93,6.46,1.065,5.2,2.2,4.4,6.5,1.50,ramirer02
22,,Hunter Bigge,26,0,0,,2.57,15,1,9,0,0,1,14.0,14,4,4,2,3,0,19,0,0,2,58,159,2.95,1.214,9.0,1.3,1.9,12.2,6.33,biggehu01
23,,Cole Sulser,34,1,0,1.000,0.00,6,2,1,0,0,0,11.2,3,0,0,0,6,1,8,0,0,0,43,,3.34,0.771,2.3,0.0,4.6,6.2,1.33,sulseco01
24,,Jacob Lopez*,26,0,0,,5.23,4,1,1,0,0,0,10.1,5,7,6,2,7,0,8,2,0,0,46,79,6.75,1.161,4.4,1.7,6.1,7.0,1.14,lopezja04
25,,Jacob Waguespack,30,0,0,,5.40,4,1,1,0,0,0,10.0,13,7,6,1,10,0,11,0,0,1,51,77,5.27,2.300,11.7,0.9,9.0,9.9,1.10,wagueja01
26,,Mason Montgomery*,24,0,0,,1.86,9,0,1,0,0,0,9.2,6,2,2,0,5,0,17,0,0,0,37,222,1.20,1.138,5.6,0.0,4.7,15.8,3.40,montgma01
27,,Joel Kuhnel,29,0,0,,1.13,5,0,3,0,0,0,8.0,4,1,1,1,0,0,4,0,0,0,28,371,3.79,0.500,4.5,1.1,0.0,4.5,,kuhnejo01
28,,Justin Sterner,27,0,0,,2.25,2,0,1,0,0,0,4.0,5,2,1,0,1,1,4,0,0,0,19,194,1.92,1.500,11.3,0.0,2.3,9.0,4.00,sternju01
29,,Tyler Zuber,29,0,0,,2.70,2,0,0,0,0,0,3.1,3,1,1,1,2,0,4,0,0,0,15,164,6.47,1.500,8.1,2.7,5.4,10.8,2.00,zuberty01
