Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Jonathan Aranda*,26,44,143,2,0,1,1,-2,2,0.2,5,7,0.7,.505,.501,0.6,-0.1,6,$742800,Free Agency,3DH/45,arandjo01
Randy Arozarena,29,100,409,2,-2,2,-5,-3,-6,-0.6,14,8,0.7,.494,.496,1.3,-0.9,13,$8100000,Traded,7/8HD,arozara01
Rob Brantly*,34,3,9,-2,0,0,1,0,0,-0.1,0,0,0.0,.483,.500,-0.1,0.1,-1,,Free Agency,/2,brantro01
José Caballero,27,139,483,-9,0,1,2,7,0,0.0,17,16,1.6,.500,.500,1.4,0.9,14,$751700,Traded,654H/D,cabaljo01
Junior Caminero,20,43,177,0,0,1,-1,1,1,0.1,6,7,0.7,.503,.501,0.8,0.0,8,$740000,Traded,5/D3H,caminju01
Dylan Carlson#,25,37,127,-3,1,1,-3,-1,-7,-0.7,4,-2,-0.3,.482,.496,0.1,-0.4,1,,Traded,7/H9D,carlsdy01
Jonny DeLuca,25,107,362,-10,-1,1,5,-1,-6,-0.6,12,6,0.6,.494,.496,0.0,0.4,1,$742400,Traded,98H7/D,delucjo01
Yandy Díaz,32,145,621,13,-4,0,-5,-8,-4,-0.4,21,17,1.6,.497,.497,2.1,-1.4,22,$8000000,Traded,*3D/H,diazya01
Logan Driscoll*,26,15,37,-4,0,0,1,1,-2,-0.2,1,-1,-0.1,.487,.499,-0.2,0.2,-2,,Traded,2,drisclo01
Niko Goodrum#,32,9,18,-2,-1,0,-2,0,-4,-0.4,1,-4,-0.4,.452,.497,-0.2,-0.2,-1,,Traded,/7H346,goodrni01
Alex Jackson,28,58,155,-12,1,0,0,3,-9,-0.9,5,-4,-0.4,.484,.494,-0.4,0.3,-4,$740000,Traded,2/H,jacksal02
Brandon Lowe*,29,107,425,10,0,0,1,-2,9,1.0,15,23,2.4,.509,.506,2.2,-0.1,22,$8750000,Amateur Draft,4D3H,lowebr01
Josh Lowe*,26,106,387,-3,3,0,-2,-4,-6,-0.6,13,8,0.7,.494,.496,0.9,-0.6,10,$755700,Amateur Draft,97/HD8,lowejo01
Curtis Mead,23,38,132,-6,1,0,-4,1,-9,-0.9,5,-4,-0.5,.476,.494,-0.1,-0.3,0,$742300,Traded,45/DH3,meadcu01
Kameron Misner*,26,8,15,-3,0,0,0,0,-3,-0.4,1,-3,-0.3,.457,.498,-0.3,0.0,-3,,Traded,/7H8,misneka01
Christopher Morel,25,49,190,-10,-1,0,-2,-1,-14,-1.5,6,-7,-0.8,.470,.491,-0.6,-0.3,-5,,Traded,4D7/H,morelch01
Richie Palacios*,27,92,316,-1,3,1,5,-1,7,0.8,11,18,1.8,.508,.505,1.3,0.4,13,$745200,Traded,497H/D56,palacri01
Isaac Paredes,25,101,429,14,-2,-3,-1,0,9,0.9,15,23,2.4,.509,.506,2.5,-0.1,24,$3400000,Traded,53D/H,paredis01
René Pinto,27,19,49,0,-1,0,-3,1,-3,-0.3,2,-1,-0.1,.485,.498,0.2,-0.2,2,$745100,Free Agency,2,pintore02
Harold Ramírez,29,48,169,-6,0,1,3,-3,-5,-0.5,6,1,0.1,.490,.497,-0.2,-0.1,-2,$3800000,Traded,D/H97,ramirha02
Ben Rortvedt*,26,112,328,-6,0,0,-2,6,-2,-0.2,11,9,0.9,.498,.499,1.1,0.5,11,$755400,Traded,*2H/1,rortvbe01
Amed Rosario,28,76,275,5,1,-1,-10,0,-4,-0.4,9,6,0.5,.495,.497,1.6,-1.0,16,$1500000,Free Agency,4956DH,rosaram01
Austin Shenton*,26,19,50,1,0,0,0,-1,-1,-0.1,2,1,0.1,.497,.500,0.1,-0.1,1,$740000,Traded,3/HD,shentau01
Jose Siri,28,130,448,-14,1,0,12,3,3,0.4,15,19,1.8,.503,.502,0.6,1.6,7,$757800,Traded,*8/H3D,sirijo01
Taylor Walls#,27,84,252,-13,2,0,12,4,5,0.6,9,14,1.4,.507,.504,0.1,1.7,2,$757300,Amateur Draft,6/HD,wallsta01
Team Total,27.2,1689,6006,-57,1,5,3,1,-47,-4.7,205,158,15.0,.497,.499,14.6,0.4,155,$43265700,,,-9999
