Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Jason Adam,32,us US,R,R,6' 3",229,Aug 4 1991,7,47,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,1.2,$2700000,,adamja01
Tyler Alexander,29,us US,R,L,6' 2",203,Jul 14 1994,6,23,9,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$1950000,,alexaty01
Jonathan Aranda,26,mx MX,L,R,6' 0",210,May 23 1998,3,44,33,44,28,0,0,23,6,1,0,0,0,0,0,10,9,1,0.7,$742800,,arandjo01
Shawn Armstrong,33,us US,R,R,6' 2",225,Sep 11 1990,10,38,7,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,$2050000,,armstsh01
Randy Arozarena,29,cu CU,R,R,5' 11",185,Feb 28 1995,6,100,94,100,93,0,0,0,0,0,0,89,7,0,93,5,6,0,0.7,$8100000,,arozara01
Shane Baz,25,us US,R,R,6' 2",190,Jun 17 1999,3,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,2.1,$743600,,bazsh01
Hunter Bigge,26,us US,R,R,6' 1",205,Jun 12 1998,1st,15,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,,biggehu01
Taj Bradley,23,us US,R,R,6' 2",190,Mar 20 2001,2,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1.6,$743300,,bradlta01
Rob Brantly,34,us US,L,R,6' 1",190,Jul 14 1989,9,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,,brantro01
José Caballero,27,pa PA,R,R,5' 9",185,Aug 30 1996,2,139,123,139,137,0,0,0,31,37,88,0,0,0,0,1,3,7,1.6,$751700,,cabaljo01
Junior Caminero,20,do DO,R,R,6' 1",220,Jul 5 2003,2,43,42,43,39,0,0,1,0,39,0,0,0,0,0,3,1,0,0.7,$740000,,caminju01
Dylan Carlson,25,us US,B,L,6' 2",200,Oct 23 1998,5,37,28,37,29,0,0,0,0,0,0,28,0,3,29,2,7,1,-0.3,,,carlsdy01
Aaron Civale,29,us US,R,R,6' 2",215,Jun 12 1995,6,17,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$4900000,,civalaa01
Garrett Cleavinger,30,us US,R,L,6' 1",220,Apr 23 1994,5,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$746900,,cleavga01
Jonny DeLuca,25,us US,R,R,6' 0",200,Jul 10 1998,2,107,87,107,97,0,0,0,0,0,0,12,43,57,97,2,12,5,0.6,$742400,,delucjo01
Chris Devenski,33,us US,R,R,6' 3",211,Nov 13 1990,9,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,$1000000,,devench02
Yandy Díaz,32,cu CU,R,R,6' 2",215,Aug 8 1991,8,145,140,145,112,0,0,112,0,0,0,0,0,0,0,30,5,0,1.6,$8000000,,diazya01
Logan Driscoll,26,us US,L,R,5' 11",195,Nov 3 1997,1st,15,11,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,drisclo01
Zach Eflin,30,us US,R,R,6' 6",220,Apr 8 1994,9,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$11000000,,eflinza01
Pete Fairbanks,30,us US,R,R,6' 6",225,Dec 16 1993,6,46,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$3666667,,fairbpe01
Niko Goodrum,32,us US,B,R,6' 2",220,Feb 28 1992,7,9,3,9,8,0,0,2,1,0,1,4,0,0,4,0,2,2,-0.4,,,goodrni01
Alex Jackson,28,us US,R,R,6' 2",238,Dec 25 1995,5,58,46,58,58,0,58,0,0,0,0,0,0,0,0,0,4,0,-0.4,$740000,,jacksal02
