Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Connor Wong,28,126,487,447,54,125,24,1,13,52,8,7,28,114,.280,.333,.425,.758,110,190,7,9,1,2,1,wongco01
2,1B,Dominic Smith*,29,84,278,249,29,59,20,0,6,34,1,1,25,65,.237,.317,.390,.706,96,97,7,4,0,0,0,smithdo02
3,2B,Enmanuel Valdez*,25,76,223,201,23,43,12,0,6,28,1,1,17,53,.214,.270,.363,.633,74,73,4,0,1,4,0,valdeen01
4,SS,Ceddanne Rafaela,23,152,571,544,70,134,23,5,15,75,19,10,15,151,.246,.274,.390,.664,82,212,8,7,2,3,1,rafaece01
5,3B,Rafael Devers*,27,138,601,525,87,143,34,5,28,83,3,0,67,147,.272,.354,.516,.871,139,271,13,3,0,6,14,deverra01
6,LF,Tyler O'Neill,29,113,473,411,74,99,18,0,31,61,4,0,53,159,.241,.336,.511,.847,132,210,13,7,0,2,5,oneilty01
7,CF,Jarren Duran*,27,160,735,671,111,191,48,14,21,75,34,7,54,160,.285,.342,.492,.834,129,330,6,6,1,3,1,duranja01
8,RF,Wilyer Abreu*,25,132,447,399,59,101,33,2,15,58,8,3,40,125,.253,.322,.459,.781,114,183,7,3,0,5,0,abreuwi02
9,DH,Masataka Yoshida*,30,108,421,378,45,106,21,0,10,56,2,0,27,52,.280,.349,.415,.765,112,157,6,14,0,2,0,yoshima02
10,MI,David Hamilton*,26,98,317,294,47,73,17,1,8,28,33,4,22,80,.248,.303,.395,.697,92,116,1,1,0,0,0,hamilda03
11,OF,Rob Refsnyder,33,93,307,272,32,77,16,1,11,40,2,2,28,78,.283,.359,.471,.830,129,128,6,5,0,1,2,refsnro01
12,1B,Triston Casas*,24,63,243,212,28,51,8,0,13,32,0,1,30,77,.241,.337,.462,.800,120,98,6,1,0,0,4,casastr01
13,IF,Romy Gonzalez,27,89,216,199,25,53,10,1,6,29,11,3,12,58,.266,.306,.417,.723,99,83,5,1,0,4,0,gonzaro01
14,C,Reese McGuire*,29,53,158,139,10,29,3,0,3,18,3,0,13,39,.209,.280,.295,.575,61,41,4,2,1,3,0,mcguire01
15,2B,Vaughn Grissom,23,31,114,105,10,20,3,0,0,6,2,0,7,24,.190,.246,.219,.465,31,23,3,1,0,1,0,grissva01
16,SS,Trevor Story,31,26,106,94,8,24,7,0,2,10,6,3,11,33,.255,.340,.394,.733,104,37,2,1,0,0,2,storytr01
17,C,Danny Jansen,29,30,96,80,8,15,0,0,3,6,0,0,15,19,.188,.323,.300,.623,75,24,3,1,0,0,0,janseda01
18,CI,Bobby Dalbec,29,37,93,83,6,11,2,0,1,8,3,0,8,43,.133,.217,.193,.410,16,16,1,1,1,0,0,dalbebo01
19,IF,Nick Sogard#,26,31,86,77,13,21,4,0,0,8,3,0,7,25,.273,.326,.325,.650,82,25,4,0,0,2,0,sogarni01
20,DH,Garrett Cooper,33,24,75,70,3,12,4,0,0,5,0,0,3,22,.171,.227,.229,.455,28,16,2,2,0,0,0,coopega03
21,IF,Pablo Reyes,30,21,64,60,4,11,2,0,0,5,1,2,3,19,.183,.234,.217,.451,27,13,1,1,0,0,0,reyespa01
22,2B,Jamie Westbrook,29,21,48,40,4,6,2,0,2,7,0,0,4,14,.150,.234,.350,.584,60,14,0,1,0,2,0,westbja02
23,IF,Mickey Gasper#,28,13,23,18,1,0,0,0,0,0,0,0,4,8,.000,.217,.000,.217,-32,0,1,1,0,0,0,gaspemi01
24,IF,Zack Short,29,2,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,shortza01
25,DH,Tyler Heineman#,33,2,3,2,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,5,0,0,1,0,0,0,heinety01
26,P,Naoyuki Uwasawa,30,0,0,,,,,,,,,,,,,,,,,,,,,,,uwasana01
27,P,Chase Anderson,36,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,anderch01
28,P,Trey Wingenter,30,0,0,,,,,,,,,,,,,,,,,,,,,,,wingetr01
29,P,Greg Weissert,29,0,0,,,,,,,,,,,,,,,,,,,,,,,weissgr01
30,P,Garrett Whitlock,28,0,0,,,,,,,,,,,,,,,,,,,,,,,whitlga01
31,P,Rich Hill*,44,0,0,,,,,,,,,,,,,,,,,,,,,,,hillri01
32,P,Brayan Bello,25,0,0,,,,,,,,,,,,,,,,,,,,,,,bellobr01
33,P,Quinn Priester,23,0,0,,,,,,,,,,,,,,,,,,,,,,,priesqu01
34,P,Nick Pivetta,31,0,0,,,,,,,,,,,,,,,,,,,,,,,pivetni01
35,P,Luis García,37,0,0,,,,,,,,,,,,,,,,,,,,,,,garcilu03
36,P,Zach Penrod*,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,penroza01
37,P,Cam Booser*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,booseca01
38,P,Chase Shugart*,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,shugach01
39,P,Yohan Ramírez,29,0,0,,,,,,,,,,,,,,,,,,,,,,,ramiryo01
40,P,Josh Winckowski,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,winckjo01
41,P,Isaiah Campbell,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,campbis01
42,P,James Paxton*,35,0,0,,,,,,,,,,,,,,,,,,,,,,,paxtoja01
43,P,Brad Keller,28,0,0,,,,,,,,,,,,,,,,,,,,,,,kellebr01
44,P,Kenley Jansen#,36,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,janseke01
45,P,Kutter Crawford,28,0,0,,,,,,,,,,,,,,,,,,,,,,,crawfku01
46,P,Richard Fitts,24,0,0,,,,,,,,,,,,,,,,,,,,,,,fittsri01
47,P,Justin Slaten,26,0,0,,,,,,,,,,,,,,,,,,,,,,,slateju01
48,P,Chris Martin,38,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,martich02
