Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Name-additional
Rafael Devers,27,8,Amateur Free Agent,6.070,Rep 1 Baseball,10 yrs/$313.5M (24-33),$29.5M,$29.5M,$29.5M,$33M,$33M,$33M,$33M,$31M,$31M,$31M,deverra01
Trevor Story,31,9,Free Agency,8.000,Wasserman,6 yrs/$140M (22-27) & 28 team option,$22.5M,$22.5M,$25M,$25M,$5M [FA-*],FA,,,,,storytr01
Masataka Yoshida,30,2,Free Agency,1.000,,5 yrs/$90M (23-27),$18.6M,$18.6M,$18.6M,$18.6M,Arb,FA,,,,,yoshima02
Brayan Bello,25,3,Free Agency,1.082,,6 yrs/$55M (24-29) & 30 player option,$1.17M,$2.67M,$6.17M,$8.67M,$16.17M,$19.17M,$1M [FA-*],FA,,,bellobr01
Ceddanne Rafaela,23,2,Free Agency,0.035,,8 yrs/$50M (24-31) & 32 team option,$1.25M,$1.25M,$2.25M,$3.75M,$5.75M,$7.75M,$10.75M,$13.25M,$4M [FA-*],FA,rafaece01
Kenley Jansen,36,15,Free Agency,13.073,Wasserman,2 yrs/$32M (23-24),$16M,FA,,,,,,,,,janseke01
Lucas Giolito,29,8,,6.080,CAA Sports,1 yr/$19M (24) & 25-26 player/team option,$18M,$1M [FA-*],$0 [FA-*],FA,,,,,,,giolilu01
Garrett Whitlock,28,4,Rule 5 Draft,3.000,Kent Matthes,4 yrs/$18.75M (23-26) & 27-28 team option,$3.5M,$5.5M,$7.5M,$1M [FA-*],$0 [FA-*],FA,,,,,whitlga01
Chris Martin,38,9,Free Agency,6.133,ISE Baseball,2 yrs/$17.5M (23-24),$9.5M,FA,,,,,,,,,martich02
Liam Hendriks,35,13,,9.164,ALIGND Sports Age...,2 yrs/$10M (24-25) & 26 mutual option,$2M,$6M,$2M [FA-*],FA,,,,,,,hendrli01
Nick Pivetta,31,8,Traded,5.166,CAA Sports,1 yr/$7.5M (24),$7.5M,FA,,,,,,,,,pivetni01
James Paxton,35,11,Traded,9.151,Boras Corporation,1 yr/$7M (24),$7M,FA,,,,,,,,,paxtoja01
Tyler O'Neill,29,7,Traded,5.059,Boras Corporation,1 yr/$5.85M (24),$5.85M,FA,,,,,,,,,oneilty01
Danny Jansen,29,7,Traded,5.050,ISE Baseball,1 yr/$5.2M (24),$5.2M,FA,,,,,,,,,janseda01
Luis García,37,12,Traded,8.007,Reynolds Sports M...,1 yr/$4.25M (24),$4.25M,FA,,,,,,,,,garcilu03
Lucas Sims,30,8,Traded,5.014,TWC Sports,1 yr/$2.85M (24),$2.85M,FA,,,,,,,,,simslu01
Rob Refsnyder,33,9,Free Agency,5.048,PSI Sports Manage...,1 yr/$2M (24) & 25 team option,$1.85M,$150k [FA-*],FA,,,,,,,,refsnro01
Cooper Criswell,27,4,Free Agency,0.142,,1 yr/$1M (24),$1M,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,criswco01
Tanner Houck,28,5,Amateur Draft,2.100,CAA Sports,1 yr/$770k (24),$770k,Arb,Arb,Arb,FA,,,,,,houckta01
Jarren Duran,27,4,Hs,1.155,,1 yr/$760k (24),$760k,Arb,Arb,Arb,Arb,FA,,,,,duranja01
Kutter Crawford,28,4,Amateur Draft,1.136,Kutter Crawford,1 yr/$760k (24),$760k,Pre-Arb,Arb,Arb,Arb,FA,,,,,crawfku01
Connor Wong,28,4,Traded,1.079,,1 yr/$760k (24),$760k,Pre-Arb,Arb,Arb,Arb,FA,,,,,wongco01
Josh Winckowski,26,3,Traded,1.074,,1 yr/$760k (24),$760k,Pre-Arb,Arb,Arb,Arb,FA,,,,,winckjo01
