Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,SEA,W6-4,40,38,6,11,2,1,2,6,2,0,7,0,0,0,0,0,3,1,.289,.325,.553,.878,7,10,R,L.Castillo(42)
2,2,Mar 29,@,SEA,L0-1,34,31,0,4,0,0,0,0,3,0,13,0,0,0,0,0,1,0,.217,.270,.362,.633,7,10,R,G.Kirby(76)
3,3,Mar 30,@,SEA,L3-4,39,36,3,7,2,0,0,3,3,1,13,0,0,0,0,0,0,1,.210,.265,.324,.589,7,12,R,L.Gilbert(72)
4,4,Mar 31,@,SEA,W5-1,38,35,5,10,0,0,2,5,3,0,8,0,0,0,0,0,0,1,.229,.285,.357,.642,6,10,R,B.Miller(43)
5,5,Apr 1,@,OAK,W9-0,44,35,9,9,2,0,0,7,7,1,11,0,0,2,1,0,3,0,.234,.303,.349,.651,8,11,R,J.Boyle(12)
6,6,Apr 2,@,OAK,W5-4,48,42,5,12,3,0,0,4,4,1,15,2,0,0,0,2,1,0,.244,.317,.350,.667,12,17,L,A.Wood(48)
7,7,Apr 3,@,OAK,W1-0,34,32,1,10,1,0,0,1,1,1,5,0,0,1,0,3,0,0,.253,.318,.349,.667,6,9,R,R.Stripling(60)
8,8,Apr 5,@,LAA,W8-6,43,34,8,9,0,0,5,8,5,0,6,3,0,1,0,1,1,0,.254,.328,.392,.720,8,10,R,G.Canning(39)
9,9,Apr 6,@,LAA,L1-2,31,29,1,3,1,0,0,1,1,0,14,1,0,0,0,0,0,1,.240,.313,.369,.682,3,12,L,R.Detmers(73)
10,10,Apr 7,@,LAA,W12-2,46,39,12,12,0,1,4,12,6,0,11,1,0,0,0,0,1,0,.248,.325,.402,.727,7,11,R,C.Silseth(54)
11,11,Apr 9,,BAL,L1-7,31,29,1,2,0,0,1,1,2,0,10,0,0,0,0,0,0,0,.234,.311,.384,.695,3,11,R,C.Burnes(73)
12,12,Apr 10,,BAL,L5-7,37,33,5,8,0,0,1,5,4,0,13,0,0,0,0,2,0,0,.235,.312,.380,.692,5,12,L,C.Irvin(34)
13,13,Apr 11,,BAL,L4-9,40,38,4,8,4,0,1,4,2,0,7,0,0,0,0,0,1,0,.233,.307,.381,.688,7,12,R,G.Rodriguez(52)
14,14,Apr 12,,LAA,L0-7,30,28,0,3,1,0,0,0,2,0,10,0,0,0,0,2,0,0,.225,.299,.367,.666,3,9,L,R.Detmers(72)
15,15,Apr 13,,LAA,W7-2,36,32,7,11,2,0,1,7,3,0,11,0,0,1,0,0,2,2,.233,.305,.376,.680,5,10,R,G.Canning(24)
16,16,Apr 14,,LAA,W5-4,37,29,5,7,1,0,3,5,8,1,9,0,0,0,0,0,0,2,.233,.311,.387,.698,8,10,L,T.Anderson(44)
17,17,Apr 15,,CLE,L0-6,32,30,0,3,0,0,0,0,2,0,8,0,0,0,0,0,1,0,.226,.303,.372,.675,5,10,R,X.Curry(65)
18,18,Apr 16,,CLE,L7-10,48,42,7,11,5,0,3,7,5,0,10,0,0,1,0,0,1,1,.229,.305,.387,.692,10,11,R,T.Bibee(54)
19,19,Apr 17,,CLE,W2-0,29,28,2,5,1,0,1,1,1,0,11,0,0,0,0,0,1,0,.227,.301,.384,.686,3,10,R,B.Lively(59)
20,20,Apr 18,,CLE,L4-5,38,35,4,6,1,1,0,3,3,0,10,0,0,0,2,0,1,0,.224,.298,.378,.676,7,10,R,C.Carrasco(55)
21,21,Apr 19,@,PIT,W8-1,42,38,8,12,4,0,4,8,3,0,5,1,0,0,0,0,1,0,.229,.302,.397,.699,7,9,R,Q.Priester(32)
22,22,Apr 20,@,PIT,W4-2,40,33,4,6,1,1,1,4,7,0,8,0,0,0,1,1,0,0,.227,.303,.395,.699,9,10,R,M.Keller(46)
23,23,Apr 21,@,PIT,W6-1,45,35,6,8,3,0,0,5,6,0,14,2,1,0,1,0,2,0,.227,.307,.392,.699,12,10,L,M.Pérez(37)
24,24,Apr 23,@,CLE,L1-4,31,30,1,6,1,0,1,1,0,0,12,1,0,0,0,1,0,1,.226,.304,.390,.694,3,12,R,B.Lively(66)
25,25,Apr 24,@,CLE,W8-0,44,41,8,16,4,0,3,8,1,0,8,1,0,1,0,1,2,0,.234,.309,.405,.714,9,9,R,C.Carrasco(32)
26,26,Apr 25,@,CLE,L4-6,39,35,4,10,0,1,0,4,2,0,12,1,0,1,0,1,0,0,.236,.310,.402,.712,8,12,R,T.McKenzie(47)
27,27,Apr 26,,CHC,L1-7,36,34,1,7,1,0,1,1,2,0,9,0,0,0,1,1,0,0,.235,.308,.400,.707,8,9,L,S.Imanaga(65)
28,28,Apr 27,,CHC,W17-0,49,43,17,21,6,0,2,17,2,0,6,2,1,1,0,0,1,0,.246,.317,.416,.733,8,13,R,B.Brown(39)
29,29,Apr 28,,CHC,W5-4,39,34,5,9,1,1,0,5,5,1,9,0,0,0,1,0,1,0,.246,.319,.414,.733,10,10,R,H.Wesneski(48)
30,30,Apr 30,,SFG,W4-0,41,32,4,11,1,1,0,4,6,0,11,2,1,0,0,2,3,0,.250,.324,.415,.739,13,10,R,L.Webb(28)
31,31,May 1,,SFG,W6-2,37,33,6,10,4,1,0,6,4,0,7,0,0,0,0,1,1,0,.251,.326,.417,.743,7,9,L,E.Miller(52)
32,32,May 2,,SFG,L1-3,35,29,1,4,2,0,0,1,5,0,11,1,0,0,0,2,0,0,.248,.325,.411,.736,7,11,L,K.Harrison(59)
33,33,May 3,@,MIN,L2-5,33,31,2,4,2,0,0,2,1,0,13,1,0,0,1,0,0,1,.245,.321,.405,.726,4,9,R,C.Paddack(73)
34,34,May 4,@,MIN,L1-3,36,33,1,8,1,0,0,1,3,0,12,0,0,0,0,1,1,0,.245,.320,.401,.722,8,11,R,P.López(65)
35,35,May 5,@,MIN,W9-2,41,37,9,11,5,1,2,9,3,0,8,0,1,0,0,0,1,0,.246,.321,.409,.730,5,11,R,J.Ryan(56)
