Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,SEA,W6-4,9.0,8,4,4,0,1,9,2,1,4.00,36,149,93,1,1,0,0,34,2,0,0,0,0,0,1,5,Larry Vanover,B.Bello (99-51-W) I.Campbell (99-H) J.Rodríguez (99-H) C.Martin (99-H) K.Jansen (99-Sv)
2,2,Mar 29,@,SEA,L0-1,8.0,4,1,1,0,2,14,1,0,2.65,30,125,79,0,0,1,0,28,0,0,0,0,0,0,0,2,David Rackley,N.Pivetta (99-72-L) J.Winckowski (99)
3,3,Mar 30,@,SEA,L3-4,9.1,7,4,1,3,2,12,0,0,2.05,38,152,95,2,1,0,0,36,0,0,0,0,0,0,0,6,Quinn Wolcott,K.Crawford (99-70) I.Campbell (1) C.Martin (1) G.Weissert (99) J.Rodríguez (1-BL) J.Slaten (99)
4,4,Mar 31,@,SEA,W5-1,9.0,4,1,1,0,1,10,0,1,1.78,33,124,80,3,0,0,0,31,1,0,0,0,0,0,0,4,Chris Segal,G.Whitlock (99-65-W) G.Weissert (0) J.Rodríguez (0) J.Slaten (0-Sv)
5,5,Apr 1,@,OAK,W9-0,9.0,4,0,0,0,0,13,0,0,1.42,31,123,93,0,0,0,0,31,1,0,0,0,0,0,0,2,Alan Porter,T.Houck (99-76-W) C.Anderson (99-Sv)
6,6,Apr 2,@,OAK,W5-4,11.0,7,4,4,0,4,14,2,0,1.79,44,164,110,0,0,0,0,39,3,0,1,1,0,0,1,6,Ryan Blakney,B.Bello (4-46) G.Weissert (1) I.Campbell (2) C.Martin (2) K.Jansen (4) J.Winckowski (3-W)
7,7,Apr 3,@,OAK,W1-0,9.0,8,0,0,0,3,5,0,0,1.54,37,153,96,1,0,0,0,34,1,0,0,0,0,0,1,5,Nate Tomlinson,N.Pivetta (4-59-W) J.Rodríguez (2-H) J.Slaten (2-H) C.Martin (0-H) K.Jansen (0-Sv)
8,8,Apr 5,@,LAA,W8-6,9.0,6,6,2,4,3,10,1,2,1.60,41,166,108,3,0,0,0,36,0,0,0,0,0,2,0,6,Alex Tosi,K.Crawford (5-58) G.Weissert (2) J.Winckowski (2) C.Martin (1-BW) I.Campbell (2-H) K.Jansen (1-Sv)
9,9,Apr 6,@,LAA,L1-2,8.0,6,2,0,2,6,10,0,0,1.44,36,168,104,4,2,2,1,30,0,0,0,0,0,1,0,4,Dan Bellino,G.Whitlock (5-55) G.Weissert (0-L) I.Campbell (0-BSv) J.Slaten (2)
10,10,Apr 7,@,LAA,W12-2,9.0,8,2,2,0,3,8,1,1,1.49,38,167,100,0,0,1,0,34,1,0,0,0,0,0,1,2,Phil Cuzzi,T.Houck (5-69-W) C.Anderson (5-Sv)
11,11,Apr 9,,BAL,L1-7,9.0,13,7,4,3,3,8,0,0,1.72,44,168,103,1,0,2,0,40,3,0,0,0,1,1,0,3,Mark Wegner,B.Bello (6-53-L) J.Rodríguez (5) J.Winckowski (3)
12,12,Apr 10,,BAL,L5-7,9.0,9,7,6,1,5,11,1,1,2.08,43,158,97,0,0,1,0,36,1,1,0,0,0,0,0,4,Bruce Dreckman,K.Crawford (4-65) I.Campbell (3) C.Martin (4-BL) B.Bernardino (99)
13,13,Apr 11,,BAL,L4-9,10.0,9,9,6,3,6,8,4,0,2.36,44,186,113,1,1,1,0,38,2,0,0,0,0,1,2,6,Jeremie Rehak,G.Whitlock (4-57) J.Slaten (4-H) J.Rodríguez (1-H) G.Weissert (4-BSv) K.Jansen (5) I.Campbell (0-L)
14,14,Apr 12,,LAA,L0-7,9.0,12,7,4,3,0,6,1,1,2.47,41,140,96,0,0,0,0,40,2,0,0,0,0,0,0,3,Chad Fairchild,T.Houck (4-25-L) B.Bernardino (1) C.Anderson (4)
15,15,Apr 13,,LAA,W7-2,9.0,8,2,2,0,2,10,1,0,2.44,36,159,105,0,0,0,0,34,0,0,0,0,0,0,1,4,Ryan Wills,C.Criswell (99-47) G.Weissert (1-W) J.Winckowski (3) J.Rodríguez (1)
16,16,Apr 14,,LAA,W5-4,9.0,9,4,4,0,3,11,1,2,2.54,39,166,108,2,0,1,0,33,0,1,0,0,1,0,2,3,Carlos Torres,B.Bello (4-54-W) J.Slaten (2-H) K.Jansen (2-Sv)
17,17,Apr 15,,CLE,L0-6,9.0,9,6,5,1,1,8,1,0,2.68,37,159,105,2,1,1,0,35,2,1,0,1,0,0,0,5,Lance Barrett,K.Crawford (4-71) B.Bernardino (2-L) G.Weissert (1) J.Winckowski (1) C.Anderson (2)
18,18,Apr 16,,CLE,L7-10,11.0,14,10,7,3,6,7,1,0,2.89,53,178,125,0,0,1,0,44,3,0,3,2,1,0,0,7,Mark Ripperger,G.Whitlock (4-48) J.Rodríguez (2) B.Bernardino (0-H) C.Martin (5-H) K.Jansen (1-BSv) G.Weissert (0) J.Winckowski (0-L)
19,19,Apr 17,,CLE,W2-0,9.0,3,0,0,0,0,9,0,0,2.74,29,94,69,,,0,0,29,0,0,0,0,0,0,1,1,Roberto Ortiz,T.Houck (4-90-W)
