Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Wilyer Abreu*,25,132,447,6,0,-1,16,-4,18,1.9,15,33,3.4,.514,.512,1.7,1.3,17,$749500,Traded,*9H/78D,abreuwi02
Chase Anderson,36,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1250000,Free Agency,1,anderch01
Brennan Bernardino*,32,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Waivers,1,bernabr01
Isaiah Campbell,26,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$746000,Traded,/1,campbis01
Triston Casas*,24,63,243,4,-2,-1,-1,-3,-2,-0.3,8,6,0.6,.496,.498,0.7,-0.4,7,$760000,Amateur Draft,3/HD,casastr01
Garrett Cooper,33,24,75,-7,0,0,-2,-1,-11,-1.1,3,-8,-0.9,.452,.493,-0.7,-0.4,-6,,Purchased,3/DH,coopega03
Bobby Dalbec,29,37,93,-10,0,0,1,-1,-10,-1.1,3,-7,-0.8,.471,.493,-0.9,0.0,-8,,Amateur Draft,35/HD9,dalbebo01
Rafael Devers*,27,138,601,23,0,0,-9,3,17,1.7,20,37,3.7,.512,.511,4.6,-0.6,45,$29500000,Amateur Free Agent,*5/D,deverra01
Jarren Duran*,27,160,735,28,9,1,23,0,61,6.5,23,84,8.7,.540,.540,6.2,2.5,61,$760000,Hs,*87,duranja01
Mickey Gasper#,28,13,23,-3,0,0,1,0,-3,-0.3,1,-2,-0.2,.479,.498,-0.3,0.1,-3,,Rule 5 Draft,/4HD3,gaspemi01
Romy Gonzalez,27,89,216,0,1,0,0,1,2,0.2,7,9,0.9,.502,.501,0.9,0.1,9,$740000,Waivers,H4635/9D78,gonzaro01
Vaughn Grissom,23,31,114,-8,1,0,1,1,-5,-0.6,4,-1,-0.2,.482,.497,-0.3,0.2,-2,$742000,Traded,4/DH,grissva01
David Hamilton*,26,98,317,-2,6,2,4,5,15,1.6,11,26,2.6,.516,.510,2.2,0.9,22,$740000,Traded,64H,hamilda03
Tyler Heineman#,33,2,3,0,0,0,1,0,1,0.1,0,1,0.1,.542,.501,0.0,0.1,0,$740000,Purchased,/2D,heinety01
Danny Jansen,29,30,96,-1,0,0,-3,2,-3,-0.3,3,1,0.1,.491,.498,0.4,-0.1,4,,Traded,2/HD,janseda01
Kenley Jansen#,36,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$16000000,Free Agency,1,janseke01
Chris Martin,38,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$9500000,Free Agency,1,martich02
Reese McGuire*,29,53,158,-7,0,0,1,3,-4,-0.4,5,1,0.1,.492,.497,0.0,0.4,0,$1500000,Traded,2/HD,mcguire01
Tyler O'Neill,29,113,473,16,1,-2,1,-6,10,1.1,16,26,2.6,.509,.507,2.5,-0.5,25,$5850000,Traded,79D/H,oneilty01
Zach Penrod*,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,/1,penroza01
Ceddanne Rafaela,23,152,571,-9,0,0,10,7,8,0.9,20,28,2.8,.506,.505,1.7,1.9,18,$1250000,Free Agency,864/5H9,rafaece01
Rob Refsnyder,33,93,307,9,-3,0,-4,-4,-2,-0.2,10,8,0.8,.498,.499,1.2,-0.9,12,$1850000,Free Agency,79HD,refsnro01
Pablo Reyes,30,21,64,-6,-1,0,-2,1,-8,-0.9,2,-6,-0.7,.458,.495,-0.5,-0.2,-4,,Purchased,5/43H61,reyespa01
Zack Short,29,2,7,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.399,.499,-0.2,0.0,-2,,Purchased,/45,shortza01
Chase Shugart*,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,/1,shugach01
Dominic Smith*,29,84,278,-1,-1,-1,-2,-4,-8,-0.9,10,1,0.0,.490,.495,0.2,-0.6,3,$1430108,Free Agency,3H/D1,smithdo02
Nick Sogard#,26,31,86,-2,1,0,1,1,1,0.1,3,4,0.3,.502,.500,0.2,0.2,2,,Traded,4/65H3,sogarni01
Trevor Story,31,26,106,0,0,0,2,2,4,0.4,4,7,0.7,.515,.502,0.5,0.4,5,$22500000,Free Agency,6,storytr01
Enmanuel Valdez*,25,76,223,-8,-2,0,-5,2,-13,-1.4,8,-5,-0.6,.482,.492,-0.1,-0.4,0,$743500,Traded,4H/D57,valdeen01
Jamie Westbrook,29,21,48,-2,0,0,0,0,-2,-0.2,2,0,-0.1,.490,.499,-0.1,0.0,0,$740000,Free Agency,4/H5D9,westbja02
Josh Winckowski,26,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$760000,Traded,1,winckjo01
Connor Wong,28,126,487,4,0,0,-11,6,0,0.0,17,16,1.6,.500,.500,2.7,-0.5,27,$760000,Traded,23DH/47,wongco01
Masataka Yoshida*,30,108,421,7,0,2,0,-9,0,0.0,14,14,1.4,.500,.500,1.4,-0.9,14,$18600000,Free Agency,DH/7,yoshima02
Team Total,27.3,1733,6192,29,9,0,23,2,63,6.7,209,272,26.8,.504,.506,24.3,2.7,249,$118951108,,,-9999
