Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Chase Anderson,36,52.0,27,1,34,5.88,4.41,0.28,-0.28,0.11,107.0,4.24,-10,-1.0,.58,0.1,-0.4,-5,.463,.494,$1250000,Free Agency,anderch01
Brayan Bello,25,162.1,30,30,84,4.66,4.61,0.26,0.21,0.00,104.6,4.77,1,0.1,,-0.1,1.5,17,.504,.501,$1166667,Free Agency,bellobr01
Brennan Bernardino*,32,51.0,57,3,25,4.41,4.65,0.25,-0.28,0.11,107.5,4.55,1,0.1,1.44,-0.1,0.5,5,.501,.500,$740000,Waivers,bernabr01
Cam Booser*,32,42.2,43,0,17,3.59,4.46,0.26,-0.30,0.26,107.2,4.46,4,0.4,1.02,-0.1,0.8,8,.510,.503,$740000,Free Agency,booseca01
Isaiah Campbell,26,6.2,8,0,13,17.55,4.80,0.39,-0.32,0.85,103.8,5.13,-9,-0.9,1.91,-0.4,-1.2,-9,.390,.495,$746000,Traded,campbis01
Kutter Crawford,28,183.2,33,33,97,4.75,4.73,0.25,0.21,0.00,106.3,4.98,4,0.4,,-0.1,2.0,21,.512,.502,$760000,Amateur Draft,crawfku01
Cooper Criswell,27,99.1,26,18,52,4.71,4.38,0.28,0.14,0.06,106.4,4.58,-2,-0.2,.97,-0.1,0.7,8,.492,.499,$1000000,Free Agency,criswco01
Richard Fitts,24,20.2,4,4,6,2.61,4.09,0.30,0.19,0.00,107.0,4.26,4,0.4,,0.0,0.6,6,.605,.503,,Traded,fittsri01
Luis García,37,15.1,15,0,15,8.80,4.65,0.34,-0.31,0.00,106.5,4.26,-8,-0.8,.87,0.0,-0.6,-6,.447,.495,,Traded,garcilu03
Luis Guerrero,23,10.0,9,0,1,0.90,4.40,0.22,-0.30,0.00,107.4,4.17,4,0.4,1.14,0.0,0.5,5,.544,.502,,Amateur Draft,guerrlu01
Rich Hill*,44,3.2,4,0,2,4.91,4.35,0.14,-0.29,0.00,102.3,4.00,0,0.0,.82,0.0,0.0,0,.490,.500,,Free Agency,hillri01
Bailey Horn*,26,18.0,18,0,14,7.00,4.82,0.32,-0.32,0.32,107.6,4.83,-4,-0.5,1.01,0.0,-0.3,-3,.475,.497,,Purchased,hornba01
Tanner Houck,28,178.2,30,30,75,3.78,4.44,0.26,0.20,0.00,107.4,4.71,18,1.9,,-0.1,3.5,35,.565,.512,$770000,Amateur Draft,houckta01
Joe Jacques*,29,1.2,1,0,1,5.40,4.57,0.32,-0.31,0.00,112.0,4.42,0,0.0,1.96,0.0,0.0,0,.480,.500,,Waivers,jacqujo01
Kenley Jansen,36,54.2,54,0,20,3.29,4.50,0.22,-0.30,0.10,105.7,4.32,6,0.6,1.87,0.2,1.3,11,.512,.504,$16000000,Free Agency,janseke01
Brad Keller,28,24.2,11,0,18,6.57,4.57,0.31,-0.31,0.00,106.1,4.20,-7,-0.7,.52,0.1,-0.3,-4,.440,.496,,Free Agency,kellebr01
Zack Kelly,29,56.2,49,3,31,4.92,4.47,0.24,-0.23,0.70,109.1,5.12,1,0.1,1.44,-0.1,0.6,6,.502,.501,$740000,Free Agency,kellyza01
Chris Martin,38,44.1,45,0,22,4.47,4.54,0.25,-0.30,0.13,104.6,4.30,-1,-0.1,1.37,-0.1,0.2,3,.498,.499,$9500000,Free Agency,martich02
