Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Wilyer Abreu,25,ve VE,L,L,5' 10",215,Jun 24 1999,2,132,110,132,130,0,0,0,0,0,0,5,1,125,130,1,20,1,3.4,$749500,,abreuwi02
Chase Anderson,36,us US,R,R,6' 1",210,Nov 30 1987,11,27,1,1,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$1250000,,anderch01
Brayan Bello,25,do DO,R,R,6' 1",195,May 17 1999,3,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1.5,$1166667,,bellobr01
Brennan Bernardino,32,us US,L,L,6' 4",180,Jan 15 1992,3,57,3,1,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$740000,,bernabr01
Cam Booser,32,us US,L,L,6' 3",225,May 4 1992,1st,43,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$740000,,booseca01
Isaiah Campbell,26,pt PT,R,R,6' 4",230,Aug 15 1997,2,8,0,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,$746000,,campbis01
Triston Casas,24,us US,L,R,6' 5",244,Jan 15 2000,3,63,58,63,62,0,0,62,0,0,0,0,0,0,0,1,3,0,0.6,$760000,,casastr01
Garrett Cooper,33,us US,R,R,6' 5",235,Dec 25 1990,8,24,18,24,12,0,0,12,0,0,0,0,0,0,0,9,6,0,-0.9,,,coopega03
Kutter Crawford,28,us US,R,R,6' 1",195,Apr 1 1996,4,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,2.0,$760000,,crawfku01
Cooper Criswell,27,us US,R,R,6' 6",200,Jul 24 1996,4,26,18,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$1000000,,criswco01
Bobby Dalbec,29,us US,R,R,6' 4",225,Jun 29 1995,5,37,24,37,35,0,0,21,0,14,0,0,0,2,2,2,3,3,-0.8,,,dalbebo01
Rafael Devers,27,do DO,L,R,6' 0",235,Oct 24 1996,8,138,138,138,130,0,0,0,0,130,0,0,0,0,0,8,0,0,3.7,$29500000,All-Star,deverra01
Jarren Duran,27,us US,L,R,6' 2",205,Sep 5 1996,4,160,160,160,160,0,0,0,0,0,0,83,105,0,160,0,0,0,8.7,$760000,All-Star,duranja01
Richard Fitts,24,us US,R,R,6' 3",230,Dec 17 1999,1st,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,,fittsri01
Luis García,37,do DO,R,R,6' 2",240,Jan 30 1987,12,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,garcilu03
Mickey Gasper,28,us US,B,R,5' 10",205,Oct 11 1995,1st,13,5,13,8,0,0,2,6,0,0,0,0,0,0,3,5,1,-0.2,,,gaspemi01
Romy Gonzalez,27,us US,R,R,6' 0",215,Sep 6 1996,4,89,41,89,85,0,0,20,31,14,23,2,1,6,9,2,43,3,0.9,$740000,,gonzaro01
Vaughn Grissom,23,us US,R,R,6' 2",210,Jan 5 2001,3,31,29,31,30,0,0,0,30,0,0,0,0,0,0,1,1,0,-0.2,$742000,,grissva01
Luis Guerrero,23,do DO,R,R,6' 0",215,Aug 5 2000,1st,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,,guerrlu01
David Hamilton,26,us US,L,R,5' 10",188,Sep 29 1997,2,98,78,98,94,0,0,0,39,0,62,0,0,0,0,0,9,5,2.6,$740000,,hamilda03
Tyler Heineman,33,us US,B,R,5' 10",190,Jun 19 1991,5,2,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.1,$740000,,heinety01
Rich Hill,44,us US,L,L,6' 5",220,Mar 11 1980,20,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,hillri01
Bailey Horn,26,us US,L,L,6' 2",210,Jan 15 1998,1st,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,hornba01
Tanner Houck,28,us US,R,R,6' 5",226,Jun 29 1996,5,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,3.5,$770000,All-Star,houckta01
Joe Jacques,29,us US,L,L,6' 4",210,Mar 11 1995,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,jacqujo01
Danny Jansen,29,us US,R,R,6' 2",215,Apr 15 1995,7,30,23,30,28,0,28,0,0,0,0,0,0,0,0,1,4,0,0.1,,,janseda01
Kenley Jansen,36,cw CW,B,R,6' 5",265,Sep 30 1987,15,54,0,1,54,54,0,0,0,0,0,0,0,0,0,0,0,0,1.3,$16000000,,janseke01
Brad Keller,28,us US,R,R,6' 5",255,Jul 27 1995,7,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,kellebr01
Zack Kelly,29,us US,R,R,6' 3",231,Mar 3 1995,3,49,3,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$740000,,kellyza01
Chris Martin,38,us US,R,R,6' 8",224,Jun 2 1986,9,45,0,2,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$9500000,,martich02
Reese McGuire,29,us US,L,R,6' 0",233,Mar 2 1995,7,53,41,53,48,0,48,0,0,0,0,0,0,0,0,1,9,0,0.1,$1500000,,mcguire01
Tyler O'Neill,29,ca CA,R,R,5' 11",200,Jun 22 1995,7,113,107,113,95,0,0,0,0,0,0,70,0,50,95,18,5,1,2.6,$5850000,,oneilty01
James Paxton,35,ca CA,L,L,6' 4",212,Nov 6 1988,11,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,paxtoja01
Zach Penrod,27,us US,L,L,6' 2",210,Jun 16 1997,1st,7,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,penroza01
Nick Pivetta,31,ca CA,R,R,6' 5",210,Feb 14 1993,8,27,26,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,1.8,$7500000,,pivetni01
