Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Austin Wells*,24,115,414,354,42,81,18,1,13,55,1,2,47,87,.229,.322,.395,.718,103,140,9,5,1,7,0,wellsau01
2,1B,Anthony Rizzo*,34,92,375,337,38,77,12,0,8,35,0,0,27,65,.228,.301,.335,.637,81,113,7,9,0,2,0,rizzoan01
3,2B,Gleyber Torres,27,154,665,587,80,151,26,0,15,63,4,3,65,136,.257,.330,.378,.709,101,222,6,3,2,8,0,torregl01
4,SS,Anthony Volpe,23,160,689,637,90,155,27,7,12,60,28,7,42,156,.243,.293,.364,.657,86,232,9,4,2,3,1,volpean01
5,3B,Oswaldo Cabrera#,25,108,326,299,47,74,11,0,8,36,4,2,21,63,.247,.296,.365,.661,87,109,6,1,2,3,0,cabreos01
6,LF,Alex Verdugo*,28,149,621,559,74,130,28,1,13,61,2,1,49,93,.233,.291,.356,.647,83,199,14,1,2,10,0,verdual01
7,CF,Aaron Judge,32,158,704,559,122,180,36,1,58,144,10,0,133,171,.322,.458,.701,1.159,223,392,22,9,0,2,20,judgeaa01
8,RF,Juan Soto*,25,157,713,576,128,166,31,4,41,109,7,4,129,119,.288,.419,.569,.989,178,328,10,4,0,4,2,sotoju01
9,DH,Giancarlo Stanton,34,114,459,417,49,97,20,0,27,72,0,0,38,143,.233,.298,.475,.773,115,198,17,2,0,2,2,stantmi03
10,C,Jose Trevino,31,73,234,209,26,45,5,0,8,28,1,0,20,41,.215,.288,.354,.642,81,74,12,2,1,2,0,trevijo01
11,CI,DJ LeMahieu,35,67,228,201,19,41,5,0,2,26,0,1,19,35,.204,.269,.259,.527,51,52,13,1,1,6,0,lemahdj01
12,CF,Trent Grisham*,27,76,209,179,21,34,8,0,9,31,1,1,22,57,.190,.290,.385,.675,90,69,5,4,1,2,1,grishtr01
13,3B,Jazz Chisholm Jr.*,26,46,191,176,28,48,7,0,11,23,18,2,14,45,.273,.325,.500,.825,130,88,2,0,0,1,0,chishja01
14,1B,Ben Rice*,25,50,178,152,20,26,6,0,7,23,0,1,20,48,.171,.264,.349,.613,72,53,2,1,0,5,0,ricebe01
15,3B,Jon Berti,34,25,74,66,10,18,0,0,1,6,5,1,6,14,.273,.342,.318,.661,90,21,2,1,1,0,0,bertijo01
16,OF,Jasson Domínguez#,21,18,67,56,8,10,1,0,2,4,5,0,11,19,.179,.313,.304,.617,77,17,0,0,0,0,0,dominja01
17,UT,Jahmai Jones,26,33,47,42,8,10,1,1,1,4,1,1,2,16,.238,.304,.381,.685,93,16,0,2,1,0,0,jonesja08
18,1B,J.D. Davis,31,7,22,19,1,2,1,0,0,1,0,0,3,9,.105,.227,.158,.385,13,3,2,0,0,0,0,davisjd01
19,C,Carlos Narváez,25,6,15,13,0,3,0,0,0,0,0,0,2,6,.231,.333,.231,.564,65,3,0,0,0,0,0,narvaca01
20,3B,Oswald Peraza,24,4,11,10,2,2,0,0,1,1,0,0,1,3,.200,.273,.500,.773,113,5,0,0,0,0,0,perazos02
21,OF,Taylor Trammell*,26,5,2,1,2,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,472,1,0,0,0,0,0,trammta01
22,LF,Duke Ellis*,26,3,1,1,0,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,473,1,0,0,0,0,0,ellisdu01
23,DH,Kevin Smith,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,smithke05
24,P,Cody Poteet,29,0,0,,,,,,,,,,,,,,,,,,,,,,,poteeco01
25,P,Luke Weaver,30,0,0,,,,,,,,,,,,,,,,,,,,,,,weavelu01
26,P,Ian Hamilton,29,0,0,,,,,,,,,,,,,,,,,,,,,,,hamilia01
27,P,Tim Mayza*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,mayzati01
28,P,Gerrit Cole,33,0,0,,,,,,,,,,,,,,,,,,,,,,,colege01
29,P,Tim Hill,34,0,0,,,,,,,,,,,,,,,,,,,,,,,hillti01
30,P,Anthony Misiewicz,29,0,0,,,,,,,,,,,,,,,,,,,,,,,misiean01
31,P,Tommy Kahnle,34,0,0,,,,,,,,,,,,,,,,,,,,,,,kahnlto01
32,P,Clay Holmes,31,0,0,,,,,,,,,,,,,,,,,,,,,,,holmecl01
33,P,Michael Tonkin,34,0,0,,,,,,,,,,,,,,,,,,,,,,,tonkimi01
34,P,Dennis Santana,28,0,0,,,,,,,,,,,,,,,,,,,,,,,santade01
35,P,Carlos Rodón*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,rodonca01
36,P,Nestor Cortes,29,0,0,,,,,,,,,,,,,,,,,,,,,,,cortene01
37,P,Phil Bickford,28,0,0,,,,,,,,,,,,,,,,,,,,,,,bickfph01
38,P,Scott Effross,30,0,0,,,,,,,,,,,,,,,,,,,,,,,effrosc01
39,P,Clayton Andrews*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,andrecl02
40,P,Yoendrys Gómez,24,0,0,,,,,,,,,,,,,,,,,,,,,,,gomezyo01
41,P,Victor González*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,gonzavi02
42,P,Will Warren,25,0,0,,,,,,,,,,,,,,,,,,,,,,,warrewi01
43,P,Jonathan Loáisiga,29,0,0,,,,,,,,,,,,,,,,,,,,,,,loaisjo01
44,P,Josh Maciejewski,28,0,0,,,,,,,,,,,,,,,,,,,,,,,maciejo01
45,P,Marcus Stroman,33,0,0,,,,,,,,,,,,,,,,,,,,,,,stromma01
46,P,Caleb Ferguson,27,0,0,,,,,,,,,,,,,,,,,,,,,,,ferguca01
47,P,Clayton Beeter,25,0,0,,,,,,,,,,,,,,,,,,,,,,,beetecl01
48,P,Jake Cousins,29,0,0,,,,,,,,,,,,,,,,,,,,,,,cousija01
49,P,Clarke Schmidt,28,0,0,,,,,,,,,,,,,,,,,,,,,,,schmicl01
50,P,Ron Marinaccio,28,0,0,,,,,,,,,,,,,,,,,,,,,,,marinro01
51,P,Nick Burdi,31,0,0,,,,,,,,,,,,,,,,,,,,,,,burdini01
52,P,Enyel De Los Santos,28,0,0,,,,,,,,,,,,,,,,,,,,,,,delosen01
53,P,Mark Leiter Jr.,33,0,0,,,,,,,,,,,,,,,,,,,,,,,leitema02
54,P,Luis Gil,26,0,0,,,,,,,,,,,,,,,,,,,,,,,gillu01
,,Team Totals,28.1,162,6245,5450,815,1352,243,15,237,782,88,26,672,1326,.248,.333,.429,.761,115,2336,138,49,14,57,26,-9999
,,Rank in 15 AL teams,,,,6,1,4,10,11,1,,12,7,1,7,4,1,2,1,,3,,14,,1,,-9999
