Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,Name-additional
Aaron Judge,32,9,Free Agency,7.051,PSI Sports Manage...,9 yrs/$360M (23-31),$40M,$40M,$40M,$40M,$40M,$40M,$40M,$40M,judgeaa01
Giancarlo Stanton,34,15,Traded,13.118,Wasserman,13 yrs/$325M (15-27) & 28 team option,$32M,$32M,$29M,$25M,$10M [FA-*],FA,,,stantmi03
Gerrit Cole,33,12,Free Agency,10.111,Boras Corporation,9 yrs/$324M (20-28),$36M,$36M,$36M,$36M,$36M,FA,,,colege01
Carlos Rodón,31,10,Free Agency,8.168,Boras Corporation,6 yrs/$162M (23-28),$27.83M,$27.83M,$27.83M,$27.83M,$27.83M,FA,,,rodonca01
DJ LeMahieu,35,14,Free Agency,11.128,Wasserman,6 yrs/$90M (21-26),$15M,$15M,$15M,FA,,,,,lemahdj01
Anthony Rizzo,34,14,Free Agency,11.168,Sports One Athlet...,2 yrs/$40M (23-24) & 25 team option,$17M,$6M [FA-*],FA,,,,,,rizzoan01
Marcus Stroman,33,10,Free Agency,9.026,Klutch Sports,2 yrs/$37M (24-25) & 26 player option,$18.5M,$18.5M,$0 [FA-*],FA,,,,,stromma01
Juan Soto,25,7,Traded,5.134,Boras Corporation,1 yr/$31M (24),$31M,FA,,,,,,,sotoju01
Gleyber Torres,27,7,Traded,5.162,Octagon,1 yr/$14.2M (24),$14.2M,FA,,,,,,,torregl01
Tommy Kahnle,34,10,Free Agency,8.131,Ballengee Group,2 yrs/$11.5M (23-24),$5.75M,FA,,,,,,,kahnlto01
Alex Verdugo,28,8,Traded,5.078,MVP Sports Group,1 yr/$8.7M (24),$8.7M,FA,,,,,,,verdual01
Clay Holmes,31,7,Traded,5.031,Wasserman,1 yr/$6M (24),$6M,FA,,,,,,,holmecl01
Jon Berti,34,7,Traded,4.168,Ballplayers Agenc...,2 yrs/$5.73M (23-24),$3.62M,Arb,FA,,,,,,bertijo01
Trent Grisham,27,6,Traded,4.060,ISE Baseball,1 yr/$5.5M (24),$5.5M,Arb,FA,,,,,,grishtr01
Nestor Cortes,29,7,Free Agency,4.094,Wasserman,1 yr/$3.95M (24),$3.95M,Arb,FA,,,,,,cortene01
Tim Mayza,32,7,Free Agency,4.156,Ballengee Group,1 yr/$3.59M (24),$3.59M,Arb,FA,,,,,,mayzati01
Jose Trevino,31,7,Traded,4.063,Paragon Sports In...,1 yr/$2.73M (24),$2.73M,Arb,FA,,,,,,trevijo01
Jazz Chisholm Jr.,26,5,Traded,3.075,Roc Nation Sports,1 yr/$2.63M (24),$2.62M,Arb,Arb,FA,,,,,chishja01
Jonathan Loáisiga,29,7,Free Agency,5.022,ISE Baseball,1 yr/$2.5M (24),$2.5M,FA,,,,,,,loaisjo01
JT Brubaker,30,3,,4.000,,1 yr/$2.28M (24),$2.27M,Arb,FA,,,,,,brubajt01
Clarke Schmidt,28,5,Amateur Draft,2.148,Excel Sports Mana...,1 yr/$2.03M (24),$2.02M,Arb,Arb,Arb,FA,,,,schmicl01
Luke Weaver,30,9,Free Agency,6.112,Boras Corporation,1 yr/$2M (24) & 25 team option,$2M,$0 [FA-*],FA,,,,,,weavelu01
Tim Hill,34,7,Free Agency,5.112,,1 yr/$1.8M (24),$1.8M,FA,,,,,,,hillti01
Lou Trivino,32,5,Traded,5.163,Steve Canter Pro ...,1 yr/$1.5M (24) & 25 team option,$1.5M,$0 [FA-*],FA,,,,,,trivilo01
Mark Leiter Jr.,33,5,Traded,3.031,,1 yr/$1.5M (24),$1.5M,Arb,Arb,FA,,,,,leitema02
Scott Effross,30,3,Traded,2.037,Beverly Hills Spo...,1 yr/$750k (24),$750k,Arb,Arb,Arb,FA,,,,effrosc01
Ian Hamilton,29,5,Free Agency,1.126,Northwest Sports ...,1 yr/$923k (24),$923.05k,Pre-Arb,Arb,Arb,Arb,FA,,,hamilia01
Anthony Volpe,23,2,Amateur Draft,1.000,,1 yr/$810k (24),$810.1k,Pre-Arb,Arb,Arb,Arb,FA,,,volpean01
Oswaldo Cabrera,25,3,Free Agency,1.050,,1 yr/$783k (24),$783k,Pre-Arb,Arb,Arb,Arb,FA,,,cabreos01
Oswald Peraza,24,3,Free Agency,0.123,,1 yr/$767k (24),$766.6k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,perazos02
Austin Wells,24,2,Amateur Draft,0.031,,1 yr/$750k (24),$750k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,wellsau01
Jasson Domínguez,21,2,Free Agency,0.031,,1 yr/$746k (24),$745.8k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,dominja01
Jahmai Jones,26,4,Waivers,0.077,,1 yr/$741k (24),$741.2k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,jonesja08
Jake Cousins,29,4,Purchased,1.160,,1 yr/$740k (24),$740k,Arb,Arb,Arb,Arb,FA,,,cousija01
Cody Morris,27,2,,1.099,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,morrico01
Luis Gil,26,3,Traded,1.073,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,gillu01
Everson Pereira,23,1st,Free Agency,0.041,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,pereiev01
Yoendrys Gómez,24,2,Free Agency,0.010,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,gomezyo01
Brett Phillips,30,7,,4.060,O'Connell Sports ...,,Arb (~$1.4M),,FA,,,,,,phillbr02
Greg Allen,31,7,Traded,3.127,CAA Sports,,Arb,,Arb,FA,,,,,allengr01
Anthony Misiewicz,29,5,Waivers,2.170,,,Arb,,Arb,Arb,FA,,,,misiean01
Taylor Trammell,26,4,Waivers,1.103,CAA Sports,,,,Arb,Arb,Arb,FA,,,trammta01
