Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Clayton Andrews,27,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,andrecl02
Clayton Beeter,25,3,0,0,3.2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.22,0,P,beetecl01
Jon Berti,34,21,18,17,167,45,8,34,3,4,0.933,2,16,2,14,0,2.26,1.91,,,,,,,,3B-2B-LF-DH,bertijo01
Phil Bickford,28,8,0,0,8.1,1,0,0,1,0,0,,,-2,-48,0,0,0,,,2,0,0.00,0.22,0,P,bickfph01
Nick Burdi,31,12,0,0,9.2,0,0,0,0,0,,,,0,0,,0,0,,,1,1,0.50,0.22,0,P,burdini01
Oswaldo Cabrera,25,104,79,70,753.1,301,136,158,7,19,0.977,-3,-6,3,5,-1,3.51,2.6,,,0,0,,,0,3B-2B-1B-SS-RF-LF-P,cabreos01
Jazz Chisholm Jr.,26,46,46,44,414.1,123,42,74,7,6,0.943,-1,-3,-2,-6,-1,2.52,2.47,,,,,,,,3B-CF,chishja01
Gerrit Cole,33,17,17,0,95,10,4,6,0,0,1,,,-2,-4,0,0.95,0.59,,,15,2,0.12,0.22,0,P,colege01
Nestor Cortes,29,31,30,0,174.1,15,5,10,0,1,1,,,2,2,0,0.77,0.48,,,8,5,0.38,0.22,4,P,cortene01
Jake Cousins,29,37,0,0,38,6,0,6,0,0,1,,,-1,-5,0,1.42,0.16,,,6,0,0.00,0.22,2,P,cousija01
J.D. Davis,31,4,4,0,29,13,12,1,0,1,1,0,-12,0,0,0,4.03,2.17,,,,,,,,1B-DH,davisjd01
Enyel De Los Santos,28,5,0,0,6.1,1,1,0,0,0,1,,,0,0,0,1.42,0.2,,,0,0,,,0,P,delosen01
Jasson Domínguez,21,16,16,13,140,31,28,2,1,0,0.968,-4,-33,-2,-17,0,1.93,1.67,,,,,,,,LF-CF-DH,dominja01
Scott Effross,30,3,0,0,3.1,1,0,1,0,0,1,,,0,0,0,2.7,0.33,,,0,0,,,0,P,effrosc01
Duke Ellis,26,1,0,0,1,2,2,0,0,0,1,0,336,0,0,0,18,2,,,,,,,,LF,ellisdu01
Caleb Ferguson,27,42,0,0,33.1,3,2,1,0,0,1,,,-1,-6,0,0.81,0.07,,,1,0,0.00,0.22,0,P,ferguca01
Luis Gil,26,29,29,0,151.2,22,14,5,3,1,0.864,,,0,0,0,1.13,0.66,,,6,2,0.25,0.22,1,P,gillu01
