Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,HOU,W5-4,42,31,5,8,1,0,1,5,9,0,10,1,0,1,0,3,0,0,.258,.429,.387,.816,10,9,L,F.Valdez(41)
2,2,Mar 29,@,HOU,W7-1,45,39,7,12,3,0,1,5,5,0,9,1,0,0,0,1,0,0,.286,.414,.429,.842,11,10,R,C.Javier(69)
3,3,Mar 30,@,HOU,W5-3,38,33,5,8,0,0,3,4,5,0,11,0,0,0,1,2,0,0,.272,.392,.456,.848,6,9,R,H.Brown(55)
4,4,Mar 31,@,HOU,W4-3,39,36,4,10,2,0,0,4,2,0,12,0,0,1,0,0,1,0,.273,.372,.424,.796,8,9,R,J.France(49)
5,5,Apr 1,@,ARI,W5-2,39,33,5,8,3,0,0,4,5,0,4,0,0,1,0,1,0,0,.267,.365,.407,.772,7,9,R,R.Nelson(28)
6,6,Apr 2,@,ARI,L0-7,31,28,0,3,0,0,0,0,3,0,8,0,0,0,0,2,0,0,.245,.342,.365,.707,4,10,R,Z.Gallen(69)
7,7,Apr 3,@,ARI,W6-5,41,39,6,8,1,0,2,5,1,0,7,0,0,0,0,2,0,0,.238,.325,.368,.693,4,10,R,M.Kelly(62)
8,8,Apr 5,,TOR,L0-3,34,31,0,6,0,0,0,0,3,0,11,0,0,0,0,1,0,1,.233,.318,.348,.666,7,9,L,Y.Kikuchi(65)
9,9,Apr 6,,TOR,W9-8,40,31,9,10,1,0,3,8,7,0,5,0,0,1,0,1,2,0,.243,.331,.379,.710,7,9,R,K.Gausman(22)
10,10,Apr 7,,TOR,W8-3,39,30,8,8,0,0,1,7,7,0,8,1,0,1,0,1,2,0,.245,.339,.378,.717,7,9,R,B.Francis(37)
11,11,Apr 8,,MIA,W7-0,37,31,7,9,3,0,2,7,5,0,9,0,1,0,0,1,0,0,.249,.344,.395,.739,6,9,L,J.Luzardo(19)
12,12,Apr 9,,MIA,W3-2,38,31,3,7,2,0,1,3,7,0,3,0,0,0,1,1,1,0,.247,.346,.394,.740,11,9,L,A.Puk(47)
13,13,Apr 10,,MIA,L2-5,39,32,2,6,1,0,1,2,7,0,6,0,0,0,0,1,0,0,.242,.345,.388,.733,10,10,L,R.Weathers(59)
14,14,Apr 13 (1),@,CLE,W3-2,39,33,3,10,4,0,1,2,6,0,6,0,0,0,0,2,1,0,.247,.349,.397,.747,9,9,R,C.Carrasco(47)
15,15,Apr 13 (2),@,CLE,W8-2,44,35,8,9,2,0,1,8,8,0,4,0,0,1,1,1,2,0,.247,.352,.398,.750,9,11,R,T.McKenzie(27)
16,16,Apr 14,@,CLE,L7-8,43,38,7,12,1,0,2,7,4,1,7,0,1,0,0,0,0,1,.252,.354,.405,.759,7,12,L,L.Allen(43)
17,17,Apr 15,@,TOR,L1-3,31,29,1,4,0,0,0,1,2,0,6,0,0,0,0,1,1,1,.246,.347,.391,.738,3,9,R,C.Bassitt(64)
18,18,Apr 16,@,TOR,L4-5,36,32,4,6,3,0,0,4,2,0,10,1,0,1,0,0,0,0,.243,.342,.385,.727,5,9,L,Y.Kikuchi(68)
