Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,HOU,W5-4,9.0,13,4,4,0,2,7,1,0,4.00,40,123,85,0,0,0,0,38,1,0,0,0,0,0,1,4,James Hoye,N.Cortés (99-44) J.Loáisiga (99-W) I.Hamilton (99-H) C.Holmes (99-Sv)
2,2,Mar 29,@,HOU,W7-1,9.0,7,1,1,0,6,6,0,0,2.50,39,158,99,2,0,3,0,33,1,0,0,0,0,0,0,6,Rob Drake,C.Rodón (99-50) N.Burdi (99) L.Weaver (99-W) V.González (99-H) C.Ferguson (99-H) C.Beeter (99)
3,3,Mar 30,@,HOU,W5-3,9.0,4,3,0,3,2,6,0,2,1.67,35,132,80,0,0,0,0,31,2,0,0,0,0,1,1,3,D.J. Reyburn,M.Stroman (99-60-W) I.Hamilton (1-H) C.Holmes (1-Sv)
4,4,Mar 31,@,HOU,W4-3,9.0,12,3,3,0,2,8,1,0,2.00,39,133,88,2,1,0,1,37,2,0,0,0,0,0,1,5,John Libka,C.Schmidt (99-47) J.Loáisiga (2-BSv) C.Ferguson (1) N.Burdi (1-W) C.Holmes (0-Sv)
5,5,Apr 1,@,ARI,W5-2,9.0,4,2,2,0,4,7,0,1,2.00,37,162,101,0,0,0,0,30,1,1,0,0,2,1,0,4,Larry Vanover,L.Gil (99-61) L.Weaver (2-W) N.Burdi (0-H) V.González (2-Sv)
6,6,Apr 2,@,ARI,L0-7,8.0,11,7,5,2,4,7,1,0,2.55,39,150,94,3,2,1,1,35,1,0,0,0,0,1,0,3,Scott Barry,N.Cortés (4-39-L) V.González (0) J.Cousins (99)
7,7,Apr 3,@,ARI,W6-5,11.0,9,5,2,3,3,11,2,1,2.39,45,169,110,4,1,0,1,41,3,0,1,0,0,1,0,5,Brian Walsh,C.Rodón (4-47) I.Hamilton (3) J.Loáisiga (2) C.Holmes (2-BW) C.Ferguson (2-Sv)
8,8,Apr 5,,TOR,L0-3,9.0,7,3,3,0,4,8,1,0,2.47,39,176,106,3,2,0,0,35,2,0,0,0,0,1,0,4,Emil Jimenez,M.Stroman (5-71) C.Ferguson (1-L) D.Santana (99) N.Burdi (3)
9,9,Apr 6,,TOR,W9-8,9.0,12,8,8,0,6,6,1,1,3.07,46,193,120,5,2,0,0,37,6,0,0,0,2,0,0,5,Lance Barksdale,C.Schmidt (5-44) L.Weaver (4-W) V.González (3) I.Hamilton (2) C.Holmes (2-Sv)
10,10,Apr 7,,TOR,W8-3,9.0,5,3,2,1,6,11,0,2,2.97,41,173,102,3,2,0,0,33,2,0,0,0,0,0,0,5,Angel Hernandez,L.Gil (5-55) J.Cousins (4-W) N.Burdi (1-H) C.Ferguson (1-H) D.Santana (1-Sv)
11,11,Apr 8,,MIA,W7-0,9.0,2,0,0,0,0,6,0,0,2.70,29,106,73,0,0,0,0,29,0,0,0,0,0,0,0,2,Todd Tichenor,N.Cortés (5-84-W) J.Maciejewski (99)
12,12,Apr 9,,MIA,W3-2,9.0,5,2,2,0,3,7,0,0,2.64,34,113,73,3,2,2,0,30,1,0,0,0,1,0,1,3,Cory Blaser,C.Rodón (5-58-W) I.Hamilton (2-H) C.Holmes (2-Sv)
13,13,Apr 10,,MIA,L2-5,9.0,6,5,5,0,6,8,1,0,2.82,37,159,96,0,0,2,1,30,0,0,0,1,0,0,1,4,John Bacon,M.Stroman (4-46-L) L.Weaver (3) V.González (3) D.Santana (2)
14,14,Apr 13(1),@,CLE,W3-2,9.0,5,2,1,1,7,11,0,0,2.69,36,157,95,2,2,0,1,29,2,0,0,0,0,0,2,4,Jordan Baker,C.Schmidt (6-57-W) C.Ferguson (5-H) I.Hamilton (3-H) C.Holmes (3-Sv)
15,15,Apr 13(2),@,CLE,W8-2,9.0,7,2,2,0,1,6,2,0,2.65,33,108,72,0,0,0,0,32,1,0,0,0,0,0,2,3,Stu Scheurwater,C.Poteet (99-60-W) D.Santana (2) R.Marinaccio (99)
16,16,Apr 14,@,CLE,L7-8,9.2,9,8,7,1,2,13,3,1,2.90,43,185,127,2,1,0,1,39,2,0,0,0,1,2,0,6,Mark Carlson,N.Cortés (5-41) N.Burdi (6) V.González (3) L.Weaver (3) C.Holmes (0) C.Ferguson (0-BL)
