Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Clayton Andrews,27,us US,L,L,5' 6",160,Jan 4 1997,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$740000,,andrecl02
Clayton Beeter,25,us US,R,R,6' 2",220,Oct 9 1998,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$740000,,beetecl01
Jon Berti,34,us US,R,R,5' 10",190,Jan 22 1990,7,25,18,25,21,0,0,0,2,18,0,1,0,0,1,1,2,4,0.6,,,bertijo01
Phil Bickford,28,us US,R,R,6' 4",200,Jul 10 1995,5,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,bickfph01
Nick Burdi,31,us US,R,R,6' 3",225,Jan 19 1993,5,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$800000,,burdini01
Oswaldo Cabrera,25,ve VE,B,R,5' 11",200,Mar 1 1999,3,109,79,108,104,1,0,13,13,74,6,3,0,3,6,0,4,10,1.3,$783000,,cabreos01
Jazz Chisholm Jr.,26,bs BS,L,R,5' 11",184,Feb 1 1998,5,46,46,46,46,0,0,0,0,45,0,0,2,0,2,0,0,0,1.5,,,chishja01
Gerrit Cole,33,us US,R,R,6' 4",220,Sep 8 1990,12,17,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,2.0,$36000000,,colege01
Nestor Cortes,29,cu CU,R,L,5' 11",210,Dec 10 1994,7,31,30,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2.6,$3950000,,cortene01
Jake Cousins,29,us US,R,R,6' 4",195,Jul 14 1994,4,37,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$740000,,cousija01
J.D. Davis,31,us US,R,R,6' 3",218,Apr 27 1993,8,7,6,7,4,0,0,4,0,0,0,0,0,0,0,2,1,0,-0.2,,,davisjd01
Enyel De Los Santos,28,do DO,R,R,6' 3",235,Dec 25 1995,6,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,delosen01
Jasson Domínguez,21,do DO,B,R,5' 9",190,Feb 7 2003,2,18,16,18,16,0,0,0,0,0,0,13,4,0,16,1,1,1,-0.1,$745800,,dominja01
Scott Effross,30,us US,R,R,6' 2",202,Dec 28 1993,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$750000,,effrosc01
Duke Ellis,26,us US,L,L,6' 2",180,Jan 16 1998,1st,3,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0.1,,,ellisdu01
Caleb Ferguson,27,us US,R,L,6' 3",226,Jul 2 1996,6,42,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$2400000,,ferguca01
Luis Gil,26,do DO,R,R,6' 2",185,Jun 3 1998,3,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,3.1,$740000,,gillu01
Yoendrys Gómez,24,ve VE,R,R,6' 3",212,Oct 15 1999,2,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$740000,,gomezyo01
Victor González,28,mx MX,L,L,6' 0",180,Nov 16 1995,4,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$860000,,gonzavi02
Trent Grisham,27,us US,L,L,5' 11",224,Nov 1 1996,6,76,52,76,69,0,0,0,0,0,0,0,69,0,69,7,7,3,0.4,$5500000,,grishtr01
Ian Hamilton,29,us US,R,R,6' 1",200,Jun 16 1995,5,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$923050,,hamilia01
Tim Hill,34,us US,R,L,6' 4",210,Feb 10 1990,7,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,,hillti01
Clay Holmes,31,us US,R,R,6' 5",245,Mar 27 1993,7,67,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$6000000,All-Star,holmecl01
Jahmai Jones,26,us US,R,R,5' 11",210,Aug 4 1997,4,33,10,33,19,0,0,0,3,3,0,5,0,8,13,8,3,9,0.0,$741200,,jonesja08
Aaron Judge,32,us US,R,R,6' 7",282,Apr 26 1992,9,158,158,158,117,0,0,0,0,0,0,5,105,8,117,41,0,0,10.8,$40000000,All-Star,judgeaa01
