Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Logan O'Hoppe,24,136,522,479,64,117,17,1,20,56,2,3,33,155,.244,.303,.409,.712,100,196,7,8,1,1,0,ohopplo01
2,1B,Nolan Schanuel*,22,147,607,519,62,130,19,0,13,54,10,1,68,103,.250,.343,.362,.706,101,188,14,9,3,7,0,schanno01
3,2B,Brandon Drury,31,97,360,325,28,55,7,0,4,15,1,0,27,81,.169,.242,.228,.469,35,74,13,5,0,3,0,drurybr01
4,SS,Zach Neto,23,155,602,542,70,135,34,1,23,77,30,10,39,140,.249,.318,.443,.761,113,240,14,16,4,1,1,netoza01
5,3B,Anthony Rendon,34,57,238,206,21,45,10,0,0,14,6,1,23,35,.218,.307,.267,.574,66,55,4,5,0,4,0,rendoan01
6,LF,Taylor Ward,30,156,663,585,73,144,26,2,25,75,6,4,63,163,.246,.323,.426,.748,111,249,11,7,0,8,0,wardta01
7,CF,Mickey Moniak*,26,124,418,392,48,86,17,2,14,49,8,4,21,114,.219,.266,.380,.646,81,149,3,4,0,1,0,moniami01
8,RF,Jo Adell,25,130,451,405,54,84,15,2,20,62,15,10,35,126,.207,.280,.402,.682,91,163,9,7,0,3,1,adelljo01
9,DH,Willie Calhoun*,29,68,254,229,26,56,16,0,5,20,0,1,23,31,.245,.315,.380,.695,97,87,5,1,0,1,1,calhowi01
10,IF,Luis Rengifo#,27,78,304,283,41,85,13,1,6,30,24,7,16,44,.300,.347,.417,.763,116,118,6,4,1,0,0,rengilu01
11,CF,Kevin Pillar,35,83,282,259,37,61,14,1,7,41,10,3,12,61,.236,.291,.378,.669,88,98,10,9,0,2,0,pillake01
12,C,Matt Thaiss*,29,57,186,157,14,32,9,0,2,16,3,0,28,58,.204,.323,.299,.622,79,47,2,0,0,1,0,thaisma01
13,CF,Mike Trout,32,29,126,109,17,24,1,2,10,14,6,1,16,27,.220,.325,.541,.867,140,59,0,1,0,0,1,troutmi01
14,2B,Michael Stefanic,28,40,124,110,8,24,4,0,0,8,0,0,10,20,.218,.301,.255,.555,61,28,5,3,1,0,0,stefami01
15,IF,Luis Guillorme*,29,50,117,104,6,24,5,1,0,3,1,2,11,23,.231,.302,.298,.600,72,31,4,0,1,1,0,guilllu01
16,DH,Niko Kavadas*,25,30,106,93,11,17,2,0,4,8,1,0,11,41,.183,.283,.333,.616,75,31,0,2,0,0,0,kavadni01
17,CI,Miguel Sanó,31,28,95,83,9,17,3,0,2,6,0,0,9,36,.205,.295,.313,.608,73,26,2,2,0,1,0,sanomi01
18,3B,Eric Wagaman,26,18,74,72,6,18,5,0,2,10,0,0,2,17,.250,.270,.403,.673,88,29,1,0,0,0,0,wagamer01
19,MI,Jack López,31,27,71,67,4,17,3,0,1,6,0,1,2,25,.254,.286,.343,.629,78,23,2,1,1,0,0,lopezja03
20,OF,Aaron Hicks#,34,18,63,57,6,8,0,0,1,5,0,0,6,23,.140,.222,.193,.415,20,11,1,0,0,0,0,hicksaa01
21,2B,Kyren Paris,22,21,59,51,4,6,2,0,1,5,1,0,7,17,.118,.224,.216,.440,26,11,1,0,0,0,0,parisky01
22,UT,Cole Tucker#,27,24,57,50,3,9,4,1,0,3,3,1,6,17,.180,.263,.300,.563,60,15,0,0,0,1,0,tuckeco01
23,RF,Gustavo Campero#,26,13,48,46,6,11,0,1,1,6,3,0,0,8,.239,.271,.348,.619,74,16,0,2,0,0,0,campegu01
24,OF,Jordyn Adams,24,11,38,35,4,8,0,0,1,4,2,0,3,12,.229,.289,.314,.604,72,11,1,0,0,0,0,adamsjo03
25,IF,Charles Leblanc,28,11,28,21,6,4,0,0,2,6,0,0,7,9,.190,.393,.476,.869,146,10,0,0,0,0,0,leblach01
26,IF,Ehire Adrianza#,34,8,28,26,4,5,1,0,1,2,0,0,2,11,.192,.250,.346,.596,67,9,1,0,0,0,0,adriaeh01
27,2B,Keston Hiura,27,10,27,27,1,4,0,0,0,1,0,1,0,10,.148,.148,.148,.296,-15,4,0,0,0,0,0,hiurake01
28,CI,Niko Goodrum#,32,4,15,13,1,0,0,0,0,0,1,0,2,4,.000,.133,.000,.133,-57,0,0,0,0,0,0,goodrni01
29,CF,Bryce Teodosio,25,5,12,12,1,1,0,0,0,0,0,0,0,5,.083,.083,.083,.167,-52,1,0,0,0,0,0,teodobr01
30,P,Zac Kristofak,26,0,0,,,,,,,,,,,,,,,,,,,,,,,kristza01
31,P,Davis Daniel,27,0,0,,,,,,,,,,,,,,,,,,,,,,,danieda01
32,P,Johnny Cueto,38,0,0,,,,,,,,,,,,,,,,,,,,,,,cuetojo01
33,P,Hans Crouse*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,crousha01
34,P,Sam Aldegheri*,22,0,0,,,,,,,,,,,,,,,,,,,,,,,aldegsa01
35,P,Victor Mederos,23,0,0,,,,,,,,,,,,,,,,,,,,,,,medervi01
36,P,Jack Kochanowicz*,23,0,0,,,,,,,,,,,,,,,,,,,,,,,kochaja01
37,P,Carlos Estévez,31,0,0,,,,,,,,,,,,,,,,,,,,,,,estevca01
38,P,Luis García,37,0,0,,,,,,,,,,,,,,,,,,,,,,,garcilu03
39,P,Caden Dana*,20,0,0,,,,,,,,,,,,,,,,,,,,,,,danaca01
40,P,José Soriano,25,0,0,,,,,,,,,,,,,,,,,,,,,,,soriajo02
41,P,Griffin Canning,28,0,0,,,,,,,,,,,,,,,,,,,,,,,cannigr01
