Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,BAL,L3-11,31,28,3,2,1,0,1,2,3,0,14,0,0,0,0,1,0,0,.071,.161,.214,.376,1,12,R,C.Burnes(77)
2,2,Mar 30,@,BAL,L4-13,37,36,4,9,0,1,1,4,1,0,13,0,0,0,1,1,0,0,.172,.221,.313,.533,6,12,R,G.Rodriguez(68)
3,3,Mar 31,@,BAL,W4-1,33,31,4,6,0,0,1,3,1,0,8,1,0,0,0,1,0,1,.179,.228,.305,.533,2,10,R,T.Wells(55)
4,4,Apr 1,@,MIA,W7-4,39,33,7,7,1,1,3,6,6,0,7,0,0,0,0,0,2,1,.188,.257,.375,.632,5,11,R,M.Meyer(57)
5,5,Apr 2,@,MIA,W3-1,34,31,3,7,2,0,1,3,3,0,6,0,0,0,1,1,1,1,.195,.264,.377,.642,4,9,L,J.Luzardo(51)
6,6,Apr 3,@,MIA,W10-2,47,36,10,12,5,0,1,8,8,0,7,1,0,2,1,2,0,0,.221,.303,.410,.713,10,11,L,A.Puk(42)
7,7,Apr 5,,BOS,L6-8,41,36,6,6,0,0,1,6,3,0,10,2,0,0,2,0,0,0,.212,.298,.385,.683,8,9,R,K.Crawford(58)
8,8,Apr 6,,BOS,W2-1,36,30,2,6,0,0,0,0,6,0,10,0,0,0,1,0,2,1,.211,.302,.364,.666,10,9,R,G.Whitlock(55)
9,9,Apr 7,,BOS,L2-12,38,34,2,8,1,0,1,1,3,0,8,1,0,0,0,1,1,0,.214,.304,.363,.666,9,12,R,T.Houck(69)
10,10,Apr 8,,TBR,W7-1,40,37,7,14,2,1,1,7,3,0,7,0,0,0,0,0,2,0,.232,.316,.386,.702,9,9,R,Z.Eflin(34)
11,11,Apr 9,,TBR,L4-6,38,34,4,7,1,0,1,3,4,0,7,0,0,0,1,1,1,0,.230,.314,.380,.694,7,11,R,A.Civale(52)
12,12,Apr 10,,TBR,L2-4,38,35,2,9,2,0,1,2,3,0,12,0,0,0,0,0,1,0,.232,.314,.382,.696,9,9,R,Z.Littell(48)
13,13,Apr 12,@,BOS,W7-0,41,40,7,12,2,0,1,6,0,0,6,1,0,0,0,0,0,0,.238,.314,.385,.700,7,9,R,T.Houck(25)
14,14,Apr 13,@,BOS,L2-7,36,34,2,8,0,0,1,2,2,0,10,0,0,0,0,1,0,0,.238,.312,.381,.693,7,11,R,C.Criswell(47)
15,15,Apr 14,@,BOS,L4-5,39,33,4,9,0,1,1,4,3,0,11,2,0,1,0,2,1,0,.240,.315,.384,.699,8,10,R,B.Bello(54)
16,16,Apr 15,@,TBR,W7-3,41,38,7,13,3,0,2,7,3,0,6,0,0,0,0,1,0,1,.247,.320,.397,.718,7,11,R,Z.Eflin(66)
17,17,Apr 16,@,TBR,L6-7,48,43,6,6,0,0,2,5,2,0,13,1,1,1,1,0,5,1,.239,.311,.389,.700,7,11,R,A.Civale(58)
18,18,Apr 17,@,TBR,W5-4,40,38,5,12,1,0,1,5,2,1,9,0,0,0,0,0,4,0,.244,.313,.391,.704,8,11,R,Z.Littell(48)
19,19,Apr 18,@,TBR,L1-2,35,31,1,6,0,0,0,1,3,0,11,0,0,1,0,1,2,0,.242,.311,.381,.692,7,13,R,R.Pepiot(66)
20,20,Apr 19,@,CIN,L1-7,34,33,1,7,2,0,0,1,1,0,9,0,0,0,1,0,3,0,.240,.307,.376,.683,6,9,L,N.Lodolo(61)
21,21,Apr 20,@,CIN,L5-7,37,34,5,7,1,0,1,5,3,0,7,0,0,0,0,0,0,0,.239,.305,.374,.679,5,10,R,G.Ashcraft(38)
22,22,Apr 21,@,CIN,L0-3,36,31,0,6,0,0,0,0,5,0,6,0,0,0,0,2,0,0,.237,.305,.366,.672,9,10,R,F.Montas(51)
23,23,Apr 22,,BAL,L2-4,38,32,2,8,1,0,1,2,4,0,8,1,1,0,0,1,0,0,.237,.307,.367,.674,9,10,R,A.Suárez(64)
24,24,Apr 23,,BAL,W7-4,35,32,7,11,5,0,1,7,2,0,12,1,0,0,0,0,0,1,.241,.311,.376,.687,4,10,R,G.Rodriguez(19)
25,25,Apr 24,,BAL,L5-6,34,32,5,6,0,0,3,5,2,0,16,0,0,0,0,0,1,1,.239,.308,.379,.687,2,12,R,D.Kremer(63)
26,26,Apr 26,,MIN,L3-5,37,31,3,5,2,0,0,3,6,0,10,0,0,0,0,0,0,1,.237,.308,.374,.682,7,10,R,B.Ober(69)
27,27,Apr 27,,MIN,L5-16,39,36,5,11,1,0,1,5,2,0,5,0,0,1,0,0,0,0,.239,.309,.375,.684,7,10,R,C.Paddack(36)
28,28,Apr 28,,MIN,L5-11,35,33,5,6,2,0,2,5,1,0,14,1,0,0,0,0,0,0,.237,.306,.377,.683,3,9,R,P.López(50)
29,29,Apr 29,,PHI,W6-5,35,31,6,11,2,0,1,4,3,0,3,0,1,0,0,1,3,1,.241,.309,.381,.691,5,9,L,C.Sánchez(36)
30,30,Apr 30,,PHI,L5-7,37,36,5,9,2,0,2,5,0,0,9,1,0,0,0,0,2,1,.241,.308,.385,.693,5,9,R,S.Turnbull(58)
31,31,May 1,,PHI,L1-2,39,37,1,10,2,0,1,1,2,0,11,0,0,0,0,0,0,1,.242,.308,.385,.694,11,11,R,Z.Wheeler(58)
32,32,May 3,@,CLE,W6-0,38,35,6,11,2,0,2,6,2,0,7,0,0,1,0,1,0,1,.245,.309,.390,.700,5,9,R,T.Bibee(30)
33,33,May 4,@,CLE,L1-7,34,31,1,4,1,0,0,1,3,0,8,0,0,0,1,0,2,1,.242,.306,.384,.691,6,12,R,B.Lively(62)
34,34,May 5,@,CLE,L1-4,33,29,1,6,3,0,0,1,3,0,7,0,0,1,0,1,2,1,.241,.306,.382,.688,5,10,R,C.Carrasco(57)
35,35,May 6,@,PIT,L1-4,31,30,1,5,2,0,1,1,1,0,5,0,0,0,1,2,0,0,.239,.303,.381,.684,3,9,R,M.Keller(77)
36,36,May 7,@,PIT,W9-0,46,43,9,15,3,0,2,9,3,0,6,0,0,0,0,0,1,0,.243,.306,.387,.693,10,9,R,Q.Priester(33)
37,37,May 8,@,PIT,W5-4,36,34,5,10,3,0,1,5,1,0,9,0,0,1,0,1,0,0,.244,.306,.390,.695,4,10,L,M.Pérez(40)
38,38,May 9,,KCR,L4-10,38,30,4,5,0,0,0,4,5,0,7,1,0,2,0,1,0,0,.242,.305,.384,.690,7,11,R,M.Wacha(57)
39,39,May 10,,KCR,L1-2,35,33,1,5,3,0,1,1,2,0,9,0,0,0,2,0,2,0,.240,.303,.383,.686,7,10,R,A.Marsh(61)
40,40,May 11,,KCR,W9-3,37,33,9,10,1,1,1,8,3,0,4,0,1,0,0,0,1,0,.242,.304,.386,.690,4,10,L,C.Ragans(31)
41,41,May 12,,KCR,L2-4,33,33,2,6,2,0,1,2,0,0,12,0,0,0,0,0,0,0,.240,.302,.384,.686,4,10,R,S.Lugo(80)
42,42,May 13,,STL,L5-10,36,32,5,7,2,0,1,4,4,0,5,0,0,0,0,0,0,0,.240,.302,.384,.686,4,9,L,M.Liberatore(33)
43,43,May 14,,STL,L6-7,42,36,6,12,3,1,1,6,4,0,13,0,0,1,0,0,0,1,.242,.304,.388,.692,9,10,R,S.Gray(43)
44,44,May 15,,STL,W7-2,40,35,7,14,2,0,3,6,4,0,10,1,0,0,0,0,1,1,.246,.308,.396,.704,9,9,R,L.Lynn(38)
45,45,May 17,@,TEX,W9-3,46,42,9,14,2,0,2,8,4,0,11,0,0,0,1,0,3,0,.248,.310,.399,.710,10,9,L,A.Heaney(44)
46,46,May 18,@,TEX,L2-3,48,44,2,5,2,0,2,2,4,0,12,0,0,0,1,1,2,0,.244,.307,.397,.704,11,9,R,J.Ureña(62)
47,47,May 19,@,TEX,W4-1,35,31,4,6,1,1,0,4,4,0,7,0,0,0,0,0,0,1,.243,.307,.395,.701,4,12,R,M.Lorenzen(62)
48,48,May 20,@,HOU,W9-7,41,38,9,13,1,0,4,9,2,0,4,0,0,1,0,1,2,0,.246,.308,.401,.709,5,9,L,F.Valdez(17)
49,49,May 21,@,HOU,L5-6,43,39,5,11,2,0,2,5,4,0,8,0,0,0,0,1,0,1,.246,.309,.403,.712,9,10,R,C.Javier(28)
50,50,May 22,@,HOU,W2-1,33,29,2,3,0,0,1,2,4,0,5,0,0,0,0,1,0,0,.244,.307,.400,.707,4,10,R,H.Brown(60)
51,51,May 24,,CLE,L4-10,37,35,4,9,2,0,3,4,2,0,10,0,0,0,0,0,0,0,.244,.307,.403,.710,6,10,L,L.Allen(48)
52,52,May 25,,CLE,L3-4,35,33,3,8,2,0,1,3,1,0,11,1,0,0,1,0,0,2,.244,.307,.403,.710,5,9,R,T.Bibee(53)
53,53,May 26,,CLE,L4-5,36,34,4,9,1,0,1,4,2,0,8,0,0,0,0,2,0,0,.245,.307,.403,.709,5,12,R,B.Lively(64)
54,54,May 28,,NYY,W4-3,32,32,4,9,1,0,1,4,0,0,7,0,0,0,0,0,0,0,.245,.306,.403,.709,4,12,L,N.Cortés(54)
55,55,May 29,,NYY,L1-2,32,29,1,3,0,0,1,1,3,0,9,0,0,0,0,1,0,0,.243,.304,.400,.704,4,9,R,L.Gil(81)
56,56,May 30,,NYY,L3-8,35,31,3,4,1,0,1,3,3,0,7,1,0,0,1,1,0,0,.241,.303,.397,.701,5,10,L,C.Rodón(58)
57,57,May 31,@,SEA,L4-5,33,31,4,7,1,0,1,4,2,0,8,0,0,0,0,2,2,1,.241,.303,.397,.699,2,10,R,B.Woo(68)
58,58,Jun 1,@,SEA,L0-9,33,32,0,6,1,0,0,0,1,0,12,0,0,0,0,0,0,1,.240,.301,.394,.695,6,10,R,B.Miller(74)
59,59,Jun 2,@,SEA,L1-5,36,31,1,4,1,0,0,1,4,0,9,1,0,0,1,0,0,1,.238,.300,.390,.691,8,10,R,L.Castillo(76)
60,60,Jun 3,,SDP,W2-1,28,27,2,4,1,0,0,2,0,0,4,0,0,1,1,1,1,0,.237,.298,.388,.686,2,12,R,M.Waldron(69)
61,61,Jun 4,,SDP,W4-2,31,25,4,5,1,0,0,3,6,0,2,0,0,0,0,4,1,0,.237,.299,.386,.685,3,10,R,A.Mazur(62)
62,62,Jun 5,,SDP,W3-2,30,28,3,6,0,0,2,3,1,0,7,0,0,0,0,1,1,1,.236,.298,.386,.685,3,10,R,D.Cease(57)
63,63,Jun 7,,HOU,L1-7,31,30,1,4,1,0,1,1,1,0,8,0,0,0,0,1,0,0,.235,.297,.385,.681,3,9,L,F.Valdez(82)
64,64,Jun 8,,HOU,L1-6,41,33,1,6,0,0,1,1,7,0,9,1,0,0,0,0,3,0,.234,.297,.383,.680,13,11,R,H.Brown(71)
65,65,Jun 9,,HOU,W9-7,42,35,9,13,3,0,1,9,2,0,8,3,0,2,1,1,4,1,.236,.300,.385,.685,8,12,R,J.Verlander(40)
66,66,Jun 11,@,ARI,L4-9,38,36,4,11,4,0,1,4,2,0,5,0,0,0,0,1,0,1,.237,.300,.387,.688,7,11,L,J.Montgomery(47)
67,67,Jun 12,@,ARI,W8-3,45,40,8,14,4,0,2,8,5,0,8,0,0,0,0,0,0,1,.239,.303,.391,.694,10,10,R,S.Cecconi(15)
68,68,Jun 13,@,ARI,L1-11,36,30,1,6,2,0,0,1,4,0,8,2,0,0,0,3,0,0,.239,.303,.389,.693,8,11,R,B.Pfaadt(61)
69,69,Jun 14,@,SFG,W8-6,44,36,8,11,4,1,1,7,6,0,3,0,1,1,0,0,0,0,.240,.305,.392,.697,9,10,R,S.Howard(24)
70,70,Jun 15,@,SFG,W4-3,37,32,4,6,1,0,2,4,4,0,8,1,0,0,0,1,3,0,.239,.304,.392,.697,6,9,R,K.Winn(54)
71,71,Jun 16,@,SFG,L6-13,39,34,6,9,3,0,1,6,4,0,8,0,0,1,0,1,0,0,.240,.305,.393,.698,6,13,L,E.Miller(47)
72,72,Jun 17,,MIL,W5-3,32,28,5,7,0,1,1,5,3,0,7,0,0,1,0,0,0,1,.240,.305,.393,.698,3,11,R,C.Rodriguez(35)
73,73,Jun 18,,MIL,L3-6,39,35,3,9,3,0,0,2,4,0,9,0,0,0,0,1,0,0,.240,.305,.393,.698,9,9,R,T.Myers(69)
74,74,Jun 19,,MIL,L0-2,33,31,0,4,0,0,0,0,2,0,10,0,0,0,0,0,1,0,.239,.304,.389,.693,6,11,R,F.Peralta(72)
75,75,Jun 21,@,LAD,W3-2,40,33,3,4,0,0,0,3,2,0,8,4,1,0,0,0,3,0,.237,.303,.386,.689,8,10,R,L.Knack(63)
76,76,Jun 22,@,LAD,L2-7,31,30,2,3,1,0,1,2,0,0,12,0,0,0,0,0,0,0,.235,.301,.384,.685,2,10,R,T.Glasnow(77)
