Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,BAL,L3-11,8.0,10,11,9,2,6,5,2,0,10.12,41,180,103,3,1,1,0,33,2,0,0,0,2,1,0,5,Adrian Johnson,P.Sandoval (99-27-L) J.Suarez (99) J.Cisnero (99) G.Zuñiga (99) A.Cimber (99)
2,2,Mar 30,@,BAL,L4-13,8.0,14,13,12,1,2,6,2,0,11.81,41,169,106,4,4,0,0,38,5,1,0,0,1,0,0,5,Scott Barry,G.Canning (99-34-L) L.García (99) G.Zuñiga (1) J.Cisnero (1) A.Cimber (1)
3,3,Mar 31,@,BAL,W4-1,9.0,3,1,1,0,5,9,0,1,7.92,36,134,83,0,0,0,0,30,0,0,0,0,0,1,0,3,Ramon De Jesus,R.Detmers (99-63-W) J.Soriano (99-H) C.Estévez (99-Sv)
4,4,Apr 1,@,MIA,W7-4,9.0,9,4,3,1,4,9,0,0,6.62,39,155,102,2,0,0,0,34,2,0,0,0,0,0,3,6,Jordan Baker,C.Silseth (99-38) J.Cisnero (1) J.Suarez (3) A.Cimber (1-W) M.Moore (99-H) C.Estévez (0-Sv)
5,5,Apr 2,@,MIA,W3-1,9.0,5,1,1,0,3,6,1,0,5.44,34,114,78,0,0,0,0,31,1,0,0,0,0,0,0,3,Stu Scheurwater,T.Anderson (99-72-W) M.Moore (0-H) L.García (2-Sv)
6,6,Apr 3,@,MIA,W10-2,9.0,4,2,2,0,2,9,0,1,4.85,33,124,85,2,0,0,0,30,1,0,0,0,0,0,1,3,Mark Carlson,P.Sandoval (5-58-W) J.Cisnero (1-H) G.Zuñiga (3-Sv)
7,7,Apr 5,,BOS,L6-8,9.0,9,8,8,0,5,6,5,3,5.31,43,164,95,4,0,1,0,34,0,0,0,0,1,0,1,4,Alex Tosi,G.Canning (5-39) J.Suarez (3) L.García (2) J.Soriano (4-L)
8,8,Apr 6,,BOS,W2-1,9.0,3,1,1,0,1,14,0,1,4.76,31,141,92,0,0,0,1,29,1,0,0,0,0,0,0,4,Dan Bellino,R.Detmers (5-73-W) A.Cimber (4-H) M.Moore (3-H) C.Estévez (4-Sv)
9,9,Apr 7,,BOS,L2-12,9.0,12,12,12,0,6,11,4,1,5.58,46,197,119,8,5,1,0,39,0,1,0,0,0,0,0,5,Phil Cuzzi,C.Silseth (5-54-L) J.Cisnero (3) J.Suarez (1) G.Zuñiga (3) M.Sanó (99)
10,10,Apr 8,,TBR,W7-1,9.0,8,1,1,0,1,3,0,0,5.11,33,119,87,1,0,0,1,32,1,0,0,0,0,0,2,3,Malachi Moore,T.Anderson (5-71-W) A.Cimber (1) H.Strickland (99)
11,11,Apr 9,,TBR,L4-6,9.0,11,6,5,1,4,9,1,0,5.10,42,176,106,0,0,1,0,38,3,0,0,0,0,1,1,5,Bill Miller,P.Sandoval (5-46-L) L.García (3) J.Cisnero (1) H.Strickland (0) C.Fulmer (99)
12,12,Apr 10,,TBR,L2-4,9.0,7,4,4,0,0,12,1,0,5.01,33,130,92,0,0,0,0,32,1,0,0,0,1,0,0,5,Doug Eddings,J.Soriano (4-40-L) A.Cimber (1) L.García (0) M.Moore (3) C.Estévez (3)
13,13,Apr 12,@,BOS,W7-0,9.0,3,0,0,0,2,10,0,0,4.62,30,124,81,0,0,0,0,28,1,0,0,0,0,0,2,4,Chad Fairchild,R.Detmers (5-72-W) L.García (1) J.Cisnero (2) H.Strickland (2)
14,14,Apr 13,@,BOS,L2-7,8.0,11,7,6,1,3,11,1,0,4.76,36,132,89,0,0,2,2,32,2,0,0,0,1,0,0,2,Ryan Wills,G.Canning (7-24-L) C.Fulmer (3)
15,15,Apr 14,@,BOS,L4-5,8.0,7,5,5,0,8,9,3,0,4.81,37,171,97,1,0,0,2,29,1,0,1,0,0,0,0,4,Carlos Torres,T.Anderson (5-44-L) A.Cimber (3) J.Suarez (6) J.Cisnero (1)
16,16,Apr 15,@,TBR,W7-3,9.0,6,3,3,0,2,6,1,0,4.69,35,142,91,0,0,0,0,33,0,0,0,0,0,0,0,5,Adam Beck,P.Sandoval (5-56) A.Cimber (0) L.García (2-W) M.Moore (4) C.Estévez (4)
17,17,Apr 16,@,TBR,L6-7,12.2,7,7,4,3,7,12,0,0,4.54,51,193,119,0,0,0,0,43,1,1,1,1,0,1,1,7,Dan Iassogna,J.Soriano (5-62) L.García (0-H) H.Strickland (3-H) M.Moore (0-H) C.Estévez (0-BSv) J.Cisnero (1-BSv) C.Fulmer (2-L)
18,18,Apr 17,@,TBR,W5-4,9.0,11,4,3,1,1,8,1,1,4.45,37,137,92,2,0,1,1,34,1,0,0,0,1,0,1,3,Brock Ballou,R.Detmers (4-51) A.Cimber (1-H) H.Strickland (0-BW)
19,19,Apr 18,@,TBR,L1-2,8.0,5,2,2,0,1,7,0,1,4.35,30,110,77,2,0,0,0,27,0,1,0,0,1,0,1,3,Ben May,G.Canning (4-55-L) L.García (1) M.Moore (1)
